Speech to the Troops at Tilbury

'My': KPA/PHEU
'borders': PWRORDZ
'of': -F
'my': PHEU
'realm;': R*EL/STPH*FPLT
'to': TO
'which': WEU
'rather': RAER
'than': THAPB
'any': TPHEU
'dishonour': TKEUS/HO*RPB/A*U
'shall': SHAL
'grow': TKPWROE
'by': PWEU
'me,': PHE/KW-BG
'I': EU
'myself': PHAO*EUS
'will': HR
'take': TAEUBG
'up': UP
'arms,': ARPLS/KW-BG
'I': EU
'myself': PHAO*EUS
'will': HR
'be': -B
'your': KWROUR
'general,': SKWREPBL/KW-BG
'judge,': SKWRUPBLG/KW-BG
'and': SKP
'rewarder': RE/WARD/*ER
'of': -F
'every': EF
'one': WUPB
'of': -F
'your': KWROUR
'virtues': SREUR/TAOUS
'in': TPH
'the': -T
'field.': TPAOELD/TP-PL
'I': EU
'know': TPHOE
'already,': HR-R/KW-BG
'for': TPOR
'your': KWROUR
'forwardness': TPAORD/-PBS
'you': U
'have': SR
'deserved': TKAOE/SER/-FD
'rewards': RE/WARDZ
'and': SKP
'crowns;': KROUPBS/STPH*FPLT
'and': SKP
'We': KPA/WE
'do': TKO
'assure': A/SHUR
'you': U
'on': OPB
'a': AEU
'word': WORD
'of': -F
'a': AEU
'prince,': PREUPBS/KW-BG
'they': THE
'shall': SHAL
'be': -B
'duly': TKAOU/HREU
'paid.': PAEUD/TP-PL
'In': KPA/TPH
'the': -T
'mean': PHAOEPB
'time,': TAOEUPL/KW-BG
'my': PHEU
'lieutenant': HRAO*UT
'general': SKWREPBL
'shall': SHAL
'be': -B
'in': TPH
'my': PHEU
'stead,': STED/KW-BG
'than': THAPB
'whom': WHOPL
'never': TPHEFR
'prince': PREUPBS
'commanded': KPHAPBD/-D
'a': AEU
'more': PHOR
'noble': TPHOEBL
'or': OR
'worthy': WO*RT/KWREU
'subject;': SUBT/STPH*FPLT
'not': TPHOT
'doubting': TKOUGT
'but': PWUT
'by': PWEU
'your': KWROUR
'obedience': OE/PWAOED/KWREPBS
'to': TO
'my': PHEU
'general,': SKWREPBL/KW-BG
'by': PWEU
'your': KWROUR
'concord': KOPB/KORD
'in': TPH
'the': -T
'camp,': KAFRP/KW-BG
'and': SKP
'your': KWROUR
'valour': SRARL/A*U
'in': TPH
'the': -T
'field,': TPAOELD/KW-BG
'we': WE
'shall': SHAL
'shortly': SHORLT
'have': SR
'a': AEU
'famous': TPAEUPLS
'victory': SREUBGT/REU
'over': OEFR
'these': THEZ
'enemies': TPHAEPLS
'of': -F
'my': PHEU
'God,': TKPWO*D/KW-BG
'of': -F
'my': PHEU
'kingdom,': KEUPBG/TKOPL/KW-BG
'and': SKP
'of': -F
'my': PHEU
'people.': PAOEPL/TP-PL
