Kew Gardens
'The': KPA/-T
'figures': TPEUGS
'of': -F
'these': THEZ
'men': PHEPB
'and': SKP
'women': WEUPL
'straggled': STRAG/-LD
'past': PAFT
'the': -T
'flower-bed': TPHRO*UR/PW*ED
'with': W
'a': AEU
'curiously': KAOURLS
'irregular': EUR/REG
'movement': PHOFPLT
'not': TPHOT
'unlike': UPB/HRAOEUBG
'that': THA
'of': -F
'the': -T
'white': WHAOEUT
'and': SKP
'blue': PWHRU
'butterflies': PW*URT/TPHRAOEU/-S
'who': WHO
'crossed': KROFD
'the': -T
'turf': T*UFR
'in': TPH
'zig-zag': S*EUG/H-PB/SA*G
'flights': TPHRAOEUTS
'from': TPR
'bed': PWED
'to': TO
'bed.': PWED/TP-PL
'The': KPA/-T
'man': PHAPB
'was': WAS
'about': PW
'six': SEUBGS
'inches': TPH-FPS
'in': TPH
'front': TPROPBT
'of': -F
'the': -T
'woman,': WOPL/KW-BG
'strolling': STROELG
'carelessly,': KAEURLS/HREU/KW-BG
'while': WHAOEUL
'she': SHE
'bore': PWOR
'on': OPB
'with': W
'greater': TKPWRAERT
'purpose,': PURP/KW-BG
'only': OEPBL
'turning': TURPBG
'her': HER
'head': HED
'now': TPHOU
'and': SKP
'then': THEPB
'to': TO
'see': SAOE
'that': THA
'the': -T
'children': KHEURPB
'were': WR
'not': TPHOT
'too': TAO
'far': TPAR
'behind.': HEUPBD/TP-PL
'The': KPA/-T
'man': PHAPB
'kept': KEPT
'this': TH
'distance': STKAPBS
'in': TPH
'front': TPROPBT
'of': -F
'the': -T
'woman': WOPL
'purposely,': PURP/HREU/KW-BG
'though': THOE
'perhaps': PRAPS
'unconsciously,': UPB/K-RBS/HREU/KW-BG
'for': TPOR
'he': HE
'wished': WEURBD
'to': TO
'go': TKPW
'on': OPB
'with': W
'his': HEUS
'thoughts.': THAUTS/TP-PL
'"Fifteen': KW-GS/KPA*/TPEUF/TAOEPB
'years': KWRAOERS
'ago': AG
'I': EU
'came': KAEUPL
'here': HAOER
'with': W
'Lily,"': KPA/HREUL/KWREU/KW-BG/KR-GS
'he': HE
'thought.': THAUT/TP-PL
'"We': KW-GS/KPA*/WE
'sat': SAT
'somewhere': SWR
'over': OEFR
'there': THR
'by': PWEU
'a': AEU
'lake': HRAEUBG
'and': SKP
'I': EU
'begged': PWEGD
'her': HER
'to': TO
'marry': PHAER
'me': PHE
'all': AUL
'through': THRU
'the': -T
'hot': HOT
'afternoon.': AFPB/TP-PL
'How': KPA/HOU
'the': -T
'dragonfly': TKRAG/O*PB/TPHRAOEU
'kept': KEPT
'circling': SEUR/K-LG
'round': ROUPBD
'us:': US/STPH-FPLT
'how': HOU
'clearly': KAOERL
'I': EU
'see': SAOE
'the': -T
'dragonfly': TKRAG/O*PB/TPHRAOEU
'and': SKP
'her': HER
'shoe': SHAOU
'with': W
'the': -T
'square': SKWAEUR
'silver': SEUL/SRER
'buckle': PWUBG/*L
'at': AT
'the': -T
'toe.': TO*E/TP-PL
'All': KPA/AUL
'the': -T
'time': TAOEUPL
'I': EU
'spoke': SPOEBG
'I': EU
'saw': SAU
'her': HER
'shoe': SHAOU
'and': SKP
'when': WHEPB
'it': T
'moved': PHOFD
'impatiently': EUPL/PAEURBT/HREU
'I': EU
'knew': TPHAOU
'without': WOUT
'looking': HRAOG
'up': UP
'what': WHA
'she': SHE
'was': WAS
'going': TKPW-G
'to': TO
'say:': SAEU/STPH-FPLT
'the': -T
'whole': WHOEL
'of': -F
'her': HER
'seemed': SAOEPLD
'to': TO
'be': -B
'in': TPH
'her': HER
'shoe.': SHAOU/TP-PL
'And': AFPBD
'my': PHEU
'love,': HRUF/KW-BG
'my': PHEU
'desire,': STKAOEUR/KW-BG
'were': WR
'in': TPH
'the': -T
'dragonfly;': TKRAG/O*PB/TPHRAOEU/STPH*FPLT
'for': TPOR
'some': SOPL
'reason': R-PB
'I': EU
'thought': THAUT
'that': THA
'if': TP
'it': T
'settled': SELTD
'there,': THR-RBGS
'on': OPB
'that': THA
'leaf,': HRAOEF/KW-BG
'the': -T
'broad': PWRAOD
'one': WUPB
'with': W
'the': -T
'red': RED
'flower': TPHRO*UR
'in': TPH
'the': -T
'middle': PH*EULD
'of': -F
'it,': T/KW-BG
'if': TP
'the': -T
'dragonfly': TKRAG/O*PB/TPHRAOEU
'settled': SELTD
'on': OPB
'the': -T
'leaf': HRAOEF
'she': SHE
'would': WO
'say': SAEU
'"Yes"': KW-GS/KPA*/KWRE/KR-GS
'at': AT
'once.': WUPBS/TP-PL
'But': KPA/PWUT
'the': -T
'dragonfly': TKRAG/O*PB/TPHRAOEU
'went': WEPBT
'round': ROUPBD
'and': SKP
'round:': ROUPBD/STPH-FPLT
'it': T
'never': TPHEFR
'settled': SELTD
'anywhere—of': TPHEUR/EPL/TKA*RB/-F
'course': KORS
'not,': TPHOT/KW-BG
'happily': HAP/HREU
'not,': TPHOT/KW-BG
'or': OR
'I': EU
'shouldn't': SHOPBT
'be': -B
'walking': WAUG
'here': HAOER
'with': W
'Eleanor': EL/TPHOR
'and': SKP
'the': -T
'children—Tell': KHEURPB/EPL/TKA*RB/KPA*/TEL
'me,': PHE/KW-BG
'Eleanor.': EL/TPHOR/TP-PL
'D'you': TK*P/AE/U
'ever': -FR
'think': THEU
'of': -F
'the': -T
'past?"': PAFT/H-F/KR-GS
'"Why': KW-GS/KPA*/KWR
'do': TKO
'you': U
'ask,': SK/KW-BG
'Simon?"': SAOEUPL/O*PB/H-F/KR-GS
'"Because': KW-GS/KPA*/PWAU
'I've': AOEUF
'been': PW-PB
'thinking': THEUG
'of': -F
'the': -T
'past.': PAFT/TP-PL
'I've': AOEUF
'been': PW-PB
'thinking': THEUG
'of': -F
'Lily,': KPA/HREUL/KWREU/KW-BG
'the': -T
'woman': WOPL
'I': EU
'might': PHAOEUT
'have': SR
'married....': PHAERD/TP-PL/TP-PL/TP-PL/TP-PL
'Well,': KPA/WEL/KW-BG
'why': KWR
'are': R
'you': U
'silent?': SHREPBT/H-F
'Do': KPA/TKO
'you': U
'mind': PHAOEUPBD
'my': PHEU
'thinking': THEUG
'of': -F
'the': -T
'past?"': PAFT/H-F/KR-GS
'"Why': KW-GS/KPA*/KWR
'should': SHO
'I': EU
'mind,': PHAOEUPBD/KW-BG
'Simon?': SAOEUPL/O*PB/H-F
'Doesn't': KPA/TKOPBT
'one': WUPB
'always': AULS
'think': THEU
'of': -F
'the': -T
'past,': PAFT/KW-BG
'in': TPH
'a': AEU
'garden': TKPWA*RPB
'with': W
'men': PHEPB
'and': SKP
'women': WEUPL
'lying': HRAOEUG
'under': TPH-PB
'the': -T
'trees?': TRAOES/H-F
'Aren't': KPA/R-PBT
'they': THE
'one's': W*UPBS
'past,': PAFT/KW-BG
'all': AUL
'that': THA
'remains': RE/PHAEUPBS
'of': -F
'it,': T/KW-BG
'those': THOZ
'men': PHEPB
'and': SKP
'women,': WEUPL/KW-BG
'those': THOZ
'ghosts': TKPWOEFTS
'lying': HRAOEUG
'under': TPH-PB
'the': -T
'trees,': TRAOES/KW-BG
'...': HR-PS
'one's': W*UPBS
'happiness,': HAEP/-PBS/KW-BG
'one's': W*UPBS
'reality?"': RAOELT/H-F/KR-GS
'"For': KW-GS/KPA*/TPOR
'me,': PHE/KW-BG
'a': AEU
'square': SKWAEUR
'silver': SEUL/SRER
'shoe': SHAOU
'buckle': PWUBG/*L
'and': SKP
'a': AEU
'dragonfly—"': TKRAG/O*PB/TPHRAOEU/EPL/TKA*RB/KR-GS
'"For': KW-GS/KPA*/TPOR
'me,': PHE/KW-BG
'a': AEU
'kiss.': KEUS/TP-PL
'Imagine': KPA/PHAPBLG
'six': SEUBGS
'little': HREUL
'girls': TKPWEURLS
'sitting': SEUGT
'before': PW-FR
'their': THAEUR
'easels': AOES/EL/-S
'twenty': TWEPBT
'years': KWRAOERS
'ago,': AG/KW-BG
'down': TKOUPB
'by': PWEU
'the': -T
'side': SAOEUD
'of': -F
'a': AEU
'lake,': HRAEUBG/KW-BG
'painting': PAEUPBG
'the': -T
'water-lilies,': WAUR/H-PB/HREUL/KWREU/-S/KW-BG
'the': -T
'first': TPEUFRT
'red': RED
'water-lilies': WAUR/H-PB/HREUL/KWREU/-S
'I'd': AOEUD
'ever': -FR
'seen.': SAOEPB/TP-PL
'And': AFPBD
'suddenly': SULD
'a': AEU
'kiss,': KEUS/KW-BG
'there': THR
'on': OPB
'the': -T
'back': PWABG
'of': -F
'my': PHEU
'neck.': TPHEBG/TP-PL
'And': AFPBD
'my': PHEU
'hand': HAPBD
'shook': SHAOBG
'all': AUL
'the': -T
'afternoon': AFPB
'so': SO
'that': THA
'I': EU
'couldn't': KOPBT
'paint.': PAEUPBT/TP-PL
'I': EU
'took': TAOBG
'out': OUT
'my': PHEU
'watch': WAFP
'and': SKP
'marked': PHARBGD
'the': -T
'hour': HOUR
'when': WHEPB
'I': EU
'would': WO
'allow': HROU
'myself': PHAO*EUS
'to': TO
'think': THEU
'of': -F
'the': -T
'kiss': KEUS
'for': TPOR
'five': TPAOEUF
'minutes': PHEUPBS
'only—it': OEPBL/EPL/TKA*RB/T
'was': WAS
'so': SO
'precious—the': PRERBS/EPL/TKA*RB/-T
'kiss': KEUS
'of': -F
'an': APB
'old': OLD
'grey-haired': TKPWRA*EU/H-PB/HAEURD
'woman': WOPL
'with': W
'a': AEU
'wart': WART
'on': OPB
'her': HER
'nose,': TPHOES/KW-BG
'the': -T
'mother': PHOER
'of': -F
'all': AUL
'my': PHEU
'kisses': KEUS/-S
'all': AUL
'my': PHEU
'life.': HRAOEUF/TP-PL
'Come,': KPA/KOPL/KW-BG
'Caroline,': KAEURL/AOEUPB/KW-BG
'come,': KOPL/KW-BG
'Hubert."': HAOU/PWERT/TP-PL/KR-GS
'They': KPA/THE
'walked': WAUBGD
'on': OPB
'past': PAFT
'the': -T
'flower-bed,': TPHRO*UR/PW*ED/KW-BG
'now': TPHOU
'walking': WAUG
'four': TPOUR
'abreast,': A/PWREFT/KW-BG
'and': SKP
'soon': SAOPB
'diminished': TKPHEURPB/-D
'in': TPH
'size': SAOEUZ
'among': PHOPBG
'the': -T
'trees': TRAOES
'and': SKP
'looked': HRAOBGD
'half': HAF
'transparent': TRAEUPBT
'as': AS
'the': -T
'sunlight': SULGT
'and': SKP
'shade': SHAEUD
'swam': SWAPL
'over': OEFR
'their': THAEUR
'backs': PWABGS
'in': TPH
'large': HRARPBLG
'trembling': TREPL/-BLG
'irregular': EUR/REG
'patches.': PAFPS/TP-PL
'In': KPA/TPH
'the': -T
'oval': OEFL
'flower': TPHRO*UR
'bed': PWED
'the': -T
'snail,': STPHAEUL/KW-BG
'whose': WHOZ
'shell': SHEL
'had': H
'been': PW-PB
'stained': STAEUPBD
'red,': RED/KW-BG
'blue,': PWHRU/KW-BG
'and': SKP
'yellow': KWREL/OE
'for': TPOR
'the': -T
'space': SPAEUS
'of': -F
'two': TWO
'minutes': PHEUPBS
'or': OR
'so,': SO/KW-BG
'now': TPHOU
'appeared': A/PAOERD
'to': TO
'be': -B
'moving': PHOFG
'very': SRE
'slightly': SHRAOEULT
'in': TPH
'its': EUTS
'shell,': SHEL/KW-BG
'and': SKP
'next': TPHEGT
'began': TKPWAPB
'to': TO
'labour': HRAEU/PWOUR
'over': OEFR
'the': -T
'crumbs': KRUPLS
'of': -F
'loose': HRAOS
'earth': *ERT
'which': WEU
'broke': PWROEBG
'away': WA*EU
'and': SKP
'rolled': ROLD
'down': TKOUPB
'as': AS
'it': T
'passed': PAFD
'over': OEFR
'them.': THEPL/TP-PL
'It': KPA/T
'appeared': A/PAOERD
'to': TO
'have': SR
'a': AEU
'definite': TKEFPBT
'goal': TKPWOEL
'in': TPH
'front': TPROPBT
'of': -F
'it,': T/KW-BG
'differing': TKEUFRG
'in': TPH
'this': TH
'respect': R-PT
'from': TPR
'the': -T
'singular': SEUPBG/HRAR
'high': HAOEU
'stepping': STEPG
'angular': APBG/HRAR
'green': TKPWRAOEPB
'insect': EUPB/SEBGT
'who': WHO
'attempted': A/TEPL/-D
'to': TO
'cross': KROS
'in': TPH
'front': TPROPBT
'of': -F
'it,': T/KW-BG
'and': SKP
'waited': WAEUTD
'for': TPOR
'a': AEU
'second': SEBGD
'with': W
'its': EUTS
'antennæ': A*EPBT/TPH*/TPH*/xxx
'trembling': TREPL/-BLG
'as': AS
'if': TP
'in': TPH
'deliberation,': TKHREUBGS/KW-BG
'and': SKP
'then': THEPB
'stepped': STEPD
'off': OF
'as': AS
'rapidly': RAEPLD
'and': SKP
'strangely': STRAEUPBG/HREU
'in': TPH
'the': -T
'opposite': OP/SEUT
'direction.': TKREBGS/TP-PL
'Brown': PWRO*UPB
'cliffs': KHREUFS
'with': W
'deep': TKAOEP
'green': TKPWRAOEPB
'lakes': HRAEUBGS
'in': TPH
'the': -T
'hollows,': HOL/OE/-S/KW-BG
'flat,': TPHRAT/KW-BG
'blade-like': PWHRAEUD/SKWRAO*EUBG
'trees': TRAOES
'that': THA
'waved': WAFD
'from': TPR
'root': RAOT
'to': TO
'tip,': TEUP/KW-BG
'round': ROUPBD
'boulders': PWOELD/ERS
'of': -F
'grey': TKPWRA*EU
'stone,': STOEPB/KW-BG
'vast': SRAFT
'crumpled': KRUFRP/-LD
'surfaces': SUFSZ
'of': -F
'a': AEU
'thin': THEUPB
'crackling': KRABG/-LG
'texture—all': TET/TAOUR/EPL/TKA*RB/AUL
'these': THEZ
'objects': OBS
'lay': HRAEU
'across': KRAOS
'the': -T
'snail's': STPHAEUL/AES
'progress': PROG
'between': TWAOEPB
'one': WUPB
'stalk': STAUBG
'and': SKP
'another': TPHOER
'to': TO
'his': HEUS
'goal.': TKPWOEL/TP-PL
'Before': KPA/PW-FR
'he': HE
'had': H
'decided': STKAOEUD/-D
'whether': WHR
'to': TO
'circumvent': SEURBG/SREPBT
'the': -T
'arched': AFRPBD
'tent': TEPBT
'of': -F
'a': AEU
'dead': TKED
'leaf': HRAOEF
'or': OR
'to': TO
'breast': PWREFT
'it': T
'there': THR
'came': KAEUPL
'past': PAFT
'the': -T
'bed': PWED
'the': -T
'feet': TPAOET
'of': -F
'other': OER
'human': HAOUPL
'beings.': -BGZ/TP-PL
'This': KPA/TH
'time': TAOEUPL
'they': THE
'were': WR
'both': PWO*T
'men.': PHEPB/TP-PL
'The': KPA/-T
'younger': KWRURPBG
'of': -F
'the': -T
'two': TWO
'wore': WOR
'an': APB
'expression': EBGS/PREGS
'of': -F
'perhaps': PRAPS
'unnatural': UPB/TPHARL
'calm;': KAUPL/STPH*FPLT
'he': HE
'raised': RA*EUFD
'his': HEUS
'eyes': AO*EUS
'and': SKP
'fixed': TPEUFD
'them': THEPL
'very': SRE
'steadily': STED/HREU
'in': TPH
'front': TPROPBT
'of': -F
'him': HEUPL
'while': WHAOEUL
'his': HEUS
'companion': KPAPB/KWROPB
'spoke,': SPOEBG/KW-BG
'and': SKP
'directly': TKREL
'his': HEUS
'companion': KPAPB/KWROPB
'had': H
'done': TKOPB
'speaking': SPAOEG
'he': HE
'looked': HRAOBGD
'on': OPB
'the': -T
'ground': TKPWROUPBD
'again': TKPWEPB
'and': SKP
'sometimes': STAOEUPLS
'opened': OEPD
'his': HEUS
'lips': HREUPS
'only': OEPBL
'after': AF
'a': AEU
'long': HROPBG
'pause': PAUS
'and': SKP
'sometimes': STAOEUPLS
'did': TK
'not': TPHOT
'open': OEP
'them': THEPL
'at': AT
'all.': AUL/TP-PL
'The': KPA/-T
'elder': ELD/ER
'man': PHAPB
'had': H
'a': AEU
'curiously': KAOURLS
'uneven': UPB/AOEPB
'and': SKP
'shaky': SHAEU/KEU
'method': PHO*D
'of': -F
'walking,': WAUG/KW-BG
'jerking': SKWRERBG/-G
'his': HEUS
'hand': HAPBD
'forward': TPAORD
'and': SKP
'throwing': THROEG
'up': UP
'his': HEUS
'head': HED
'abruptly,': A/PWRUPT/HREU/KW-BG
'rather': RAER
'in': TPH
'the': -T
'manner': PHAERPB
'of': -F
'an': APB
'impatient': EUPL/PAEURBT
'carriage': KAEURPBLG
'horse': HORS
'tired': TAOEURD
'of': -F
'waiting': WAEUGT
'outside': OUDZ
'a': AEU
'house;': HOUS/STPH*FPLT
'but': PWUT
'in': TPH
'the': -T
'man': PHAPB
'these': THEZ
'gestures': SKWRES/KHURS
'were': WR
'irresolute': EUR/RES/HRAOUT
'and': SKP
'pointless.': POEUPBT/-LS/TP-PL
'He': KPA/HE
'talked': TAUBGD
'almost': HR-PL
'incessantly;': EUPB/SEFPBT/HREU/STPH*FPLT
'he': HE
'smiled': SPHAOEULD
'to': TO
'himself': HEUPLS
'and': SKP
'again': TKPWEPB
'began': TKPWAPB
'to': TO
'talk,': TAUBG/KW-BG
'as': AS
'if': TP
'the': -T
'smile': SPHAOEUL
'had': H
'been': PW-PB
'an': APB
'answer.': AEPBS/TP-PL
'He': KPA/HE
'was': WAS
'talking': TAUG
'about': PW
'spirits—the': SPEURTS/EPL/TKA*RB/-T
'spirits': SPEURTS
'of': -F
'the': -T
'dead,': TKED/KW-BG
'who,': WHO/KW-BG
'according': KORG
'to': TO
'him,': HEUPL/KW-BG
'were': WR
'even': AOEPB
'now': TPHOU
'telling': TELG
'him': HEUPL
'all': AUL
'sorts': SORTS
'of': -F
'odd': OD
'things': THEUPBGS
'about': PW
'their': THAEUR
'experiences': SPAOEFRPBS
'in': TPH
'Heaven.': KPA/HEFPB/TP-PL
'"Heaven': KW-GS/KPA*/HEFPB
'was': WAS
'known': TPHOEPB
'to': TO
'the': -T
'ancients': AEURBT/-S
'as': AS
'Thessaly,': T*P/H*/*ES/SKWRA/HREU/KW-BG
'William,': WOEUPL/KW-BG
'and': SKP
'now,': TPHOURBGS
'with': W
'this': TH
'war,': WAR/KW-BG
'the': -T
'spirit': SPEURT
'matter': PHAERT
'is': S
'rolling': ROLG
'between': TWAOEPB
'the': -T
'hills': HEULS
'like': HRAOEUBG
'thunder."': THUPBD/TP-PL/KR-GS
'He': KPA/HE
'paused,': PAUFD/KW-BG
'seemed': SAOEPLD
'to': TO
'listen,': HREUFPB/KW-BG
'smiled,': SPHAOEULD/KW-BG
'jerked': SKWRERBGD
'his': HEUS
'head': HED
'and': SKP
'continued:—': T-PBD/STPH-FPLT/EPL/TKA*RB
'"You': KW-GS/KPA*/U
'have': SR
'a': AEU
'small': SPHAL
'electric': HREBG/TREUBG
'battery': PWAT/REU
'and': SKP
'a': AEU
'piece': PAOES
'of': -F
'rubber': RAOURB
'to': TO
'insulate': EUPB/SHRAEUT
'the': -T
'wire—isolate?—insulate?—well,': WAOEUR/EPL/TKA*RB/AOEUS/HRAT/H-F/EPL/TKA*RB/EUPB/SHRAEUT/H-F/EPL/TKA*RB/WEL/KW-BG
'we'll': WAOEL
'skip': SKEUP
'the': -T
'details,': TKE/TAEULS/KW-BG
'no': TPHO
'good': TKPWAOD
'going': TKPW-G
'into': TPHAO
'details': TKE/TAEULS
'that': THA
'wouldn't': WOPBT
'be': -B
'understood—and': *URPBD/EPL/TKA*RB/SKP
'in': TPH
'short': SHORT
'the': -T
'little': HREUL
'machine': PH-PB
'stands': STAPBDZ
'in': TPH
'any': TPHEU
'convenient': SRAOEPB
'position': POGS
'by': PWEU
'the': -T
'head': HED
'of': -F
'the': -T
'bed,': PWED/KW-BG
'we': WE
'will': HR
'say,': SAEU/KW-BG
'on': OPB
'a': AEU
'neat': TPHAOET
'mahogany': PHA/HOG/TPHEU
'stand.': STAPBD/TP-PL
'All': KPA/AUL
'arrangements': ARPBG/*PLT/-S
'being': -BG
'properly': PRORL
'fixed': TPEUFD
'by': PWEU
'workmen': WORBG/PHEPB
'under': TPH-PB
'my': PHEU
'direction,': TKREBGS/KW-BG
'the': -T
'widow': WO*EUD
'applies': A/PHRAOEUS
'her': HER
'ear': AOER
'and': SKP
'summons': SPHUPBS
'the': -T
'spirit': SPEURT
'by': PWEU
'sign': SAOEUPB
'as': AS
'agreed.': TKPWRAED/TP-PL
'Women!': KPA/WEUPL/SKHRAPL
'Widows!': KPA/WEUD/TKOE/-S/SKHRAPL
'Women': KPA/WEUPL
'in': TPH
'black——"': PWHRABG/EPL/TKA*RB/EPL/TKA*RB/KR-GS
'Here': KPA/HAOER
'he': HE
'seemed': SAOEPLD
'to': TO
'have': SR
'caught': KAUT
'sight': SAOEUT
'of': -F
'a': AEU
'woman's': WOPL/AES
'dress': TKRES
'in': TPH
'the': -T
'distance,': STKAPBS/KW-BG
'which': WEU
'in': TPH
'the': -T
'shade': SHAEUD
'looked': HRAOBGD
'a': AEU
'purple': PURPL
'black.': PWHRABG/TP-PL
'He': KPA/HE
'took': TAOBG
'off': OF
'his': HEUS
'hat,': HAT/KW-BG
'placed': PHRAEUFD
'his': HEUS
'hand': HAPBD
'upon': POPB
'his': HEUS
'heart,': HART/KW-BG
'and': SKP
'hurried': HUR/EUD
'towards': TORDZ
'her': HER
'muttering': PHUT/*ER/-G
'and': SKP
'gesticulating': SKWRES/TEUBG/HRAEUT/-G
'feverishly.': TPAOEFR/EURB/HREU/TP-PL
'But': KPA/PWUT
'William': WOEUPL
'caught': KAUT
'him': HEUPL
'by': PWEU
'the': -T
'sleeve': SHRAOEF
'and': SKP
'touched': TUFPD
'a': AEU
'flower': TPHRO*UR
'with': W
'the': -T
'tip': TEUP
'of': -F
'his': HEUS
'walking-stick': WAUG/H-PB/STEUBG
'in': TPH
'order': ORD
'to': TO
'divert': TKWERT
'the': -T
'old': OLD
'man's': PHAPB/AES
'attention.': TAEPBGS/TP-PL
'After': KPA/AF
'looking': HRAOG
'at': AT
'it': T
'for': TPOR
'a': AEU
'moment': PHOEPLT
'in': TPH
'some': SOPL
'confusion': KAUFGS
'the': -T
'old': OLD
'man': PHAPB
'bent': PWEPBT
'his': HEUS
'ear': AOER
'to': TO
'it': T
'and': SKP
'seemed': SAOEPLD
'to': TO
'answer': AEPBS
'a': AEU
'voice': SROEUS
'speaking': SPAOEG
'from': TPR
'it,': T/KW-BG
'for': TPOR
'he': HE
'began': TKPWAPB
'talking': TAUG
'about': PW
'the': -T
'forests': TPOEFRT/-S
'of': -F
'Uruguay': URG/WAEU
'which': WEU
'he': HE
'had': H
'visited': SREUFTD
'hundreds': HUPBS
'of': -F
'years': KWRAOERS
'ago': AG
'in': TPH
'company': K-P
'with': W
'the': -T
'most': PHOFT
'beautiful': PWAOUFL
'young': KWRUPBG
'woman': WOPL
'in': TPH
'Europe.': AO*URP/TP-PL
'He': KPA/HE
'could': KO
'be': -B
'heard': HAERD
'murmuring': PHUR/PHUR/-G
'about': PW
'forests': TPOEFRT/-S
'of': -F
'Uruguay': URG/WAEU
'blanketed': PWHRAPBGT/-D
'with': W
'the': -T
'wax': WABGS
'petals': PET/TALS
'of': -F
'tropical': TROP/K-L
