Ruby

'ruby': RAOU/PWEU
'.size': TP-PL/SAOEUZ
'exit': KPEUT
'1': #S
'.open': TP-PL/OEP
'(ARGV[0],': PREPB/A*RG/SR*/PWR-BGT/#O/PWR*BGT/KW-BG
''r')': A*E/R*/AE/PR*EPB
''w')': A*E/W*/AE/PR*EPB
'|words|': PAO*EUP/WORDZ/PAO*EUP
'dict.puts': TKEUBGT/TP-PL/PUTS
'"{"': KW-GS/TPR-BGT/KR-GS
'Regexp': KPA/REG/EBGS
'.new': TP-PL/TPHU
''(['': A*E/PREPB/PWR-BGT/AE
'+': PHR*US
'.keys': TP-PL/KAOES
'.map': TP-PL/PHAP
'|punk|': PAO*EUP/PUPBG/PAO*EUP
'.escape': TP-PL/SKAEP
'punk': PUPBG
''])'': A*E/PWR*BGT/PR*EPB/AE
'.rstrip': P-P/R*/STREUP
'next': TPHEGT
'.empty?': TP-PL/EPLT/H-F
'[word]': PWR-BG/WORD/PWR*BGT
'else': ELS
'%("#{word}")': P*ERS/PREPB/KR-GS/HAERB/TPR-BGT/WORD/TPR*BGT/KR-GS/PR*EPB
'JSON': SKWRO*FPB
'.parse': TP-PL/PARS
'.join(',')': TP-PL/SKWROEUPB/PREPB/AE/KW-BG/AE/PR*EPB
'"'#{line}':': KW-GS/AE/HAERB/TPR-BGT/HRAOEUPB/TPR*BGT/AE/STPH-FPLT
'#{translation}"': SPWO*L/TPR-BGT/THRAEUGS/TPR*BGT/KR-GS
'class': KHRAS
'<': PWRABG
'before_filter': PW-FR/TP*EURLT
'authorize!': THOR/SKHRAPL
'def': TK-F
'show': SHOE
'destroy': STKROEU
'index': TKEUPBGS
'list': HR*EUS
'update': AUP/TKAEUT
'new': TPHU
'@resource': SKWRAT/SRORS
'.save!': TP-PL/SAF/SKHRAPL
'flash[:success]': TPHRARB/PWR-BGT/SKES
'redirect_to': RE/TKREBGT/RUPBD/TO
'blog_post_path': PWHROG/RUPBD/POEFT/RUPBD/PA*T
'params[:email]': PRA*PL/-S/PWR-BGT/STPH-FPLT/AOE/PHAEUL/PWR*BGT
'each': AOEFP
'link_to': HR*EUPBG/RUPBD/TO
'has_many': HAS/RUPBD/PHAEPB
':integer': STPH-FPLT/SPWE/SKWRER
':datetime': KHR-PB/TKAEUT/TK-LS/TAOEUPL
':string(255)': KHR-PB/STREUPBG/PREPB/#T-/#A/#A/PR*EPB
':text': STPH-FPLT/TEGT
':decimal(8,7)': STPH-FPLT/TKES/PHAL/PREPB/#L/KW-BG/#-P/PR*EPB
':boolean': STPH-FPLT/HRO*ER/PWAOL/KWRAPB
'not': TPHOT
'false': TPALS
'true': TRAOU
'unless': TPH-LS
'||=': PAO*EUP/PAO*EUP/KW-L
'<<-ERROR': HAOER/TKO*BG/ROEUR
'.html_safe': P-P/H*PLT/RUPBD/SAEUF
'include': KHRU
'attr_reader': A*RT/RAERD
'attr_writer': A*RT/WREUR
'attr_accessor': A*RT/SESZ
'case': KAEUS
'when': WHEPB
'raise': RAEUZ
'&&': SPHAPBD/SPHAPBD
'==': KWA*LS/KWA*LS
'.try': TP-PL/TREU
'attributes': TR-BTS
'self': S*EF
'set_page_title': SET/RUPBD/PAEUPBLG/RUPBD/TAOEULT
'_links.html.erb': RUPBD/HR*EUPBGS/P-P/H*PLT/P-P/ERB
'<%=': *ERB/KPEBG
'<%': *ERB/O*EP
'%>': *ERB/KHRO*EZ
'content_tag': KAUPBT/RUPBD/TAG
'protected': PREBGTD
'private': PRAOEUFT
'return': RURPB
'initialize': TPHEURBL/AOEUZ
'NULL': *URP/TPHUL
'nil': TPHEUL
'rescue': RES/KAOU
'.blank?': TP-PL/PWHRA*PBG/H-F
warning_message=Hint: use the relevant tech dictionary
