The Dog and the Sparrow

'A': KPA/AEU
'all': AUL
'up.': UP/TP-PL
''Well,'': A*E/KPA*/WEL/KW-BG/AE
'said': SED
'the': -T
'sparrow,': SPAEUR/ROE/KW-BG
''you': A*E/U
'shall': SHAL
'have': SR
'some': SOPL
'more': PHOR
'if': TP
'you': U
'will;': HR/STPH*FPLT
'so': SO
'come': KOPL
'with': W
'me': PHE
'to': TO
'the': -T
'next': TPHEGT
'shop,': SHOP/KW-BG
'and': SKP
'I': EU
'will': HR
'peck': PEBG
'you': U
'down': TKOUPB
'another': TPHOER
'steak.'': STAEBG/TP-PL/AE
'When': KPA/WHEPB
'the': -T
'dog': TKOG
'had': H
'eaten': AOET/EPB
'this': TH
'too,': TAO/KW-BG
'the': -T
'sparrow': SPAEUR/ROE
'said': SED
'to': TO
'him,': HEUPL/KW-BG
''Well,': A*E/KPA*/WEL/KW-BG
'my': PHEU
'good': TKPWAOD
'friend,': TPREPBD/KW-BG
'have': SR
'you': U
'had': H
'enough': TPHUF
'now?'': TPHOU/H-F/AE
''I': A*E/EU
'have': SR
'had': H
'plenty': PHREPBT
'of': -F
'meat,'': PHAET/KW-BG/AE
'answered': AEPBS/-D
'he,': HE/KW-BG
''but': A*E/PWUT
'I': EU
'should': SHO
'like': HRAOEUBG
'to': TO
'have': SR
'a': AEU
'piece': PAOES
'of': -F
'bread': PWRAED
'to': TO
'eat': AOET
'after': AF
'it.'': T/TP-PL/AE
''Come': A*E/KPA*/KOPL
'with': W
'me': PHE
'then,'': THEPB/KW-BG/AE
'said': SED
'the': -T
'sparrow,': SPAEUR/ROE/KW-BG
''and': A*E/SKP
'you': U
'shall': SHAL
'soon': SAOPB
'have': SR
'that': THA
'too.'': TAO/TP-PL/AE
'So': KPA/SO
'she': SHE
'took': TAOBG
'him': HEUPL
'to': TO
'a': AEU
'baker's': PWAEURBG/AES
'shop,': SHOP/KW-BG
'and': SKP
'pecked': PEBGD
'at': AT
'two': TWO
'rolls': ROLS
'that': THA
'lay': HRAEU
'in': TPH
'the': -T
'window,': WOEUPBD/KW-BG
'till': TEUL
'they': THE
'fell': TPEL
'down:': TKOUPB/STPH-FPLT
'and': SKP
'as': AS
'the': -T
'dog': TKOG
'still': STEUL
'wished': WEURBD
'for': TPOR
'more,': PHOR/KW-BG
'she': SHE
'took': TAOBG
'him': HEUPL
'to': TO
'another': TPHOER
'shop': SHOP
'and': SKP
'pecked': PEBGD
'down': TKOUPB
'some': SOPL
'more': PHOR
'for': TPOR
'him.': HEUPL/TP-PL
'When': KPA/WHEPB
'that': THA
'was': WAS
'eaten,': AOET/EPB/KW-BG
'the': -T
'sparrow': SPAEUR/ROE
'asked': SK-D
'him': HEUPL
'whether': WHR
'he': HE
'had': H
'had': H
'enough': TPHUF
'now.': TPHOU/TP-PL
''Yes,'': A*E/KPA*/KWRE/KW-BG/AE
'said': SED
'he;': HE/STPH*FPLT
''and': A*E/SKP
'now': TPHOU
'let': HRET
'us': US
'take': TAEUBG
'a': AEU
'walk': WAUBG
'a': AEU
'little': HREUL
'way': WAEU
'out': OUT
'of': -F
'the': -T
'town.'': TOUPB/TP-PL/AE
'So': KPA/SO
'they': THE
'both': PWO*T
'went': WEPBT
'out': OUT
'upon': POPB
'the': -T
'high': HAOEU
'road;': RAOD/STPH*FPLT
'but': PWUT
'as': AS
'the': -T
'weather': WHR*
'was': WAS
'warm,': WARPL/KW-BG
'they': THE
'had': H
'not': TPHOT
'gone': TKPWOPB
'far': TPAR
'before': PW-FR
'the': -T
'dog': TKOG
'said,': SED/KW-BG
''I': A*E/EU
'am': APL
'very': SRE
'much': PHUFP
'tired--I': TAOEURD/H-PB/EURBGZ
'should': SHO
'like': HRAOEUBG
'to': TO
'take': TAEUBG
'a': AEU
'nap.'': TPHAP/TP-PL/AE
''Very': A*E/KPA*/SRE
'well,'': WEL/KW-BG/AE
'answered': AEPBS/-D
'the': -T
'sparrow,': SPAEUR/ROE/KW-BG
''do': A*E/TKO
'so,': SO/KW-BG
'and': SKP
'in': TPH
'the': -T
'meantime': PHAOEPB/TAO*EUPL
'I': EU
'will': HR
'perch': PEFRPB
'upon': POPB
'that': THA
'bush.'': PWURB/TP-PL/AE
'So': KPA/SO
'the': -T
'dog': TKOG
'stretched': STREFPD
'himself': HEUPLS
'out': OUT
'on': OPB
'the': -T
'road,': RAOD/KW-BG
'and': SKP
'fell': TPEL
'fast': TPAFT
'asleep.': A/SHRAOEP/TP-PL
'Whilst': KPA/WHAOEULS
'he': HE
'slept,': SHREPT/KW-BG
'there': THR
'came': KAEUPL
'by': PWEU
'a': AEU
'carter': HRO*ER/KA*RT/ER
'with': W
'a': AEU
'cart': KART
'drawn': TKRAUPB
'by': PWEU
'three': THRAOE
'horses,': HORSZ/KW-BG
'and': SKP
'loaded': HRAOD/-D
'with': W
'two': TWO
'casks': KAS/-BGS
'of': -F
'wine.': WAOEUPB/TP-PL
'The': KPA/-T
'sparrow,': SPAEUR/ROE/KW-BG
'seeing': SAOEG
'that': THA
'the': -T
'carter': HRO*ER/KA*RT/ER
'did': TK
'not': TPHOT
'turn': TURPB
'out': OUT
'of': -F
'the': -T
'way,': WAEU/KW-BG
'but': PWUT
'would': WO
'go': TKPW
'on': OPB
'in': TPH
'the': -T
'track': TRABG
'in': TPH
'which': WEU
'the': -T
'dog': TKOG
'lay,': HRAEU/KW-BG
'so': SO
'as': AS
'to': TO
'drive': TKRAOEUF
'over': OEFR
'him,': HEUPL/KW-BG
'called': KAULD
'out,': OUT/KW-BG
''Stop!': A*E/KPA*/STOP/SKHRAPL
'stop!': STOP/SKHRAPL
'Mr': PH*P/R*
'Carter,': KA*RT/ER/KW-BG
'or': OR
'it': T
'shall': SHAL
'be': -B
'the': -T
'worse': WORS
'for': TPOR
'you.'': U/TP-PL/AE
'But': KPA/PWUT
'the': -T
'carter,': HRO*ER/KA*RT/ER/KW-BG
'grumbling': TKPWRUPL/-BLG
'to': TO
'himself,': HEUPLS/KW-BG
''You': A*E/KPA*/U
'make': PHAEUBG
'it': T
'the': -T
'worse': WORS
'for': TPOR
'me,': PHE/KW-BG
'indeed!': TPHAOEPBD/SKHRAPL
'what': WHA
'can': K
'you': U
'do?'': TKO/H-F/AE
'cracked': KRABGD
'his': HEUS
'whip,': WHEUP/KW-BG
'and': SKP
'drove': TKROEF
'his': HEUS
'cart': KART
'over': OEFR
'the': -T
'poor': PAOR
'dog,': TKOG/KW-BG
'so': SO
'that': THA
'the': -T
'wheels': WHAOELS
'crushed': KRURBD
'him': HEUPL
'to': TO
'death.': TK*T/TP-PL
''There,'': A*E/KPA*/THR/KW-BG/AE
'cried': KRAOEUD
'the': -T
'sparrow,': SPAEUR/ROE/KW-BG
''thou': A*E/THO*U
'cruel': KRAOUL
'villain,': SREUL/AEUPB/KW-BG
'thou': THO*U
'hast': H*/A*/S*/T*
'killed': KEULD
'my': PHEU
'friend': TPREPBD
'the': -T
'dog.': TKOG/TP-PL
'Now': KPA/TPHOU
'mind': PHAOEUPBD
'what': WHA
'I': EU
'say.': SAEU/TP-PL
'This': KPA/TH
'deed': TKAOED
'of': -F
'thine': THAOEUPB
'shall': SHAL
'cost': KOFT
'thee': THAOE
'all': AUL
'thou': THO*U
'art': ART
'worth.'': WO*RT/TP-PL/AE
''Do': A*E/KPA*/TKO
'your': KWROUR
'worst,': WOFRT/KW-BG
'and': SKP
'welcome,'': WELG/KW-BG/AE
'said': SED
'the': -T
'brute,': PWRAOUT/KW-BG
''what': A*E/WHA
'harm': HARPL
'can': K
'you': U
'do': TKO
'me?'': PHE/H-F/AE
'and': SKP
'passed': PAFD
'on.': OPB/TP-PL
'But': KPA/PWUT
'the': -T
'sparrow': SPAEUR/ROE
'crept': KREPT
'under': TPH-PB
'the': -T
'tilt': TEULT
'of': -F
'the': -T
'cart,': KART/KW-BG
'and': SKP
'pecked': PEBGD
'at': AT
'the': -T
'bung': PWUPBG
'of': -F
'one': WUPB
'of': -F
'the': -T
'casks': KAS/-BGS
'till': TEUL
'she': SHE
'loosened': HRAOS/-PBD
'it;': T/STPH*FPLT
'and': SKP
'then': THEPB
'all': AUL
'the': -T
'wine': WAOEUPB
'ran': RAPB
'out,': OUT/KW-BG
'without': WOUT
'the': -T
'carter': HRO*ER/KA*RT/ER
'seeing': SAOEG
'it.': T/TP-PL
'At': KPA/AT
'last': HRAFT
'he': HE
'looked': HRAOBGD
'round,': ROUPBD/KW-BG
'and': SKP
'saw': SAU
'that': THA
'the': -T
'cart': KART
'was': WAS
'dripping,': TKREUPG/KW-BG
'and': SKP
'the': -T
'cask': KAFBG
'quite': KWAOEUT
'empty.': EPLT/TP-PL
''What': A*E/KPA*/WHA
'an': APB
'unlucky': UPB/HRUBG/KWREU
'wretch': WREFP
'I': EU
'am!'': APL/SKHRAPL/AE
'cried': KRAOEUD
'he.': HE/TP-PL
''Not': A*E/KPA*/TPHOT
'wretch': WREFP
'enough': TPHUF
'yet!'': KWRET/SKHRAPL/AE
'said': SED
'the': -T
'sparrow,': SPAEUR/ROE/KW-BG
'as': AS
'she': SHE
'alighted': A/HRAOEUTD
'upon': POPB
'the': -T
'head': HED
'of': -F
'one': WUPB
'of': -F
'the': -T
'horses,': HORSZ/KW-BG
'and': SKP
'pecked': PEBGD
'at': AT
'him': HEUPL
'till': TEUL
'he': HE
'reared': RAOER/-D
'up': UP
'and': SKP
'kicked.': KEUBGD/TP-PL
'When': KPA/WHEPB
'the': -T
'carter': HRO*ER/KA*RT/ER
'saw': SAU
'this,': TH/KW-BG
'he': HE
'drew': TKRAOU
'out': OUT
'his': HEUS
'hatchet': HABGT
'and': SKP
'aimed': AEUPLD
'a': AEU
'blow': PWHROE
'at': AT
'the': -T
'sparrow,': SPAEUR/ROE/KW-BG
'meaning': PHAOEPBG
'to': TO
'kill': KEUL
'her;': HER/STPH*FPLT
'but': PWUT
'she': SHE
'flew': TPHRAOU
'away,': WA*EU/KW-BG
'and': SKP
'the': -T
'blow': PWHROE
'fell': TPEL
'upon': POPB
'the': -T
'poor': PAOR
'horse's': HORS/AES
'head': HED
'with': W
'such': SUFP
'force,': TPORS/KW-BG
'that': THA
'he': HE
'fell': TPEL
'down': TKOUPB
'dead.': TKED/TP-PL
''Unlucky': A*E/KPA*/UPB/HRUBG/KWREU
'wretch': WREFP
'that': THA
'I': EU
'am!'': APL/SKHRAPL/AE
'cried': KRAOEUD
'he.': HE/TP-PL
''Not': A*E/KPA*/TPHOT
'wretch': WREFP
'enough': TPHUF
'yet!'': KWRET/SKHRAPL/AE
'said': SED
'the': -T
'sparrow.': SPAEUR/ROE/TP-PL
'And': AFPBD
'as': AS
'the': -T
'carter': HRO*ER/KA*RT/ER
'went': WEPBT
'on': OPB
'with': W
'the': -T
'other': OER
'two': TWO
'horses,': HORSZ/KW-BG
'she': SHE
'again': TKPWEPB
'crept': KREPT
'under': TPH-PB
'the': -T
'tilt': TEULT
'of': -F
'the': -T
'cart,': KART/KW-BG
'and': SKP
'pecked': PEBGD
'out': OUT
'the': -T
'bung': PWUPBG
'of': -F
'the': -T
'second': SEBGD
'cask,': KAFBG/KW-BG
'so': SO
'that': THA
'all': AUL
'the': -T
'wine': WAOEUPB
'ran': RAPB
'out.': OUT/TP-PL
'When': KPA/WHEPB
'the': -T
'carter': HRO*ER/KA*RT/ER
'saw': SAU
'this,': TH/KW-BG
'he': HE
'again': TKPWEPB
'cried': KRAOEUD
'out,': OUT/KW-BG
''Miserable': A*E/KPA*/PHEUZ/-BL
'wretch': WREFP
'that': THA
'I': EU
'am!'': APL/SKHRAPL/AE
'But': KPA/PWUT
'the': -T
'sparrow': SPAEUR/ROE
'answered,': AEPBS/-D/KW-BG
''Not': A*E/KPA*/TPHOT
'wretch': WREFP
'enough': TPHUF
'yet!'': KWRET/SKHRAPL/AE
'and': SKP
'perched': PEFRPBD
'on': OPB
'the': -T
'head': HED
'of': -F
'the': -T
'second': SEBGD
'horse,': HORS/KW-BG
'and': SKP
'pecked': PEBGD
'at': AT
'him': HEUPL
'too.': TAO/TP-PL
'The': KPA/-T
'carter': HRO*ER/KA*RT/ER
'ran': RAPB
'up': UP
'and': SKP
'struck': STRUBG
'at': AT
'her': HER
'again': TKPWEPB
'with': W
'his': HEUS
'hatchet;': HABGT/STPH*FPLT
'but': PWUT
'away': WA*EU
'she': SHE
'flew,': TPHRAOU/KW-BG
'and': SKP
'the': -T
'blow': PWHROE
'fell': TPEL
'upon': POPB
'the': -T
'second': SEBGD
'horse': HORS
'and': SKP
'killed': KEULD
'him': HEUPL
'on': OPB
'the': -T
'spot.': SPOT/TP-PL
''Unlucky': A*E/KPA*/UPB/HRUBG/KWREU
'wretch': WREFP
'that': THA
'I': EU
'am!'': APL/SKHRAPL/AE
'said': SED
'he.': HE/TP-PL
''Not': A*E/KPA*/TPHOT
'wretch': WREFP
'enough': TPHUF
'yet!'': KWRET/SKHRAPL/AE
'said': SED
'the': -T
'sparrow;': SPAEUR/ROE/STPH*FPLT
'and': SKP
'perching': PER/-FPG
'upon': POPB
'the': -T
'third': THEURD
'horse,': HORS/KW-BG
'she': SHE
'began': TKPWAPB
'to': TO
'peck': PEBG
'him': HEUPL
'too.': TAO/TP-PL
'The': KPA/-T
'carter': HRO*ER/KA*RT/ER
'was': WAS
'mad': PHAD
'with': W
'fury;': TPAOU/REU/STPH*FPLT
'and': SKP
'without': WOUT
'looking': HRAOG
'about': PW
'him,': HEUPL/KW-BG
'or': OR
'caring': KARG
'what': WHA
'he': HE
'was': WAS
'about,': PW-RBGS
'struck': STRUBG
'again': TKPWEPB
'at': AT
'the': -T
'sparrow;': SPAEUR/ROE/STPH*FPLT
'but': PWUT
'killed': KEULD
'his': HEUS
'third': THEURD
'horse': HORS
'as': AS
'he': HE
'done': TKOPB
'the': -T
'other': OER
'two.': TWO/TP-PL
''Alas!': A*E/KPA*/A/HRAS/SKHRAPL
'miserable': PHEUZ/-BL
'wretch': WREFP
'that': THA
'I': EU
'am!'': APL/SKHRAPL/AE
'cried': KRAOEUD
'he.': HE/TP-PL
''Not': A*E/KPA*/TPHOT
'wretch': WREFP
'enough': TPHUF
'yet!'': KWRET/SKHRAPL/AE
'answered': AEPBS/-D
'the': -T
'sparrow': SPAEUR/ROE
'as': AS
'she': SHE
'flew': TPHRAOU
'away;': WA*EU/STPH*FPLT
''now': A*E/TPHOU
'will': HR
'I': EU
'plague': PHRA*EUG
'and': SKP
'punish': P-RB
'thee': THAOE
'at': AT
'thy': THAO*EU
'own': OEPB
'house.'': HOUS/TP-PL/AE
'The': KPA/-T
'carter': HRO*ER/KA*RT/ER
'was': WAS
'forced': TPOFRD
'at': AT
'last': HRAFT
'to': TO
'leave': HREF
'his': HEUS
'cart': KART
'behind': HEUPBD
'him,': HEUPL/KW-BG
'and': SKP
'to': TO
'go': TKPW
'home': HOEPL
'overflowing': AUFR/TPHROEG
'with': W
'rage': RAEUPBLG
'and': SKP
'vexation.': SREBGS/AEUGS/TP-PL
''Alas!'': A*E/KPA*/A/HRAS/SKHRAPL/AE
'said': SED
'he': HE
'to': TO
'his': HEUS
'wife,': WAOEUF/KW-BG
''what': A*E/WHA
'ill': EUL
'luck': HRUBG
'has': HAS
'befallen': PWE/TPAUPBL
'me!--my': PHE/SKHRAPL/H-PB/H-PB/PHEU
'wine': WAOEUPB
'is': S
'all': AUL
'spilt,': SPEULT/KW-BG
'and': SKP
'my': PHEU
'horses': HORSZ
'all': AUL
'three': THRAOE
'dead.'': TKED/TP-PL/AE
''Alas!': A*E/KPA*/A/HRAS/SKHRAPL
'husband,'': HUS/KW-BG/AE
'replied': RE/PHRAOEUD
'she,': SHE/KW-BG
''and': A*E/SKP
'a': AEU
'wicked': WEUBGD
'bird': PWEURD
'has': HAS
'come': KOPL
'into': TPHAO
'the': -T
'house,': HOUS/KW-BG
'and': SKP
'has': HAS
'brought': PWRAUT
'with': W
'her': HER
'all': AUL
'the': -T
'birds': PWEURDZ
'in': TPH
'the': -T
'world,': WORLD/KW-BG
'I': EU
'am': APL
'sure,': SHAOURBGS
'and': SKP
'they': THE
'have': SR
'fallen': TPAUPBL
'upon': POPB
'our': OUR
'corn': KORPB
'in': TPH
'the': -T
'loft,': HRO*FT/KW-BG
'and': SKP
'are': R
'eating': AOEGT
'it': T
'up': UP
'at': AT
'such': SUFP
'a': AEU
'rate!'': RAEUT/SKHRAPL/AE
'Away': KPA/WA*EU
'ran': RAPB
'the': -T
'husband': HUS
'upstairs,': AUP/STAEURS/KW-BG
'and': SKP
'saw': SAU
'thousands': THOUDZ
'of': -F
'birds': PWEURDZ
'sitting': SEUGT
'upon': POPB
'the': -T
'floor': TPHRAOR
'eating': AOEGT
'up': UP
'his': HEUS
'corn,': KORPB/KW-BG
'with': W
'the': -T
'sparrow': SPAEUR/ROE
'in': TPH
'the': -T
'midst': PHEUDZ
'of': -F
'them.': THEPL/TP-PL
''Unlucky': A*E/KPA*/UPB/HRUBG/KWREU
'wretch': WREFP
'that': THA
'I': EU
'am!'': APL/SKHRAPL/AE
'cried': KRAOEUD
'the': -T
'carter;': HRO*ER/KA*RT/ER/STPH*FPLT
'for': TPOR
'he': HE
'saw': SAU
'that': THA
'the': -T
'corn': KORPB
'was': WAS
'almost': HR-PL
'all': AUL
'gone.': TKPWOPB/TP-PL
''Not': A*E/KPA*/TPHOT
'wretch': WREFP
'enough': TPHUF
'yet!'': KWRET/SKHRAPL/AE
'said': SED
'the': -T
'sparrow;': SPAEUR/ROE/STPH*FPLT
''thy': A*E/THAO*EU
'cruelty': KRAOULT
'shall': SHAL
'cost': KOFT
'thee': THAOE
'thy': THAO*EU
'life': HRAOEUF
'yet!'': KWRET/SKHRAPL/AE
'and': SKP
'away': WA*EU
'she': SHE
'flew.': TPHRAOU/TP-PL
'The': KPA/-T
'carter': HRO*ER/KA*RT/ER
'seeing': SAOEG
'that': THA
'he': HE
'had': H
'thus': THUS
'lost': HRO*S
'all': AUL
'that': THA
'he': HE
'had,': H/KW-BG
'went': WEPBT
'down': TKOUPB
'into': TPHAO
'his': HEUS
'kitchen;': K-FP/STPH*FPLT
'and': SKP
'was': WAS
'still': STEUL
'not': TPHOT
'sorry': SOER
'for': TPOR
'what': WHA
'he': HE
'had': H
'done,': TKOPB/KW-BG
'but': PWUT
'sat': SAT
'himself': HEUPLS
'angrily': APBG/REU/HREU
'and': SKP
'sulkily': S*ULG/TK-LS/*EU/HREU
'in': TPH
'the': -T
'chimney': KHEUPL/TPHEU
'corner.': KRORPB/TP-PL
'But': KPA/PWUT
'the': -T
'sparrow': SPAEUR/ROE
'sat': SAT
'on': OPB
'the': -T
'outside': OUDZ
'of': -F
'the': -T
'window,': WOEUPBD/KW-BG
'and': SKP
'cried': KRAOEUD
''Carter!': A*E/KA*RT/ER/SKHRAPL
'thy': THAO*EU
'cruelty': KRAOULT
'shall': SHAL
'cost': KOFT
'thee': THAOE
'thy': THAO*EU
'life!'': HRAOEUF/SKHRAPL/AE
'With': KPA/W
'that': THA
'he': HE
'jumped': SKWR*UPLD
'up': UP
'in': TPH
'a': AEU
'rage,': RAEUPBLG/KW-BG
'seized': SAOEZ/-D
'his': HEUS
'hatchet,': HABGT/KW-BG
'and': SKP
'threw': THRAOU
'it': T
'at': AT
'the': -T
'sparrow;': SPAEUR/ROE/STPH*FPLT
'but': PWUT
'it': T
'missed': PHEUFD
'her,': HER/KW-BG
'and': SKP
'only': OEPBL
'broke': PWROEBG
'the': -T
'window.': WOEUPBD/TP-PL
'The': KPA/-T
'sparrow': SPAEUR/ROE
'now': TPHOU
'hopped': HOPD
'in,': TPH/KW-BG
'perched': PEFRPBD
'upon': POPB
'the': -T
'window-seat,': WOEUPBD/H-PB/SAOET/KW-BG
'and': SKP
'cried,': KRAOEUD/KW-BG
''Carter!': A*E/KA*RT/ER/SKHRAPL
'it': T
'shall': SHAL
'cost': KOFT
'thee': THAOE
'thy': THAO*EU
'life!'': HRAOEUF/SKHRAPL/AE
'Then': KPA/THEPB
'he': HE
'became': PWAEUPL
'mad': PHAD
'and': SKP
'blind': PWHRAOEUPBD
'with': W
'rage,': RAEUPBLG/KW-BG
'and': SKP
'struck': STRUBG
'the': -T
'window-seat': WOEUPBD/H-PB/SAOET
'with': W
'such': SUFP
'force': TPORS
'that': THA
'he': HE
'cleft': KHREFT
'it': T
'in': TPH
'two:': TWO/STPH-FPLT
'and': SKP
'as': AS
'the': -T
'sparrow': SPAEUR/ROE
'flew': TPHRAOU
'from': TPR
'place': PHRAEUS
'to': TO
'place,': PHRAEUS/KW-BG
'the': -T
'carter': HRO*ER/KA*RT/ER
'and': SKP
'his': HEUS
'wife': WAOEUF
'were': WR
'so': SO
'furious,': TPAOURS/KW-BG
'that': THA
'they': THE
'broke': PWROEBG
'all': AUL
'their': THAEUR
'furniture,': TPURPBT/KW-BG
'glasses,': TKPWHRAFS/KW-BG
'chairs,': KHAEURS/KW-BG
'benches,': PWEPB/-FPS/KW-BG
'the': -T
'table,': TAEUBL/KW-BG
'and': SKP
'at': AT
'last': HRAFT
'the': -T
'walls,': WAULS/KW-BG
'without': WOUT
'touching': TUFPG
'the': -T
'bird': PWEURD
'at': AT
'all.': AUL/TP-PL
'In': KPA/TPH
'the': -T
'end,': EPBD/KW-BG
'however,': HOUF/KW-BG
'they': THE
'caught': KAUT
'her:': HER/STPH-FPLT
'and': SKP
'the': -T
'wife': WAOEUF
'said,': SED/KW-BG
''Shall': A*E/KPA*/SHAL
'I': EU
'kill': KEUL
'her': HER
'at': AT
'once?'': WUPBS/H-F/AE
''No,'': A*E/KPA*/TPHO/KW-BG/AE
'cried': KRAOEUD
'he,': HE/KW-BG
''that': A*E/THA
'is': S
'letting': HREGT
'her': HER
'off': OF
'too': TAO
'easily:': AOELS/STPH-FPLT
'she': SHE
'shall': SHAL
'die': TKAOEU
'a': AEU
'much': PHUFP
'more': PHOR
'cruel': KRAOUL
'death;': TK*T/STPH*FPLT
'I': EU
'will': HR
'eat': AOET
'her.'': HER/TP-PL/AE
'But': KPA/PWUT
'the': -T
'sparrow': SPAEUR/ROE
'began': TKPWAPB
'to': TO
'flutter': TPHRUT/ER
'about,': PW-RBGS
'and': SKP
'stretch': STREFP
'out': OUT
'her': HER
'neck': TPHEBG
'and': SKP
'cried,': KRAOEUD/KW-BG
''Carter!': A*E/KA*RT/ER/SKHRAPL
'it': T
'shall': SHAL
'cost': KOFT
'thee': THAOE
'thy': THAO*EU
'life': HRAOEUF
'yet!'': KWRET/SKHRAPL/AE
'With': KPA/W
'that': THA
'he': HE
'could': KO
'wait': WAEUT
'no': TPHO
'longer:': HRORPBG/STPH-FPLT
'so': SO
'he': HE
'gave': TKPWAEUF
'his': HEUS
'wife': WAOEUF
'the': -T
'hatchet,': HABGT/KW-BG
'and': SKP
'cried,': KRAOEUD/KW-BG
''Wife,': A*E/KPA*/WAOEUF/KW-BG
'strike': STRAOEUBG
'at': AT
'the': -T
'bird': PWEURD
'and': SKP
'kill': KEUL
'her': HER
'in': TPH
'my': PHEU
'hand.'': HAPBD/TP-PL/AE
'And': AFPBD
'the': -T
'wife': WAOEUF
'struck;': STRUBG/STPH*FPLT
'but': PWUT
'she': SHE
'missed': PHEUFD
'her': HER
'aim,': AEUPL/KW-BG
'and': SKP
'hit': HEUT
'her': HER
'husband': HUS
'on': OPB
'the': -T
'head': HED
'so': SO
'that': THA
'he': HE
'fell': TPEL
'down': TKOUPB
'dead,': TKED/KW-BG
'and': SKP
'the': -T
'sparrow': SPAEUR/ROE
'flew': TPHRAOU
'quietly': KWAO*EULT
'home': HOEPL
'to': TO
'her': HER
'nest.': TPHEFT/TP-PL
