The Beetle Who Went on His Travels

'There': KPA/THR
'senses,"': SEPBS/-S/KW-BG/KR-GS
'cried': KRAOEUD
'the': -T
'farrier.': TP*/A*/R*/R*/SKWREU/*ER/TP-PL
'"Golden': KW-GS/KPA*/TKPWOELD/*EPB
'shoes': SHAOUS
'for': TPOR
'you,': U/KW-BG
'indeed!"': TPHAOEPBD/SKHRAPL/KR-GS
'"Yes,': KW-GS/KPA*/KWRE/KW-BG
'certainly;': SERPBL/STPH*FPLT
'golden': TKPWOELD/*EPB
'shoes,"': SHAOUS/KW-BG/KR-GS
'replied': RE/PHRAOEUD
'the': -T
'beetle.': PWAO*ELT/TP-PL
'"Am': KW-GS/KPA*/APL
'I': EU
'not': TPHOT
'just': SKWRUFT
'as': AS
'good': TKPWAOD
'as': AS
'that': THA
'great': TKPWRAET
'creature': KRAOEFP
'yonder,': KWROPBD/ER/KW-BG
'who': WHO
'is': S
'waited': WAEUTD
'upon': POPB
'and': SKP
'brushed,': PWRURBD/KW-BG
'and': SKP
'has': HAS
'food': TPAOD
'and': SKP
'drink': TKREU
'placed': PHRAEUFD
'before': PW-FR
'him?': HEUPL/H-F
'And': AFPBD
'don't': TKOEPBT
'I': EU
'belong': PWHROPBG
'to': TO
'the': -T
'royal': ROEUL
'stables?"': STAEUBLS/H-F/KR-GS
'"But': KW-GS/KPA*/PWUT
'why': KWR
'does': TKOS
'the': -T
'horse': HORS
'have': SR
'golden': TKPWOELD/*EPB
'shoes?"': SHAOUS/H-F/KR-GS
'asked': SK-D
'the': -T
'farrier;': TP*/A*/R*/R*/SKWREU/*ER/STPH*FPLT
'"of': KW-GS/-F
'course': KORS
'you': U
'understand': URPBD
'the': -T
'reason?"': R-PB/H-F/KR-GS
'"Understand!': KW-GS/KPA*/URPBD/SKHRAPL
'Well,': KPA/WEL/KW-BG
'I': EU
'understand': URPBD
'that': THA
'it': T
'is': S
'a': AEU
'personal': PERPBL
'slight': SHRAOEUT
'to': TO
'me,"': PHE/KW-BG/KR-GS
'cried': KRAOEUD
'the': -T
'beetle.': PWAO*ELT/TP-PL
'"It': KW-GS/KPA*/T
'is': S
'done': TKOPB
'to': TO
'annoy': A/TPHOEU
'me,': PHE/KW-BG
'so': SO
'I': EU
'intend': SPWEPBD
'to': TO
'go': TKPW
'out': OUT
'into': TPHAO
'the': -T
'world': WORLD
'and': SKP
'seek': SAOEBG
'my': PHEU
'fortune."': TP-RPB/TP-PL/KR-GS
'"Go': KW-GS/KPA*/TKPW
'along': HRAOPBG
'with': W
'you,"': U/KW-BG/KR-GS
'said': SED
'the': -T
'farrier.': TP*/A*/R*/R*/SKWREU/*ER/TP-PL
'"You're': KW-GS/KPA*/UR
'a': AEU
'rude': RAOUD
'fellow,"': TP*EL/KW-BG/KR-GS
'cried': KRAOEUD
'the': -T
'beetle,': PWAO*ELT/KW-BG
'as': AS
'he': HE
'walked': WAUBGD
'out': OUT
'of': -F
'the': -T
'stable;': STABL/STPH*FPLT
'and': SKP
'then': THEPB
'he': HE
'flew': TPHRAOU
'for': TPOR
'a': AEU
'short': SHORT
'distance,': STKAPBS/KW-BG
'till': TEUL
'he': HE
'found': TPOUPBD
'himself': HEUPLS
'in': TPH
'a': AEU
'beautiful': PWAOUFL
'flower-garden,': TPHRO*UR/H-PB/TKPWA*RPB/KW-BG
'all': AUL
'fragrant': TPRAEUG/RAPBT
'with': W
'roses': ROES/-S
'and': SKP
'lavender.': HRAF/TKER/TP-PL
'The': KPA/-T
'lady-birds,': HRA*ED/H-PB/PWEURDZ/KW-BG
'with': W
'red': RED
'and': SKP
'black': PWHRABG
'shells': SHELS
'on': OPB
'their': THAEUR
'backs,': PWABGS/KW-BG
'and': SKP
'delicate': TKEL/KAT
'wings,': WEUPBGS/KW-BG
'were': WR
'flying': TPHRAOEUG
'about,': PW-RBGS
'and': SKP
'one': WUPB
'of': -F
'them': THEPL
'said,': SED/KW-BG
'"Is': KW-GS/KPA*/S
'it': T
'not': TPHOT
'sweet': SWAOET
'and': SKP
'lovely': HROFL
'here?': HAOER/H-F
'Oh,': KPA/O*ERBGS/KW-BG
'how': HOU
'beautiful': PWAOUFL
'everything': EFRG
'is."': S/TP-PL/KR-GS
'"I': KW-GS/EU
'am': APL
'accustomed': A/KUFPLD
'to': TO
'better': PWOERT
'things,"': THEUPBGS/KW-BG/KR-GS
'said': SED
'the': -T
'beetle.': PWAO*ELT/TP-PL
'"Do': KW-GS/KPA*/TKO
'you': U
'call': KAUL
'this': TH
'beautiful?': PWAOUFL/H-F
'Why,': KPA/KWR/KW-BG
'there': THR
'is': S
'not': TPHOT
'even': AOEPB
'a': AEU
'dung-heap."': TKUPBG/H-PB/HAOEP/TP-PL/KR-GS
'Then': KPA/THEPB
'he': HE
'went': WEPBT
'on,': OPB/KW-BG
'and': SKP
'under': TPH-PB
'the': -T
'shadow': SHOEUD
'of': -F
'a': AEU
'large': HRARPBLG
'haystack': HA*EU/STABG
'he': HE
'found': TPOUPBD
'a': AEU
'caterpillar': KAT/PHRAR
'crawling': KRAULG
'along.': HRAOPBG/TP-PL
'"How': KW-GS/KPA*/HOU
'beautiful': PWAOUFL
'this': TH
'world': WORLD
'is!"': S/SKHRAPL/KR-GS
'said': SED
'the': -T
'caterpillar.': KAT/PHRAR/TP-PL
'"The': KW-GS/KPA*/-T
'sun': SUPB
'is': S
'so': SO
'warm,': WARPL/KW-BG
'I': EU
'quite': KWAOEUT
'enjoy': TPHOEUPBLG
'it.': T/TP-PL
'And': AFPBD
'soon': SAOPB
'I': EU
'shall': SHAL
'go': TKPW
'to': TO
'sleep,': SHRAOEP/KW-BG
'and': SKP
'die': TKAOEU
'as': AS
'they': THE
'call': KAUL
'it,': T/KW-BG
'but': PWUT
'I': EU
'shall': SHAL
'wake': WAEUBG
'up': UP
'with': W
'beautiful': PWAOUFL
'wings': WEUPBGS
'to': TO
'fly': TPHRAOEU
'with,': W/KW-BG
'like': HRAOEUBG
'a': AEU
'butterfly."': PW*URT/TPHRAOEU/TP-PL/KR-GS
'"How': KW-GS/KPA*/HOU
'conceited': KAUPB/SAOET/-D
'you': U
'are!"': R/SKHRAPL/KR-GS
'exclaimed': SKHRAEUPLD
'the': -T
'beetle.': PWAO*ELT/TP-PL
'"Fly': KW-GS/KPA*/TPHRAOEU
'about': PW
'as': AS
'a': AEU
'butterfly,': PW*URT/TPHRAOEU/KW-BG
'indeed!': TPHAOEPBD/SKHRAPL
'what': WHA
'of': -F
'that.': THA/TP-PL
'I': EU
'have': SR
'come': KOPL
'out': OUT
'of': -F
'the': -T
'Emperor's': KPA/EPL/ROR/AES
'stable,': STAEURBLGS
'and': SKP
'no': TPHO
'one': WUPB
'there,': THR-RBGS
'not': TPHOT
'even': AOEPB
'the': -T
'Emperor's': KPA/EPL/ROR/AES
'horse,': HORS/KW-BG
'who,': WHO/KW-BG
'in': TPH
'fact,': TPABGT/KW-BG
'wears': WAERS
'my': PHEU
'cast-off': KAFT/O*F
'golden': TKPWOELD/*EPB
'shoes,': SHAOUS/KW-BG
'has': HAS
'any': TPHEU
'idea': KWR-D
'of': -F
'flying,': TPHRAOEUG/KW-BG
'excepting': KPEPT/-G
'myself.': PHAO*EUS/TP-PL
'To': KPA/TO
'have': SR
'wings': WEUPBGS
'and': SKP
'fly!': TPHRAOEU/SKHRAPL
'why,': KWR-RBGS
'I': EU
'can': K
'do': TKO
'that': THA
'already;"': HR-R/STPH*FPLT/KR-GS
'and': SKP
'so': SO
'saying,': SAEUG/KW-BG
'he': HE
'spread': SPRED
'his': HEUS
'wings': WEUPBGS
'and': SKP
'flew': TPHRAOU
'away.': WA*EU/TP-PL
'"I': KW-GS/EU
'don't': TKOEPBT
'want': WAPBT
'to': TO
'be': -B
'disgusted,"': TKEUS/TKPWUFT/-D/KW-BG/KR-GS
'he': HE
'said': SED
'to': TO
'himself,': HEUPLS/KW-BG
'"and': KW-GS/SKP
'yet': KWRET
'I': EU
'can't': K-PBT
'help': HEP
'it."': T/TP-PL/KR-GS
'Soon': KPA/SAOPB
'after,': AF/KW-BG
'he': HE
'fell': TPEL
'down': TKOUPB
'upon': POPB
'an': APB
'extensive': EBGS/TEPBS/EUF
'lawn,': HRAUPB/KW-BG
'and': SKP
'for': TPOR
'a': AEU
'time': TAOEUPL
'pretended': PRE/TEPBD/-D
'to': TO
'sleep,': SHRAOEP/KW-BG
'but': PWUT
'at': AT
'last': HRAFT
'fell': TPEL
'asleep': A/SHRAOEP
'in': TPH
'earnest.': ERPB/EFT/TP-PL
'Suddenly': KPA/SULD
'a': AEU
'heavy': HOEUF
'shower': SHOUR
'of': -F
'rain': RAEUPB
'came': KAEUPL
'falling': TPAULG
'from': TPR
'the': -T
'clouds.': KHROUDZ/TP-PL
'The': KPA/-T
'beetle': PWAO*ELT
'woke': WOEBG
'up': UP
'with': W
'the': -T
'noise': TPHOEUS
'and': SKP
'would': WO
'have': SR
'been': PW-PB
'glad': TKPWHRAD
'to': TO
'creep': KRAOEP
'into': TPHAO
'the': -T
'earth': *ERT
'for': TPOR
'shelter,': SHELT/KW-BG
'but': PWUT
'he': HE
'could': KO
'not.': TPHOT/TP-PL
'He': KPA/HE
'was': WAS
'tumbled': TUPL/-BLD
'over': OEFR
'and': SKP
'over': OEFR
'with': W
'the': -T
'rain,': RAEUPB/KW-BG
'sometimes': STAOEUPLS
'swimming': SWEUPLG
'on': OPB
'his': HEUS
'stomach': STUPL
'and': SKP
'sometimes': STAOEUPLS
'on': OPB
'his': HEUS
'back;': PWABG/STPH*FPLT
'and': SKP
'as': AS
'for': TPOR
'flying,': TPHRAOEUG/KW-BG
'that': THA
'was': WAS
'out': OUT
'of': -F
'the': -T
'question.': KWE/TP-PL
'He': KPA/HE
'began': TKPWAPB
'to': TO
'doubt': TKOUT
'whether': WHR
'he': HE
'should': SHO
'escape': SKAEP
'with': W
'his': HEUS
'life,': HRAOEUF/KW-BG
'so': SO
'he': HE
'remained,': RE/PHAEUPBD/KW-BG
'quietly': KWAO*EULT
'lying': HRAOEUG
'where': W-R
'he': HE
'was.': WAS/TP-PL
'After': KPA/AF
'a': AEU
'while': WHAOEUL
'the': -T
'weather': WHR*
'cleared': KHRAOERD
'up': UP
'a': AEU
'little,': HREUL/KW-BG
'and': SKP
'the': -T
'beetle': PWAO*ELT
'was': WAS
'able': ABL
'to': TO
'rub': RUB
'the': -T
'water': WAUR
'from': TPR
'his': HEUS
'eyes,': AO*EUS/KW-BG
'and': SKP
'look': HRAOBG
'about': PW
'him.': HEUPL/TP-PL
'He': KPA/HE
'saw': SAU
'something': S-G
'gleaming,': TKPWHRAOEPL/-G/KW-BG
'and': SKP
'he': HE
'managed': PHAPBGD
'to': TO
'make': PHAEUBG
'his': HEUS
'way': WAEU
'up': UP
'to': TO
'it.': T/TP-PL
'It': KPA/T
'was': WAS
'linen': HREUPB/-PB
'which': WEU
'had': H
'been': PW-PB
'laid': HRAEUD
'to': TO
'bleach': PWHRAEFP
'on': OPB
'the': -T
'grass.': TKPWRAS/TP-PL
'He': KPA/HE
'crept': KREPT
'into': TPHAO
'a': AEU
'fold': TPOELD
'of': -F
'the': -T
'damp': TKAFRP
'linen,': HREUPB/-PB/KW-BG
'which': WEU
'certainly': SERPBL
'was': WAS
'not': TPHOT
'so': SO
'comfortable': K-BL
'a': AEU
'place': PHRAEUS
'to': TO
'lie': HRAOEU
'in': TPH
'as': AS
'the': -T
'warm': WARPL
'stable,': STAEURBLGS
'but': PWUT
'there': THR
'was': WAS
'nothing': TPHOG
'better,': PWOERT/KW-BG
'so': SO
'he': HE
'remained': RE/PHAEUPBD
'lying': HRAOEUG
'there': THR
'for': TPOR
'a': AEU
'whole': WHOEL
'day': TKAEU
'and': SKP
'night,': TPHAOEUT/KW-BG
'and': SKP
'the': -T
'rain': RAEUPB
'kept': KEPT
'on': OPB
'all': AUL
'the': -T
'time.': TAOEUPL/TP-PL
'Towards': KPA/TORDZ
'morning': PHORPBG
'he': HE
'crept': KREPT
'out': OUT
'of': -F
'his': HEUS
'hiding-place,': HAOEUD/-G/H-PB/PHRAEUS/KW-BG
'feeling': TPAOELG
'in': TPH
'a': AEU
'very': SRE
'bad': PWAD
'temper': TEPL/PER
'with': W
'the': -T
'climate.': KHRAOEUPLT/TP-PL
'Two': KPA/TWO
'frogs': TPROGS
'were': WR
'sitting': SEUGT
'on': OPB
'the': -T
'linen,': HREUPB/-PB/KW-BG
'and': SKP
'their': THAEUR
'bright': PWRAOEUT
'eyes': AO*EUS
'actually': TAOULT
'glistened': TKPWHREUS/-PBD
'with': W
'pleasure.': PHRERB/TP-PL
'"Wonderful': KW-GS/KPA*/WUFL
'weather': WHR*
'this,"': TH/KW-BG/KR-GS
'cried': KRAOEUD
'one': WUPB
'of': -F
'them,': THEPL/KW-BG
'"and': KW-GS/SKP
'so': SO
'refreshing.': RE/TPRERB/-G/TP-PL
'This': KPA/TH
'linen': HREUPB/-PB
'holds': HOLDZ
'the': -T
'water': WAUR
'together': TOGT
'so': SO
'beautifully,': PWAOUFL/HREU/KW-BG
'that': THA
'my': PHEU
'hind': HAOEUPBD
'legs': HREGS
'quiver': KWEUFR
'as': AS
'if': TP
'I': EU
'were': WR
'going': TKPW-G
'to': TO
'swim."': SWEUPL/TP-PL/KR-GS
'"I': KW-GS/EU
'should': SHO
'like': HRAOEUBG
'to': TO
'know,"': TPHOE/KW-BG/KR-GS
'said': SED
'another,': TPHOER/KW-BG
'"If': KW-GS/KPA*/TP
'the': -T
'swallow': SWAL
'who': WHO
'flies': TPHRAOEUS
'so': SO
'far': TPAR
'in': TPH
'her': HER
'many': PHAEPB
'journeys': SKWRURPB/EUS
'to': TO
'foreign': TPOERPB
'lands,': HRAPBDZ/KW-BG
'ever': -FR
'met': PHET
'with': W
'a': AEU
'better': PWOERT
'climate': KHRAOEUPLT
'than': THAPB
'this.': TH/TP-PL
'What': KPA/WHA
'delicious': TKHREUGS
'moisture!': PHOEUFT/UR/SKHRAPL
'It': KPA/T
'is': S
'as': AS
'pleasant': PHREFPBT
'as': AS
'lying': HRAOEUG
'in': TPH
'a': AEU
'wet': WET
'ditch.': TKEUFP/TP-PL
'I': EU
'am': APL
'sure': SHUR
'any': TPHEU
'one': WUPB
'who': WHO
'does': TKOS
'not': TPHOT
'enjoy': TPHOEUPBLG
'this': TH
'has': HAS
'no': TPHO
'love': HRUF
'for': TPOR
'his': HEUS
'fatherland."': TPAER/HRA*PBD/TP-PL/KR-GS
'"Have': KW-GS/KPA*/SR
'you': U
'ever': -FR
'been': PW-PB
'in': TPH
'the': -T
'Emperor's': KPA/EPL/ROR/AES
'stable?"': STABL/H-F/KR-GS
'asked': SK-D
'the': -T
'beetle.': PWAO*ELT/TP-PL
'"There': KW-GS/KPA*/THR
'the': -T
'moisture': PHOEUFT/UR
'is': S
'warm': WARPL
'and': SKP
'refreshing;': RE/TPRERB/-G/STPH*FPLT
'that's': THATS
'the': -T
'climate': KHRAOEUPLT
'for': TPOR
'me,': PHE/KW-BG
'but': PWUT
'I': EU
'could': KO
'not': TPHOT
'take': TAEUBG
'it': T
'with': W
'me': PHE
'on': OPB
'my': PHEU
'travels.': TRAFLS/TP-PL
'Is': KPA/S
'there': THR
'not': TPHOT
'even': AOEPB
'a': AEU
'dunghill': TK*/*U/TPH*/TKPW*/H*/*EU/HR*/HR*
'here': HAOER
'in': TPH
'this': TH
'garden,': TKPWA*RPB/KW-BG
'where': W-R
'a': AEU
'person': PERPB
'of': -F
'rank,': RA*PBG/KW-BG
'like': HRAOEUBG
'myself,': PHAO*EUS/KW-BG
'could': KO
'take': TAEUBG
'up': UP
'his': HEUS
'abode': A/PWOED
'and': SKP
'feel': TPAOEL
'at': AT
'home?"': HOEPL/H-F/KR-GS
'But': KPA/PWUT
'the': -T
'frogs': TPROGS
'either': AOERT
'did': TK
'not': TPHOT
'or': OR
'would': WO
'not': TPHOT
'understand': URPBD
'him.': HEUPL/TP-PL
'"I': KW-GS/EU
'never': TPHEFR
'ask': SK
'a': AEU
'question': KWE
'twice,"': TWAOEUS/KW-BG/KR-GS
'said': SED
'the': -T
'beetle,': PWAO*ELT/KW-BG
'after': AF
'he': HE
'had': H
'asked': SK-D
'this': TH
'one': WUPB
'three': THRAOE
'times,': TAOEUPLS/KW-BG
'and': SKP
'received': SAOEFD
'no': TPHO
'answer.': AEPBS/TP-PL
'Then': KPA/THEPB
'he': HE
'went': WEPBT
'on': OPB
'a': AEU
'little': HREUL
'farther': TPA*RT
'and': SKP
'stumbled': STUPL/-BLD
'against': TKPWEPBS
'a': AEU
'piece': PAOES
'of': -F
'broken': PWROEPB
'crockery-ware,': KROBG/REU/H-PB/WAEUR/KW-BG
'which': WEU
'certainly': SERPBL
'ought': OT
'not': TPHOT
'to': TO
'have': SR
'been': PW-PB
'lying': HRAOEUG
'there.': THR/TP-PL
'But': KPA/PWUT
'as': AS
'it': T
'was': WAS
'there,': THR-RBGS
'it': T
'formed': TPORPLD
'a': AEU
'good': TKPWAOD
'shelter': SHELT
'against': TKPWEPBS
'wind': WEUPBD
'and': SKP
'weather': WHR*
'to': TO
'several': SEFRL
'families': TPAEPLS
'of': -F
'earwigs': *E/A*/R*/W*/*EU/TKPW*/-S
'who': WHO
'dwelt': TKWELT
'in': TPH
'it.': T/TP-PL
'Their': KPA/THAEUR
'requirements': RAOEURPLTS
'were': WR
'not': TPHOT
'many,': PHAEPB/KW-BG
'they': THE
'were': WR
'very': SRE
'sociable,': SOERB/-BL/KW-BG
'and': SKP
'full': TPUL
'of': -F
'affection': A*FBGS
'for': TPOR
'their': THAEUR
'children,': KHEURPB/KW-BG
'so': SO
'much': PHUFP
'so': SO
'that': THA
'each': AOEFP
'mother': PHOER
'considered': KR-D
'her': HER
'own': OEPB
'child': KHAOEULD
'the': -T
'most': PHOFT
'beautiful': PWAOUFL
'and': SKP
'clever': KHREFR
'of': -F
'them': THEPL
'all.': AUL/TP-PL
'"Our': KW-GS/KPA*/OUR
'dear': TKAER
'son': SOPB
'has': HAS
'engaged': EPB/TKPWAEUPBLGD
'himself,"': HEUPLS/KW-BG/KR-GS
'said': SED
'one': WUPB
'mother,': PHOER/KW-BG
'"dear': KW-GS/TKAER
'innocent': TPH-PBT
'boy;': PWOEU/STPH*FPLT
'his': HEUS
'greatest': TKPWRAET/EFT
'ambition': APL/PWEUGS
'is': S
'that': THA
'he': HE
'may': PHAE
'one': WUPB
'day': TKAEU
'creep': KRAOEP
'into': TPHAO
'a': AEU
'clergyman's': KHRERPBLG/PHAPB/AES
'ear.': AOER/TP-PL
'That': KPA/THA
'is': S
'a': AEU
'very': SRE
'artless': ART/-LS
'and': SKP
'loveable': HRUF/-BL
'wish;': WEURB/STPH*FPLT
'and': SKP
'being': -BG
'engaged': EPB/TKPWAEUPBLGD
'will': HR
'keep': KAOEP
'him': HEUPL
'steady.': STAED/TP-PL
'What': KPA/WHA
'happiness': HAEP/-PBS
'for': TPOR
'a': AEU
'mother!"': PHOER/SKHRAPL/KR-GS
'"Our': KW-GS/KPA*/OUR
'son,"': SOPB/KW-BG/KR-GS
'said': SED
'another,': TPHOER/KW-BG
'"had': KW-GS/H
'scarcely': SKAEURS/HREU
'crept': KREPT
'out': OUT
'of': -F
'the': -T
'egg,': EG/KW-BG
'when': WHEPB
'he': HE
'was': WAS
'off': OF
'on': OPB
'his': HEUS
'travels.': TRAFLS/TP-PL
'He': KPA/HE
'is': S
'all': AUL
'life': HRAOEUF
'and': SKP
'spirits,': SPEURTS/KW-BG
'I': EU
'expect': KP-PT
'he': HE
'will': HR
'wear': WAER
'out': OUT
'his': HEUS
'horns': HORPBS
'with': W
'running.': R*UPBG/TP-PL
'How': KPA/HOU
'charming': KHARPL/-G
'this': TH
'is': S
'for': TPOR
'a': AEU
'mother,': PHOER/KW-BG
'is': S
'it': T
'not': TPHOT
'Mr.': PHR-FPLT
'Beetle?"': KPA/PWAO*ELT/H-F/KR-GS
'for': TPOR
'she': SHE
'knew': TPHAOU
'the': -T
'stranger': STRAEURPBG
'by': PWEU
'his': HEUS
'horny': HOR/TPH*EU
'coat.': KOET/TP-PL
'"You': KW-GS/KPA*/U
'are': R
'both': PWO*T
'quite': KWAOEUT
'right,"': RAOEUT/KW-BG/KR-GS
'said': SED
'he;': HE/STPH*FPLT
'so': SO
'they': THE
'begged': PWEGD
'him': HEUPL
'to': TO
'walk': WAUBG
'in,': TPH/KW-BG
'that': THA
'is': S
'to': TO
'come': KOPL
'as': AS
'far': TPAR
'as': AS
'he': HE
'could': KO
'under': TPH-PB
'the': -T
'broken': PWROEPB
'piece': PAOES
'of': -F
'earthenware.': *ERT/*EPB/WA*EUR/TP-PL
'"Now': KW-GS/KPA*/TPHOU
'you': U
'shall': SHAL
'also': HR-S
'see': SAOE
'my': PHEU
'little': HREUL
'earwigs,"': *E/A*/R*/W*/*EU/TKPW*/-S/KW-BG/KR-GS
'said': SED
'a': AEU
'third': THEURD
'and': SKP
'a': AEU
'fourth': TPO*URT
'mother,': PHOER/KW-BG
'"they': KW-GS/THE
'are': R
'lovely': HROFL
'little': HREUL
'things,': THEUPBGS/KW-BG
'and': SKP
'highly': HAOEUL
'amusing.': A/PHAOUFG/TP-PL
'They': KPA/THE
'are': R
'never': TPHEFR
'ill-behaved,': EUL/H-PB/PWHAEUFD/KW-BG
'except': KPEPT
'when': WHEPB
'they': THE
'are': R
'uncomfortable': TPH-BL
'in': TPH
'their': THAEUR
'inside,': TPH-DZ/KW-BG
'which': WEU
'unfortunately': UFL
'often': OFPB
'happens': HAPS
'at': AT
'their': THAEUR
'age."': AEUPBLG/TP-PL/KR-GS
'Thus': KPA/THUS
'each': AOEFP
'mother': PHOER
'spoke': SPOEBG
'of': -F
'her': HER
'baby,': PWAEB/KW-BG
'and': SKP
'their': THAEUR
'babies': PWAEBS
'talked': TAUBGD
'after': AF
'their': THAEUR
'own': OEPB
'fashion,': TPAGS/KW-BG
'and': SKP
'made': PHAED
'use': AOUS
'of': -F
'the': -T
'little': HREUL
'nippers': TPHEUP/ER/-S
'they': THE
'have': SR
'in': TPH
'their': THAEUR
'tails': TAEULS
'to': TO
'nip': TPHEUP
'the': -T
'beard': PWAERD
'of': -F
'the': -T
'beetle.': PWAO*ELT/TP-PL
'"They': KW-GS/KPA*/THE
'are': R
'always': AULS
'busy': PW-Z
'about': PW
'something,': S-G/KW-BG
'the': -T
'little': HREUL
'rogues,"': ROEG/-S/KW-BG/KR-GS
'said': SED
'the': -T
'mother,': PHOER/KW-BG
'beaming': PWAEPL/-G
'with': W
'maternal': PHA/TERPBL
'pride;': PRAOEUD/STPH*FPLT
'but': PWUT
'the': -T
'beetle': PWAO*ELT
'felt': TPELT
'it': T
'a': AEU
'bore,': PWOR/KW-BG
'and': SKP
'he': HE
'therefore': TH-FR
'inquired': EUPB/KWAOEURD
'the': -T
'way': WAEU
'to': TO
'the': -T
'nearest': TPHAOER/EFT
'dung-heap.': TKUPBG/H-PB/HAOEP/TP-PL
'"That': KW-GS/KPA*/THA
'is': S
'quite': KWAOEUT
'out': OUT
'in': TPH
'the': -T
'great': TKPWRAET
'world,': WORLD/KW-BG
'on': OPB
'the': -T
'other': OER
'side': SAOEUD
'of': -F
'the': -T
'ditch,"': TKEUFP/KW-BG/KR-GS
'answered': AEPBS/-D
'an': APB
'earwig,': *E/A*/R*/W*/*EU/TKPW*/KW-BG
'"I': KW-GS/EU
'hope': HOEP
'none': TPHOPB
'of': -F
'my': PHEU
'children': KHEURPB
'will': HR
'ever': -FR
'go': TKPW
'so': SO
'far,': TPAR/KW-BG
