The Raven
'garden': TKPWA*RPB
'behind': HEUPBD
'the': -T
'house': HOUS
'is': S
'a': AEU
'large': HRARPBLG
'tan-heap,': TAPB/H-PB/HAOEP/KW-BG
'and': SKP
'on': OPB
'that': THA
'you': U
'must': PHUFT
'stand': STAPBD
'and': SKP
'watch': WAFP
'for': TPOR
'me.': PHE/TP-PL
'I': EU
'shall': SHAL
'drive': TKRAOEUF
'there': THR
'in': TPH
'my': PHEU
'carriage': KAEURPBLG
'at': AT
'two': TWO
'o'clock': KHRO*BG
'in': TPH
'the': -T
'afternoon': AFPB
'for': TPOR
'three': THRAOE
'successive': SUBG/SES/EUF
'days;': TKAEUS/STPH*FPLT
'the': -T
'first': TPEUFRT
'day': TKAEU
'it': T
'will': HR
'be': -B
'drawn': TKRAUPB
'by': PWEU
'four': TPOUR
'white,': WHAOEUT/KW-BG
'the': -T
'second': SEBGD
'by': PWEU
'four': TPOUR
'chestnut,': KHEFT/TPHUT/KW-BG
'and': SKP
'the': -T
'last': HRAFT
'by': PWEU
'four': TPOUR
'black': PWHRABG
'horses;': HORSZ/STPH*FPLT
'but': PWUT
'if': TP
'you': U
'fail': TPAEUL
'to': TO
'keep': KAOEP
'awake': A/WAEUBG
'and': SKP
'I': EU
'find': TPAOEUPBD
'you': U
'sleeping,': SHRAOEPG/KW-BG
'I': EU
'shall': SHAL
'not': TPHOT
'be': -B
'set': SET
'free.'': TPRAOE/TP-PL/AE
'The': KPA/-T
'man': PHAPB
'promised': PROPLS/-D
'to': TO
'do': TKO
'all': AUL
'that': THA
'she': SHE
'wished,': WEURBD/KW-BG
'but': PWUT
'the': -T
'raven': RAFPB
'said,': SED/KW-BG
''Alas!': A*E/KPA*/A/HRAS/SKHRAPL
'I': EU
'know': TPHOE
'even': AOEPB
'now': TPHOU
'that': THA
'you': U
'will': HR
'take': TAEUBG
'something': S-G
'from': TPR
'the': -T
'woman': WOPL
'and': SKP
'be': -B
'unable': TPHA*EUBL
'to': TO
'save': SAF
'me.'': PHE/TP-PL/AE
'The': KPA/-T
'man': PHAPB
'assured': A/SHURD
'her': HER
'again': TKPWEPB
'that': THA
'he': HE
'would': WO
'on': OPB
'no': TPHO
'account': K-T
'touch': TUFP
'a': AEU
'thing': THEUPBG
'to': TO
'eat': AOET
'or': OR
'drink.': TKREU/TP-PL
'When': KPA/WHEPB
'he': HE
'came': KAEUPL
'to': TO
'the': -T
'house': HOUS
'and': SKP
'went': WEPBT
'inside,': TPH-DZ/KW-BG
'the': -T
'old': OLD
'woman': WOPL
'met': PHET
'him,': HEUPL/KW-BG
'and': SKP
'said,': SED/KW-BG
''Poor': A*E/KPA*/PAOR
'man!': PHAPB/SKHRAPL
'how': HOU
'tired': TAOEURD
'you': U
'are!': R/SKHRAPL
'Come': KPA/KOPL
'in': TPH
'and': SKP
'rest': REFT
'and': SKP
'let': HRET
'me': PHE
'give': TKPWEUF
'you': U
'something': S-G
'to': TO
'eat': AOET
'and': SKP
'drink.'': TKREU/TP-PL/AE
''No,'': A*E/KPA*/TPHO/KW-BG/AE
'answered': AEPBS/-D
'the': -T
'man,': PHAPB/KW-BG
''I': A*E/EU
'will': HR
'neither': TPHAOERT
'eat': AOET
'not': TPHOT
'drink.'': TKREU/TP-PL/AE
'But': KPA/PWUT
'she': SHE
'would': WO
'not': TPHOT
'leave': HREF
'him': HEUPL
'alone,': A/HROEPB/KW-BG
'and': SKP
'urged': URPBLGD
'him': HEUPL
'saying,': SAEUG/KW-BG
''If': A*E/KPA*/TP
'you': U
'will': HR
'not': TPHOT
'eat': AOET
'anything,': TPHEUG/KW-BG
'at': AT
'least': HRAOEFT
'you': U
'might': PHAOEUT
'take': TAEUBG
'a': AEU
'draught': TKRAUFT
'of': -F
'wine;': WAOEUPB/STPH*FPLT
'one': WUPB
'drink': TKREU
'counts': KOUPBTS
'for': TPOR
'nothing,'': TPHOG/KW-BG/AE
'and': SKP
'at': AT
'last': HRAFT
'he': HE
'allowed': HRO*UD
'himself': HEUPLS
'to': TO
'be': -B
'persuaded,': PER/SWAEUD/-D/KW-BG
'and': SKP
'drank.': TKRA*PBG/TP-PL
'As': KPA/AS
'it': T
'drew': TKRAOU
'towards': TORDZ
'the': -T
'appointed': POEUPBD
'hour,': HOUR/KW-BG
'he': HE
'went': WEPBT
'outside': OUDZ
'into': TPHAO
'the': -T
'garden': TKPWA*RPB
'and': SKP
'mounted': PHOUPBTD
'the': -T
'tan-heap': TAPB/H-PB/HAOEP
'to': TO
'await': A/WAEUT
'the': -T
'raven.': RAFPB/TP-PL
'Suddenly': KPA/SULD
'a': AEU
'feeling': TPAOELG
'of': -F
'fatigue': TPA/TAOEG
'came': KAEUPL
'over': OEFR
'him,': HEUPL/KW-BG
'and': SKP
'unable': TPHA*EUBL
'to': TO
'resist': RE/SEUFT
'it,': T/KW-BG
'he': HE
'lay': HRAEU
'down': TKOUPB
'for': TPOR
'a': AEU
'little': HREUL
'while,': WHAOEUL/KW-BG
'fully': TPHRAOUL
'determined,': TKERPLD/KW-BG
'however,': HOUF/KW-BG
'to': TO
'keep': KAOEP
'awake;': A/WAEUBG/STPH*FPLT
'but': PWUT
'in': TPH
'another': TPHOER
'minute': PHEUPB
'his': HEUS
'eyes': AO*EUS
'closed': KHROEFD
'of': -F
'their': THAEUR
'own': OEPB
'accord,': A/KORD/KW-BG
'and': SKP
'he': HE
'fell': TPEL
'into': TPHAO
'such': SUFP
'a': AEU
'deep': TKAOEP
'sleep,': SHRAOEP/KW-BG
'that': THA
'all': AUL
'the': -T
'noises': TPHOEUS/-S
'in': TPH
'the': -T
'world': WORLD
'would': WO
'not': TPHOT
'have': SR
'awakened': A/WAEUBG/-PBD
'him.': HEUPL/TP-PL
'At': KPA/AT
'two': TWO
'o'clock': KHRO*BG
'the': -T
'raven': RAFPB
'came': KAEUPL
'driving': TKRAOEUFG
'along,': HRAOPBG/KW-BG
'drawn': TKRAUPB
'by': PWEU
'her': HER
'four': TPOUR
'white': WHAOEUT
'horses;': HORSZ/STPH*FPLT
'but': PWUT
'even': AOEPB
'before': PW-FR
'she': SHE
'reached': RAOEFPD
'the': -T
'spot,': SPOT/KW-BG
'she': SHE
'said': SED
'to': TO
'herself,': H*ERS/KW-BG
'sighing,': SAOEU/-G/KW-BG
''I': A*E/EU
'know': TPHOE
'he': HE
'has': HAS
'fallen': TPAUPBL
'asleep.'': A/SHRAOEP/TP-PL/AE
'When': KPA/WHEPB
'she': SHE
'entered': SPWR-D
'the': -T
'garden,': TKPWA*RPB/KW-BG
'there': THR
'she': SHE
'found': TPOUPBD
'him': HEUPL
'as': AS
'she': SHE
'had': H
'feared,': TPAOERD/KW-BG
'lying': HRAOEUG
'on': OPB
'the': -T
'tan-heap,': TAPB/H-PB/HAOEP/KW-BG
'fast': TPAFT
'asleep.': A/SHRAOEP/TP-PL
'She': KPA/SHE
'got': TKPWOT
'out': OUT
'of': -F
'her': HER
'carriage': KAEURPBLG
'and': SKP
'went': WEPBT
'to': TO
'him;': HEUPL/STPH*FPLT
'she': SHE
'called': KAULD
'him': HEUPL
'and': SKP
'shook': SHAOBG
'him,': HEUPL/KW-BG
'but': PWUT
'it': T
'was': WAS
'all': AUL
'in': TPH
'vain,': SRA*EUPB/KW-BG
'he': HE
'still': STEUL
'continued': T-PBD
'sleeping.': SHRAOEPG/TP-PL
'The': KPA/-T
'next': TPHEGT
'day': TKAEU
'at': AT
'noon,': TPHAOPB/KW-BG
'the': -T
'old': OLD
'woman': WOPL
'came': KAEUPL
'to': TO
'him': HEUPL
'again': TKPWEPB
'with': W
'food': TPAOD
'and': SKP
'drink': TKREU
'which': WEU
'he': HE
'at': AT
'first': TPEUFRT
'refused.': RAO*UFD/TP-PL
'At': KPA/AT
'last,': HRAFT/KW-BG
'overcome': AUFR/KOPL
'by': PWEU
'her': HER
'persistent': PERPBT
'entreaties': EPB/TRAOET/KWREUS
'that': THA
'he': HE
'would': WO
'take': TAEUBG
'something,': S-G/KW-BG
'he': HE
'lifted': HREUFTD
'the': -T
'glass': TKPWHRAS
'and': SKP
'drank': TKRA*PBG
'again.': TKPWEPB/TP-PL
'Towards': KPA/TORDZ
'two': TWO
'o'clock': KHRO*BG
'he': HE
'went': WEPBT
'into': TPHAO
'the': -T
'garden': TKPWA*RPB
'and': SKP
'on': OPB
'to': TO
'the': -T
'tan-heap': TAPB/H-PB/HAOEP
'to': TO
'watch': WAFP
'for': TPOR
'the': -T
'raven.': RAFPB/TP-PL
'He': KPA/HE
'had': H
'not': TPHOT
'been': PW-PB
'there': THR
'long': HROPBG
'before': PW-FR
'he': HE
'began': TKPWAPB
'to': TO
'feel': TPAOEL
'so': SO
'tired': TAOEURD
'that': THA
'his': HEUS
'limbs': HREUPLS
'seemed': SAOEPLD
'hardly': HA*RLD
'able': ABL
'to': TO
'support': SPOR
'him,': HEUPL/KW-BG
'and': SKP
'he': HE
'could': KO
'not': TPHOT
'stand': STAPBD
'upright': AUP/RAOEUGT
'any': TPHEU
'longer;': HRORPBG/STPH*FPLT
'so': SO
'again': TKPWEPB
'he': HE
'lay': HRAEU
'down': TKOUPB
'and': SKP
'fell': TPEL
'fast': TPAFT
'asleep.': A/SHRAOEP/TP-PL
'As': KPA/AS
'the': -T
'raven': RAFPB
'drove': TKROEF
'along': HRAOPBG
'her': HER
'four': TPOUR
'chestnut': KHEFT/TPHUT
'horses,': HORSZ/KW-BG
'she': SHE
'said': SED
'sorrowfully': SOR/ROEFL/HREU
'to': TO
'herself,': H*ERS/KW-BG
''I': A*E/EU
'know': TPHOE
'he': HE
'has': HAS
'fallen': TPAUPBL
'asleep.'': A/SHRAOEP/TP-PL/AE
'She': KPA/SHE
'went': WEPBT
'as': AS
'before': PW-FR
'to': TO
'look': HRAOBG
'for': TPOR
'him,': HEUPL/KW-BG
'but': PWUT
'he': HE
'slept,': SHREPT/KW-BG
'and': SKP
'it': T
'was': WAS
'impossible': EUPL/POB
'to': TO
'awaken': A/WA*EUPB
'him.': HEUPL/TP-PL
'The': KPA/-T
'following': TPOLG
'day': TKAEU
'the': -T
'old': OLD
'woman': WOPL
'said': SED
'to': TO
'him,': HEUPL/KW-BG
''What': A*E/KPA*/WHA
'is': S
'this?': TH/H-F
'You': KPA/U
'are': R
'not': TPHOT
'eating': AOEGT
'or': OR
'drinking': TKREUG
'anything,': TPHEUG/KW-BG
'do': TKO
'you': U
'want': WAPBT
'to': TO
'kill': KEUL
'yourself?'': KWRO*URS/H-F/AE
'He': KPA/HE
'answered,': AEPBS/-D/KW-BG
''I': A*E/EU
'may': PHAEU
'not': TPHOT
'and': SKP
'will': HR
'not': TPHOT
'either': AOERT
'eat': AOET
'or': OR
'drink.'': TKREU/TP-PL/AE
'But': KPA/PWUT
'she': SHE
'put': PUT
'down': TKOUPB
'the': -T
'dish': TKEURB
'of': -F
'food': TPAOD
'and': SKP
'the': -T
'glass': TKPWHRAS
'of': -F
'wine': WAOEUPB
'in': TPH
'front': TPROPBT
'of': -F
'him,': HEUPL/KW-BG
'and': SKP
'when': WHEPB
'he': HE
'smelt': SPHELT
'the': -T
'wine,': WAOEUPB/KW-BG
'he': HE
'was': WAS
'unable': TPHA*EUBL
'to': TO
'resist': RE/SEUFT
'the': -T
'temptation,': TEPL/TAEUGS/KW-BG
'and': SKP
'took': TAOBG
'a': AEU
'deep': TKAOEP
'draught.': TKRAUFT/TP-PL
'When': KPA/WHEPB
'the': -T
'hour': HOUR
'came': KAEUPL
'round': ROUPBD
'again': TKPWEPB
'he': HE
'went': WEPBT
'as': AS
'usual': AOURB
'on': OPB
'to': TO
'the': -T
'tan-heap': TAPB/H-PB/HAOEP
'in': TPH
'the': -T
'garden': TKPWA*RPB
'to': TO
'await': A/WAEUT
'the': -T
'king's': KEUPBG/AES
'daughter,': TKAUR/KW-BG
'but': PWUT
'he': HE
'felt': TPELT
'even': AOEPB
'more': PHOR
'overcome': AUFR/KOPL
'with': W
'weariness': WAOER/REU/-PBS
'than': THAPB
'on': OPB
'the': -T
'two': TWO
'previous': PRAOEF
'days,': TKAEUS/KW-BG
'and': SKP
'throwing': THROEG
'himself': HEUPLS
'down,': TKOUPB/KW-BG
'he': HE
'slept': SHREPT
'like': HRAOEUBG
'a': AEU
'log.': HROG/TP-PL
'At': KPA/AT
'two': TWO
'o'clock': KHRO*BG
'the': -T
'raven': RAFPB
'could': KO
'be': -B
'seen': SAOEPB
'approaching,': A/PROEFPG/KW-BG
'and': SKP
'this': TH
'time': TAOEUPL
'her': HER
'coachman': KOEFP/PHAPB
'and': SKP
'everything': EFRG
'about': PW
'her,': HER/KW-BG
'as': AS
'well': WEL
'as': AS
'her': HER
'horses,': HORSZ/KW-BG
'were': WR
'black.': PWHRABG/TP-PL
'She': KPA/SHE
'was': WAS
'sadder': SAD/ER
'than': THAPB
'ever': -FR
'as': AS
'she': SHE
'drove': TKROEF
'along,': HRAOPBG/KW-BG
'and': SKP
'said': SED
'mournfully,': PHOURPB/TPHREU/KW-BG
''I': A*E/EU
'know': TPHOE
'he': HE
'has': HAS
'fallen': TPAUPBL
'asleep,': A/SHRAOEP/KW-BG
'and': SKP
'will': HR
'not': TPHOT
'be': -B
'able': ABL
'to': TO
'set': SET
'me': PHE
'free.'': TPRAOE/TP-PL/AE
'She': KPA/SHE
'found': TPOUPBD
'him': HEUPL
'sleeping': SHRAOEPG
'heavily,': HEFL/KW-BG
'and': SKP
'all': AUL
'her': HER
'efforts': EFRTS
'to': TO
'awaken': A/WA*EUPB
'him': HEUPL
'were': WR
'of': -F
'no': TPHO
'avail.': A/SRAEUL/TP-PL
'Then': KPA/THEPB
'she': SHE
'placed': PHRAEUFD
'beside': PWE/SAOEUD
'him': HEUPL
'a': AEU
'loaf,': HROEF/KW-BG
'and': SKP
'some': SOPL
'meat,': PHAET/KW-BG
'and': SKP
'a': AEU
'flask': TPHRAFBG
'of': -F
'wine,': WAOEUPB/KW-BG
'of': -F
'such': SUFP
'a': AEU
'kind,': KEUPBD/KW-BG
'that': THA
'however': HOUF
'much': PHUFP
'he': HE
'took': TAOBG
'of': -F
'them,': THEPL/KW-BG
'they': THE
'would': WO
'never': TPHEFR
'grow': TKPWROE
'less.': HRES/TP-PL
'After': KPA/AF
'that': THA
'she': SHE
'drew': TKRAOU
'a': AEU
'gold': TKPWOELD
'ring,': REUPBG/KW-BG
'on': OPB
'which': WEU
'her': HER
'name': TPHAEUPL
'was': WAS
'engraved,': EPB/TKPWRAEUFD/KW-BG
'off': OF
'her': HER
'finger,': TPEURPBG/KW-BG
'and': SKP
'put': PUT
'it': T
'upon': POPB
'one': WUPB
'of': -F
'his.': HEUS/TP-PL
'Finally,': KPA/TPHRAOEUPBL/KW-BG
'she': SHE
'laid': HRAEUD
'a': AEU
'letter': HRERT
'near': TPHAOER
'him,': HEUPL/KW-BG
'in': TPH
'which,': WEU/KW-BG
'after': AF
'giving': TKPWEUFG
'him': HEUPL
'particulars': PHRARS
'of': -F
'the': -T
'food': TPAOD
'and': SKP
'drink': TKREU
'she': SHE
'had': H
'left': HREFT
'for': TPOR
'him,': HEUPL/KW-BG
'she': SHE
'finished': TP*EURBD
'with': W
'the': -T
'following': TPOLG
'words:': WORDZ/STPH-FPLT
''I': A*E/EU
'see': SAOE
'that': THA
'as': AS
'long': HROPBG
'as': AS
'you': U
'remain': RAEUPL
'here': HAOER
'you': U
'will': HR
'never': TPHEFR
'be': -B
'able': ABL
'to': TO
'set': SET
'me': PHE
'free;': TPRAOE/STPH*FPLT
'if,': TP/KW-BG
'however,': HOUF/KW-BG
'you': U
'still': STEUL
'wish': WEURB
'to': TO
'do': TKO
'so,': SO/KW-BG
'come': KOPL
'to': TO
'the': -T
'golden': TKPWOELD/*EPB
'castle': KAFL
'of': -F
'Stromberg;': S*P/T*/R*/O*/PH*/PWERG/STPH*FPLT
'this': TH
'is': S
'well': WEL
'within': W-PB
'your': KWROUR
'power': POUR
'to': TO
'accomplish.'': PHREURB/TP-PL/AE
'She': KPA/SHE
'then': THEPB
'returned': RURPBD
'to': TO
'her': HER
'carriage': KAEURPBLG
'and': SKP
'drove': TKROEF
'to': TO
'the': -T
'golden': TKPWOELD/*EPB
'castle': KAFL
'of': -F
'Stromberg.': S*P/T*/R*/O*/PH*/PWERG/TP-PL
'When': KPA/WHEPB
'the': -T
'man': PHAPB
'awoke': A/WOEBG
'and': SKP
'found': TPOUPBD
'that': THA
'he': HE
'had': H
'been': PW-PB
'sleeping,': SHRAOEPG/KW-BG
'he': HE
'was': WAS
'grieved': TKPWRAOEF/-D
'at': AT
'heart,': HART/KW-BG
'and': SKP
'said,': SED/KW-BG
''She': A*E/KPA*/SHE
'has': HAS
'no': TPHO
'doubt': TKOUT
'been': PW-PB
'here': HAOER
'and': SKP
'driven': TKREUFPB
'away': WA*EU
'again,': STKPWERPBGS
'and': SKP
'it': T
'is': S
'now': TPHOU
'too': TAO
'late': HRAEUT
'for': TPOR
'me': PHE
'to': TO
'save': SAF
'her.'': HER/TP-PL/AE
'Then': KPA/THEPB
'his': HEUS
'eyes': AO*EUS
'fell': TPEL
'on': OPB
'the': -T
'things': THEUPBGS
'which': WEU
'were': WR
'lying': HRAOEUG
'beside': PWE/SAOEUD
'him;': HEUPL/STPH*FPLT
'he': HE
'read': RAED
'the': -T
'letter,': HRERT/KW-BG
'and': SKP
'knew': TPHAOU
'from': TPR
'it': T
'all': AUL
'that': THA
'had': H
'happened.': HAPD/TP-PL
'He': KPA/HE
'rose': ROEZ
'up': UP
'without': WOUT
'delay,': TKHRAEU/KW-BG
'eager': AOERG
'to': TO
'start': START
'on': OPB
'his': HEUS
'way': WAEU
'and': SKP
'to': TO
'reach': RAOEFP
'the': -T
'castle': KAFL
'of': -F
'Stromberg,': S*P/T*/R*/O*/PH*/PWERG/KW-BG
'but': PWUT
'he': HE
'had': H
'no': TPHO
'idea': KWR-D
'in': TPH
'which': WEU
'direction': TKREBGS
'he': HE
'ought': OT
'to': TO
'go.': TKPW/TP-PL
'He': KPA/HE
'travelled': TRAFL/*LD
'about': PW
'a': AEU
'long': HROPBG
'time': TAOEUPL
'in': TPH
'search': SEFRPB
'of': -F
'it': T
'and': SKP
'came': KAEUPL
'at': AT
'last': HRAFT
'to': TO
'a': AEU
'dark': TKARBG
'forest,': TPOEFRT/KW-BG
'through': THRU
'which': WEU
'he': HE
'went': WEPBT
'on': OPB
'walking': WAUG
'for': TPOR
'fourteen': TPRAOEPB
'days': TKAEUS
'and': SKP
'still': STEUL
'could': KO
'not': TPHOT
'find': TPAOEUPBD
'a': AEU
'way': WAEU
'out.': OUT/TP-PL
'Once': KPA/WUPBS
'more': PHOR
'the': -T
'night': TPHAOEUT
'came': KAEUPL
'on,': OPB/KW-BG
'and': SKP
'worn': WORPB
'out': OUT
'he': HE
'lay': HRAEU
'down': TKOUPB
'under': TPH-PB
'a': AEU
'bush': PWURB
'and': SKP
'fell': TPEL
'asleep.': A/SHRAOEP/TP-PL
'Again': KPA/TKPWEPB
'the': -T
'next': TPHEGT
'day': TKAEU
'he': HE
'pursued': PUR/SAOUD
'his': HEUS
'way': WAEU
'through': THRU
'the': -T
'forest,': TPOEFRT/KW-BG
'and': SKP
'that': THA
'evening,': AOEPBG/KW-BG
'thinking': THEUG
'to': TO
'rest': REFT
'again,': STKPWERPBGS
'he': HE
'lay': HRAEU
'down': TKOUPB
'as': AS
'before,': PW-FR/KW-BG
'but': PWUT
'he': HE
'heard': HAERD
'such': SUFP
'a': AEU
'howling': HOUL/-G
'and': SKP
'wailing': WAEULG
'that': THA
'he': HE
'found': TPOUPBD
'it': T
'impossible': EUPL/POB
'to': TO
'sleep.': SHRAOEP/TP-PL
'He': KPA/HE
'waited': WAEUTD
'till': TEUL
'it': T
'was': WAS
'darker': TKA*ERBG
'and': SKP
'people': PAOEPL
'had': H
'begun': TKPWUPB
'to': TO
'light': HRAOEUT
'up': UP
'their': THAEUR
'houses,': HO*UFS/KW-BG
'and': SKP
'then': THEPB
'seeing': SAOEG
'a': AEU
'little': HREUL
'glimmer': TKPWHREURPL
'ahead': A/HED
'of': -F
'him,': HEUPL/KW-BG
'he': HE
'went': WEPBT
'towards': TORDZ
'it.': T/TP-PL
'He': KPA/HE
'found': TPOUPBD
'that': THA
'the': -T
'light': HRAOEUT
'came': KAEUPL
'from': TPR
'a': AEU
'house': HOUS
'which': WEU
'looked': HRAOBGD
'smaller': SPHAURL
'than': THAPB
'it': T
'really': R-L
'was,': WAS/KW-BG
'from': TPR
'the': -T
'contrast': KRAEFT
'of': -F
'its': EUTS
'height': HAOEUT
'with': W
'that': THA
'of': -F
'an': APB
'immense': EUPL/EPBS
'giant': SKWRAOEUPBT
'who': WHO
'stood': STAOD
'in': TPH
'front': TPROPBT
'of': -F
'it.': T/TP-PL
'He': KPA/HE
'thought': THAUT
'to': TO
'himself,': HEUPLS/KW-BG
''If': A*E/KPA*/TP
'the': -T
'giant': SKWRAOEUPBT
'sees': SAO*ES
'me': PHE
'going': TKPW-G
'in,': TPH/KW-BG
'my': PHEU
'life': HRAOEUF
'will': HR
'not': TPHOT
'be': -B
'worth': WO*RT
'much.'': PHUFP/TP-PL/AE
'However,': KPA/HOUF/KW-BG
'after': AF
'a': AEU
'while': WHAOEUL
'he': HE
'summoned': SPHUPBD
'up': UP
'courage': KORPBLG
'and': SKP
'went': WEPBT
'forward.': TPAORD/TP-PL
'When': KPA/WHEPB
'the': -T
'giant': SKWRAOEUPBT
'saw': SAU
'him,': HEUPL/KW-BG
'he': HE
'called': KAULD
'out,': OUT/KW-BG
''It': A*E/KPA*/T
'is': S
'lucky': HROEUBG
'for': TPOR
'that': THA
'you': U
'have': SR
'come,': KOPL/KW-BG
'for': TPOR
'I': EU
'have': SR
'not': TPHOT
'had': H
'anything': TPHEUG
'to': TO
'eat': AOET
'for': TPOR
'a': AEU
'long': HROPBG
'time.': TAOEUPL/TP-PL
'I': EU
'can': K
'have': SR
'you': U
'now': TPHOU
'for': TPOR
'my': PHEU
'supper.'': SAOURP/TP-PL/AE
''I': A*E/EU
'would': WO
'rather': RAER
'you': U
'let': HRET
'that': THA
'alone,'': A/HROEPB/KW-BG/AE
'said': SED
'the': -T
'man,': PHAPB/KW-BG
''for': A*E/TPOR
'I': EU
'do': TKO
'not': TPHOT
'willingly': HR-G/HREU
'give': TKPWEUF
'myself': PHAO*EUS
'up': UP
'to': TO
'be': -B
'eaten;': AOET/EPB/STPH*FPLT
'if': TP
'you': U
'are': R
'wanting': WAPBGT
'food': TPAOD
'I': EU
'have': SR
'enough': TPHUF
'to': TO
'satisfy': SAEF
'your': KWROUR
'hunger.'': HURPBG/TP-PL/AE
''If': A*E/KPA*/TP
'that': THA
'is': S
'so,'': SO/KW-BG/AE
'replied': RE/PHRAOEUD
'the': -T
'giant,': SKWRAOEUPBT/KW-BG
''I': A*E/EU
'will': HR
'leave': HREF
'you': U
'in': TPH
'peace;': PAES/STPH*FPLT
'I': EU
'only': OEPBL
'thought': THAUT
'of': -F
'eating': AOEGT
'you': U
'because': PWAU
'I': EU
'had': H
'nothing': TPHOG
'else.'': ELS/TP-PL/AE
'So': KPA/SO
'they': THE
'went': WEPBT
'indoors': EUPB/TKAORS
'together': TOGT
'and': SKP
