A Cheerful Temper

'From': KPA/TPR
'hat': HAT
'on': OPB
'his': HEUS
'head,': HED/KW-BG
'and': SKP
'then': THEPB
'glanced': TKPWHRAPBS/-D
'at': AT
'his': HEUS
'round,': ROUPBD/KW-BG
'jocund': SKWROE/KUPBD
'face,': TPAEUS/KW-BG
'round': ROUPBD
'as': AS
'the': -T
'sun,': SUPB/KW-BG
'they': THE
'could': KO
'not': TPHOT
'think': THEU
'much': PHUFP
'of': -F
'sorrow': SROE
'or': OR
'the': -T
'grave.': TKPWRAEUF/TP-PL
'That': KPA/THA
'face': TPAEUS
'said,': SED/KW-BG
'"It': KW-GS/KPA*/T
'is': S
'nothing,': TPHOG/KW-BG
'it': T
'will': HR
'all': AUL
'end': EPBD
'better': PWOERT
'than': THAPB
'people': PAOEPL
'think."': THEU/TP-PL/KR-GS
'So': KPA/SO
'I': EU
'have': SR
'inherited': EUPB/HERTD
'from': TPR
'him,': HEUPL/KW-BG
'not': TPHOT
'only': OEPBL
'my': PHEU
'good': TKPWAOD
'temper,': TEPL/PER/KW-BG
'but': PWUT
'a': AEU
'habit': HABT
'of': -F
'going': TKPW-G
'often': OFPB
'to': TO
'the': -T
'churchyard,': KH*URPBLG/KWRARD/KW-BG
'which': WEU
'is': S
'good,': TKPWAOD/KW-BG
'when': WHEPB
'done': TKOPB
'in': TPH
'a': AEU
'proper': PROR
'humor;': HAOURPL/STPH*FPLT
'and': SKP
'then': THEPB
'also': HR-S
'I': EU
'take': TAEUBG
'in': TPH
'the': -T
'Intelligencer,': *EUP/TPH*/T*/*E/HR*/HR*/*EU/TKPW*/*E/TPH*/KR*/*ER/KW-BG
'just': SKWRUFT
'as': AS
'he': HE
'used': AOUFD
'to': TO
'do.': TKO/TP-PL
'I': EU
'am': APL
'not': TPHOT
'very': SRE
'young,': KWRUPBG/KW-BG
'I': EU
'have': SR
'neither': TPHAOERT
'wife': WAOEUF
'nor': TPH-R
'children,': KHEURPB/KW-BG
'nor': TPH-R
'a': AEU
'library,': HRAOEURB/KW-BG
'but,': PWUT/KW-BG
'as': AS
'I': EU
'said,': SED/KW-BG
'I': EU
'read': RAED
'the': -T
'Intelligencer,': *EUP/TPH*/T*/*E/HR*/HR*/*EU/TKPW*/*E/TPH*/KR*/*ER/KW-BG
'which': WEU
'is': S
'enough': TPHUF
'for': TPOR
'me;': PHE/STPH*FPLT
'it': T
'is': S
'to': TO
'me': PHE
'a': AEU
'delightful': TKHRAOEUT/-FL
'paper,': PAEUP/KW-BG
'and': SKP
'so': SO
'it': T
'was': WAS
'to': TO
'my': PHEU
'father.': TPAER/TP-PL
'It': KPA/T
'is': S
'of': -F
'great': TKPWRAET
'use,': AOUS/KW-BG
'for': TPOR
'it': T
'contains': KAUPB/TAEUPBS
'all': AUL
'that': THA
'a': AEU
'man': PHAPB
'requires': RAOEURS
'to': TO
'know;': TPHOE/STPH*FPLT
'the': -T
'names': TPHAEUPLS
'of': -F
'the': -T
'preachers': PRAOEFP/*ERS
'at': AT
'the': -T
'church,': KHUFRPB/KW-BG
'and': SKP
'the': -T
'new': TPHU
'books': PWAOBGS
'which': WEU
'are': R
'published;': PHR*EURBD/STPH*FPLT
'where': W-R
'houses,': HO*UFS/KW-BG
'servants,': SER/SRAPBTS/KW-BG
'clothes,': KHRO*ETS/KW-BG
'and': SKP
'provisions': PRO/SREUGS/-S
'may': PHAEU
'be': -B
'obtained.': OB/TAEUPBD/TP-PL
'And': AFPBD
'then': THEPB
'what': WHA
'a': AEU
'number': TPHUPL
'of': -F
'subscriptions': AUB/SKREUPGS/-S
'to': TO
'charities,': KHAEURT/KWREU/-S/KW-BG
'and': SKP
'what': WHA
'innocent': TPH-PBT
'verses!': SRERSZ/SKHRAPL
'Persons': KPA/PERPBS
'seeking': SAOEBG/-G
'interviews': EUPBT/SRAOUS
'and': SKP
'engagements,': EPB/TKPWAEUPBLG/-PLTS/KW-BG
'all': AUL
'so': SO
'plainly': PHRAEUPBL
'and': SKP
'naturally': TPHRARL
'stated.': STAEUTD/TP-PL
'Certainly,': KPA/SERPBL/KW-BG
'a': AEU
'man': PHAPB
'who': WHO
'takes': TAEUBGS
'in': TPH
'the': -T
'Intelligencer': *EUP/TPH*/T*/*E/HR*/HR*/*EU/TKPW*/*E/TPH*/KR*/*ER
'may': PHAEU
'live': HREUF
'merrily': PHER/HREU
'and': SKP
'be': -B
'buried': PWUR/EUD
'contentedly,': KAUPBT/-D/HREU/KW-BG
'and': SKP
'by': PWEU
'the': -T
'end': EPBD
'of': -F
'his': HEUS
'life': HRAOEUF
'will': HR
'have': SR
'such': SUFP
'a': AEU
'capital': KPAL
'stock': STOBG
'of': -F
'paper': PAEUP
'that': THA
'he': HE
'can': K
'lie': HRAOEU
'on': OPB
'a': AEU
'soft': SOFT
'bed': PWED
'of': -F
'it,': T/KW-BG
'unless': TPH-LS
'he': HE
'prefers': PREFRS
'wood': WAOD
'shavings': SHAEUFGS
'for': TPOR
'his': HEUS
'resting-place.': REFT/-G/H-PB/PHRAEUS/TP-PL
'The': KPA/-T
'newspaper': TPHAOUP
'and': SKP
'the': -T
'churchyard': KH*URPBLG/KWRARD
'were': WR
'always': AULS
'exciting': KPAOEUG
'objects': OBS
'to': TO
'me.': PHE/TP-PL
'My': KPA/PHEU
'walks': WAUBGS
'to': TO
'the': -T
'latter': HRART
'were': WR
'like': HRAOEUBG
'bathing-places': PWA*EUGT/H-PB/PHRAEUFS
'to': TO
'my': PHEU
'good': TKPWAOD
'humor.': HAOURPL/TP-PL
'Every': KPA/EF
'one': WUPB
'can': K
'read': RAED
'the': -T
'newspaper': TPHAOUP
'for': TPOR
'himself,': HEUPLS/KW-BG
'but': PWUT
'come': KOPL
'with': W
'me': PHE
'to': TO
'the': -T
'churchyard': KH*URPBLG/KWRARD
'while': WHAOEUL
'the': -T
'sun': SUPB
'shines': SHAOEUPBS
'and': SKP
'the': -T
'trees': TRAOES
'are': R
'green,': TKPWRAOEPB/KW-BG
'and': SKP
'let': HRET
'us': US
'wander': WAERPBD
'among': PHOPBG
'the': -T
'graves.': TKPWRAEUFS/TP-PL
'Each': KPA/AOEFP
'of': -F
'them': THEPL
'is': S
'like': HRAOEUBG
'a': AEU
'closed': KHROEFD
'book,': PWAOBG/KW-BG
'with': W
'the': -T
'back': PWABG
'uppermost,': UP/ER/PHOEFT/KW-BG
'on': OPB
'which': WEU
'we': WE
'can': K
'read': RAED
'the': -T
'title': TAOEULT
'of': -F
'what': WHA
'the': -T
'book': PWAOBG
'contains,': KAUPB/TAEUPBS/KW-BG
'but': PWUT
'nothing': TPHOG
'more.': PHOR/TP-PL
'I': EU
'had': H
'a': AEU
'great': TKPWRAET
'deal': TKAOEL
'of': -F
'information': TPH-FGS
'from': TPR
'my': PHEU
'father,': TPAER/KW-BG
'and': SKP
'I': EU
'have': SR
'noticed': TPH-TS/-D
'a': AEU
'great': TKPWRAET
'deal': TKAOEL
'myself.': PHAO*EUS/TP-PL
'I': EU
'keep': KAOEP
'it': T
'in': TPH
'my': PHEU
'diary,': TKAOEU/REU/KW-BG
'in': TPH
'which': WEU
'I': EU
'write': WREU
'for': TPOR
'my': PHEU
'own': OEPB
'use': AOUS
'and': SKP
'pleasure': PHRERB
'a': AEU
'history': HEUFRT
'of': -F
'all': AUL
'who': WHO
'lie': HRAOEU
'here,': HAOERBGS
'and': SKP
'a': AEU
'few': TPAOU
'more': PHOR
'beside.': PWE/SAOEUD/TP-PL
'Now': KPA/TPHOU
'we': WE
'are': R
'in': TPH
'the': -T
'churchyard.': KH*URPBLG/KWRARD/TP-PL
'Here,': KPA/HAOER/KW-BG
'behind': HEUPBD
'the': -T
'white': WHAOEUT
'iron': AOEURPB
'railings,': RAEULG/-S/KW-BG
'once': WUPBS
'a': AEU
'rose-tree': ROEZ/H-PB/TRAOE
'grew;': TKPWRAOU/STPH*FPLT
'it': T
'is': S
'gone': TKPWOPB
'now,': TPHOURBGS
'but': PWUT
'a': AEU
'little': HREUL
'bit': PWEUT
'of': -F
'evergreen,': *FR/TKPWRAOEPB/KW-BG
'from': TPR
'a': AEU
'neighboring': TPHAEUB/-G
'grave,': TKPWRAEUF/KW-BG
'stretches': STREFPS
'out': OUT
'its': EUTS
'green': TKPWRAOEPB
'tendrils,': TEPB/TKREUL/-S/KW-BG
'and': SKP
'makes': PHAEUBGS
'some': SOPL
'appearance;': PAOERPBS/STPH*FPLT
'there': THR
'rests': REFTS
'a': AEU
'very': SRE
'unhappy': UPB/HAEP
'man,': PHAPB/KW-BG
'and': SKP
'yet': KWRET
'while': WHAOEUL
'he': HE
'lived': HREUFD
'he': HE
'might': PHAOEUT
'be': -B
'said': SED
'to': TO
'occupy': OBG/PAOEU
'a': AEU
'very': SRE
'good': TKPWAOD
'position.': POGS/TP-PL
'He': KPA/HE
'had': H
'enough': TPHUF
'to': TO
'live': HREUF
'upon,': POPB/KW-BG
'and': SKP
'something': S-G
'to': TO
'spare;': SPAEUR/STPH*FPLT
'but': PWUT
'owing': OE/-G
'to': TO
'his': HEUS
'refined': RE/TPAOEUPBD
'tastes': TAEUFTS
'the': -T
'least': HRAOEFT
'thing': THEUPBG
'in': TPH
'the': -T
'world': WORLD
'annoyed': TPHOEUD
'him.': HEUPL/TP-PL
'If': KPA/TP
'he': HE
'went': WEPBT
'to': TO
'a': AEU
'theatre': THAO*ERT
'of': -F
'an': APB
'evening,': AOEPBG/KW-BG
'instead': STPHED
'of': -F
'enjoying': EPB/SKWROEUG
'himself': HEUPLS
'he': HE
'would': WO
'be': -B
'quite': KWAOEUT
'annoyed': TPHOEUD
'if': TP
'the': -T
'machinist': PH-PB/EUFT
'had': H
'put': PUT
'too': TAO
'strong': STROPBG
'a': AEU
'light': HRAOEUT
'into': TPHAO
'one': WUPB
'side': SAOEUD
'of': -F
'the': -T
'moon,': PHAOPB/KW-BG
'or': OR
'if': TP
'the': -T
'representations': REPT/TAEUGS/-S
'of': -F
'the': -T
'sky': SKAOEU
'hung': HUPBG
'over': OEFR
'the': -T
'scenes': SAOEPBS
'when': WHEPB
'they': THE
'ought': OT
'to': TO
'have': SR
'hung': HUPBG
'behind': HEUPBD
'them;': THEPL/STPH*FPLT
'or': OR
'if': TP
'a': AEU
'palm-tree': PAPL/H-PB/TRAOE
'was': WAS
'introduced': TROUD
'into': TPHAO
'a': AEU
'scene': SAEPB
'representing': REPG
'the': -T
'Zoological': KPA/SAO*/HR-LG
'Gardens': KPA/TKPWARD/-PBS
'of': -F
'Berlin,': PWER/HREUPB/KW-BG
'or': OR
'a': AEU
'cactus': KABG/TUS
'in': TPH
'a': AEU
'view': SRAOU
'of': -F
'Tyrol,': T*P/KWR*/R*/HRO*/KW-BG
'or': OR
'a': AEU
'beech-tree': PWAOEFP/H-PB/TRAOE
'in': TPH
'the': -T
'north': TPHORT
'of': -F
'Norway.': TPHOR/WAEU/TP-PL
'As': KPA/AS
'if': TP
'these': THEZ
'things': THEUPBGS
'were': WR
'of': -F
'any': TPHEU
'consequence!': KWEPBS/SKHRAPL
'Why': KPA/KWR
'did': TK
'he': HE
'not': TPHOT
'leave': HREF
'them': THEPL
'alone?': A/HROEPB/H-F
'Who': KPA/WHO
'would': WO
'trouble': TRUBL
'themselves': TH*EPLS
'about': PW
'such': SUFP
'trifles?': TRAOEUFL/-S/H-F
'especially': EPS
'at': AT
'a': AEU
'comedy,': KOPL/TKEU/KW-BG
'where': W-R
'every': EF
'one': WUPB
'is': S
'expected': KP-PTD
'to': TO
'be': -B
'amused.': A/PHAOUS/-D/TP-PL
'Then': KPA/THEPB
'sometimes': STAOEUPLS
'the': -T
'public': PHREUBG
'applauded': A/PHRAUD/-D
'too': TAO
'much,': PHUFP/KW-BG
'or': OR
'too': TAO
'little,': HREUL/KW-BG
'to': TO
'please': PHRES
'him.': HEUPL/TP-PL
'"They': KW-GS/KPA*/THE
'are': R
'like': HRAOEUBG
'wet': WET
'wood,"': WAOD/KW-BG/KR-GS
'he': HE
'would': WO
'say,': SAEU/KW-BG
'looking': HRAOG
'round': ROUPBD
'to': TO
'see': SAOE
'what': WHA
'sort': SORT
'of': -F
'people': PAOEPL
'were': WR
'present,': PREPBT/KW-BG
'"this': KW-GS/TH
'evening;': AOEPBG/STPH*FPLT
'nothing': TPHOG
'fires': TPAOEURS
'them."': THEPL/TP-PL/KR-GS
'Then': KPA/THEPB
'he': HE
'would': WO
'vex': SREBGS
'and': SKP
'fret': TPRET
'himself': HEUPLS
'because': PWAU
'they': THE
'did': TK
'not': TPHOT
'laugh': HRAF
'at': AT
'the': -T
'right': RAOEUT
'time,': TAOEUPL/KW-BG
'or': OR
'because': PWAU
'they': THE
'laughed': HRAFD
'in': TPH
'the': -T
'wrong': WROPBG
'places;': PHRAEUFS/STPH*FPLT
'and': SKP
'so': SO
'he': HE
'fretted': TP*/R*/*E/T*/T*/-D
'and': SKP
'worried': WOERD
'himself': HEUPLS
'till': TEUL
'at': AT
'last': HRAFT
'the': -T
'unhappy': UPB/HAEP
'man': PHAPB
'fretted': TP*/R*/*E/T*/T*/-D
'himself': HEUPLS
'into': TPHAO
'the': -T
'grave.': TKPWRAEUF/TP-PL
'Here': KPA/HAOER
'rests': REFTS
'a': AEU
'happy': HAEP
'man,': PHAPB/KW-BG
'that': THA
'is': S
'to': TO
'say,': SAEU/KW-BG
'a': AEU
'man': PHAPB
'of': -F
'high': HAOEU
'birth': PW*EURT
'and': SKP
'position,': POGS/KW-BG
'which': WEU
'was': WAS
'very': SRE
'lucky': HROEUBG
'for': TPOR
'him,': HEUPL/KW-BG
'otherwise': O*ERZ
'he': HE
'would': WO
'have': SR
'been': PW-PB
'scarcely': SKAEURS/HREU
'worth': WO*RT
'notice.': TPH-TS/TP-PL
'It': KPA/T
'is': S
'beautiful': PWAOUFL
'to': TO
'observe': OEB
'how': HOU
'wisely': WAOEULS
'nature': TPHAEURT
'orders': ORDZ
'these': THEZ
'things.': THEUPBGS/TP-PL
'He': KPA/HE
'walked': WAUBGD
'about': PW
'in': TPH
'a': AEU
'coat': KOET
'embroidered': EPL/PWROEUD/ERD
'all': AUL
'over,': OEFR/KW-BG
'and': SKP
'in': TPH
'the': -T
'drawing-rooms': TKRAUG/H-PB/RAOPLS
'of': -F
'society': SOET
'looked': HRAOBGD
'just': SKWRUFT
'like': HRAOEUBG
'one': WUPB
'of': -F
'those': THOZ
'rich': REUFP
'pearl-embroidered': PERL/H-PB/EPL/PWROEUD/ERD
'bell-pulls,': PWEL/H-PB/PULZ/KW-BG
'which': WEU
'are': R
'only': OEPBL
'made': PHAED
'for': TPOR
'show;': SHOE/STPH*FPLT
'and': SKP
'behind': HEUPBD
'them': THEPL
'always': AULS
'hangs': HAPBGS
'a': AEU
'good': TKPWAOD
'thick': THEUBG
'cord': KORD
'for': TPOR
'use.': AOUS/TP-PL
'This': KPA/TH
'man': PHAPB
'also': HR-S
'had': H
'a': AEU
'stout,': STOUT/KW-BG
'useful': AOUFL
'substitute': STUT
'behind': HEUPBD
'him,': HEUPL/KW-BG
'who': WHO
'did': TK
'duty': TKAOUT
'for': TPOR
'him,': HEUPL/KW-BG
'and': SKP
'performed': PORPLD
'all': AUL
'his': HEUS
'dirty': TKOEURT
'work.': WORBG/TP-PL
'And': AFPBD
'there': THR
'are': R
'still,': STEUL/KW-BG
'even': AOEPB
'now,': TPHOURBGS
'these': THEZ
'serviceable': S-FS/-BL
'cords': KORDZ
'behind': HEUPBD
'other': OER
'embroidered': EPL/PWROEUD/ERD
'bell-ropes.': PWEL/H-PB/ROEPS/TP-PL
'It': KPA/T
'is': S
'all': AUL
'so': SO
'wisely': WAOEULS
'arranged,': ARPBG/-D/KW-BG
'that': THA
'a': AEU
'man': PHAPB
'may': PHAEU
'well': WEL
'be': -B
'in': TPH
'a': AEU
'good': TKPWAOD
'humor.': HAOURPL/TP-PL
'Here': KPA/HAOER
'rests,—ah,': REFTS/KW-BG/EPL/TKA*RB/AERBGS
'it': T
'makes': PHAEUBGS
'one': WUPB
'feel': TPAOEL
'mournful': PHOURPB/-FL
'to': TO
'think': THEU
'of': -F
'him!—but': HEUPL/SKHRAPL/EPL/TKA*RB/PWUT
'here': HAOER
'rests': REFTS
'a': AEU
'man': PHAPB
'who,': WHO/KW-BG
'during': TKURG
'sixty-seven': SEUBGT/SEFPB
'years,': KWRAOERS/KW-BG
'was': WAS
'never': TPHEFR
'remembered': RERD
'to': TO
'have': SR
'said': SED
'a': AEU
'good': TKPWAOD
'thing;': THEUPBG/STPH*FPLT
'he': HE
'lived': HREUFD
'only': OEPBL
'in': TPH
'the': -T
'hope': HOEP
'of': -F
'having': SR-G
'a': AEU
'good': TKPWAOD
'idea.': KWR-D/TP-PL
'At': KPA/AT
'last': HRAFT
'he': HE
'felt': TPELT
'convinced,': KWEUPBS/-D/KW-BG
'in': TPH
'his': HEUS
'own': OEPB
'mind,': PHAOEUPBD/KW-BG
'that': THA
'he': HE
'really': R-L
'had': H
'one,': WUPB/KW-BG
'and': SKP
'was': WAS
'so': SO
'delighted': TKHRAOEUTD
'that': THA
'he': HE
'positively': P*EUFL
'died': TKAOEUD
'of': -F
'joy': SKWROEU
'at': AT
'the': -T
'thought': THAUT
'of': -F
'having': SR-G
'at': AT
'last': HRAFT
'caught': KAUT
'an': APB
'idea.': KWR-D/TP-PL
'Nobody': KPA/TPHOEB
'got': TKPWOT
'anything': TPHEUG
'by': PWEU
'it;': T/STPH*FPLT
'indeed,': TPHAOEPBD/KW-BG
'no': TPHO
'one': WUPB
'even': AOEPB
'heard': HAERD
'what': WHA
'the': -T
'good': TKPWAOD
'thing': THEUPBG
'was.': WAS/TP-PL
'Now': KPA/TPHOU
'I': EU
'can': K
'imagine': PHAPBLG
'that': THA
'this': TH
'same': SAEUPL
'idea': KWR-D
'may': PHAEU
'prevent': PREFPBT
'him': HEUPL
'from': TPR
'resting': REFT/-G
'quietly': KWAO*EULT
'in': TPH
'his': HEUS
'grave;': TKPWRAEUF/STPH*FPLT
'for': TPOR
'suppose': SPOS
'that': THA
'to': TO
'produce': PROU
'a': AEU
'good': TKPWAOD
'effect,': EFBGT/KW-BG
'it': T
'is': S
'necessary': TPHES
'to': TO
'bring': PWREU
'out': OUT
'his': HEUS
'new': TPHU
'idea': KWR-D
'at': AT
'breakfast,': PWR-FT/KW-BG
'and': SKP
'that': THA
'he': HE
'can': K
'only': OEPBL
'make': PHAEUBG
'his': HEUS
'appearance': PAOERPBS
'on': OPB
'earth': *ERT
'at': AT
'midnight,': PHAOEUPBT/KW-BG
'as': AS
'ghosts': TKPWOEFTS
'are': R
'believed': PWHREFD
'generally': SKWRERPBL
'to': TO
'do;': TKO/STPH*FPLT
'why': KWR
'then': THEPB
'this': TH
'good': TKPWAOD
'idea': KWR-D
'would': WO
'not': TPHOT
'suit': SAOUT
'the': -T
'hour,': HOUR/KW-BG
'and': SKP
'the': -T
'man': PHAPB
'would': WO
'have': SR
'to': TO
'carry': KAER
'it': T
'down': TKOUPB
'again': TKPWEPB
'with': W
'him': HEUPL
'into': TPHAO
'the': -T
'grave—that': TKPWRAEUF/EPL/TKA*RB/THA
'must': PHUFT
'be': -B
'a': AEU
'troubled': TRUBLD
'grave.': TKPWRAEUF/TP-PL
'The': KPA/-T
'woman': WOPL
'who': WHO
'lies': HRAO*EUS
'here': HAOER
'was': WAS
'so': SO
'remarkably': RARBG/PWHREU
'stingy,': STEUPB/SKWREU/KW-BG
'that': THA
'during': TKURG
'her': HER
'life': HRAOEUF
'she': SHE
'would': WO
'get': TKPWET
'up': UP
'in': TPH
'the': -T
'night': TPHAOEUT
'and': SKP
'mew,': PHAO*U/KW-BG
'that': THA
'her': HER
'neighbors': TPHAEUBS
'might': PHAOEUT
'think': THEU
'she': SHE
'kept': KEPT
'a': AEU
'cat.': KAT/TP-PL
'What': KPA/WHA
'a': AEU
'miser': PHAOEUS/*ER
'she': SHE
'was!': WAS/SKHRAPL
'Here': KPA/HAOER
'rests': REFTS
'a': AEU
'young': KWRUPBG
'lady,': HRA*ED/KW-BG
'of': -F
'a': AEU
'good': TKPWAOD
'family,': TPAEPL/KW-BG
'who': WHO
'would': WO
'always': AULS
'make': PHAEUBG
'her': HER
'voice': SROEUS
'heard': HAERD
'in': TPH
'society,': SOET/KW-BG
'and': SKP
'when': WHEPB
'she': SHE
'sang': SAPBG
'"Mi': KW-GS/PH*P/SKWREU
'manca': PH*/A*/TPH*/KR*/SKWRA
'la': HRA
'voce,"[1]': SR*/O*/KR*/SKWRE/KW-BG/KR-GS/PWR-BGT/#S/PWR*BGT
'it': T
'was': WAS
'the': -T
'only': OEPBL
'true': TRAOU
'thing': THEUPBG
'she': SHE
'ever': -FR
'said': SED
'in': TPH
'her': HER
'life.': HRAOEUF/TP-PL
'Here': KPA/HAOER
'lies': HRAO*EUS
'a': AEU
'maiden': PHAEUD/*EPB
'of': -F
'another': TPHOER
'description.': SKREUPGS/TP-PL
'She': KPA/SHE
'was': WAS
'engaged': EPB/TKPWAEUPBLGD
'to': TO
'be': -B
'married,—but,': PHAERD/KW-BG/EPL/TKA*RB/PWUT/KW-BG
'her': HER
'story': STOER
'is': S
'one': WUPB
'of': -F
'every-day': EF/TKA*EU
'life;': HRAOEUF/STPH*FPLT
'we': WE
'will': HR
'leave': HREF
'her': HER
'to': TO
'rest': REFT
'in': TPH
'the': -T
'grave.': TKPWRAEUF/TP-PL
'Here': KPA/HAOER
'rests': REFTS
'a': AEU
'widow,': WO*EUD/KW-BG
'who,': WHO/KW-BG
'with': W
'music': PHAOUFBG
'in': TPH
'her': HER
'tongue,': TUPBG/KW-BG
'carried': KAERD
'gall': TKPWAUL
'in': TPH
'her': HER
'heart.': HART/TP-PL
'She': KPA/SHE
'used': AOUFD
'to': TO
'go': TKPW
'round': ROUPBD
'among': PHOPBG
'the': -T
'families': TPAEPLS
'near,': TPHAOER/KW-BG
'and': SKP
'search': SEFRPB
'out': OUT
'their': THAEUR
'faults,': TPAULTS/KW-BG
'upon': POPB
'which': WEU
'she': SHE
'preyed': PRA*EU/-D
'with': W
'all': AUL
'the': -T
'envy': EPB/SREU
'and': SKP
'malice': PHAL/EUS
'of': -F
'her': HER
'nature.': TPHAEURT/TP-PL
'This': KPA/TH
'is': S
'a': AEU
'family': TPAEPL
'grave.': TKPWRAEUF/TP-PL
'The': KPA/-T
'members': PHEPLS
'of': -F
'this': TH
'family': TPAEPL
'held': HELD
'so': SO
'firmly': TPEURPL/HREU
'together': TOGT
'in': TPH
'their': THAEUR
'opinions,': P-PBS/KW-BG
'that': THA
'they': THE
'would': WO
'believe': PWHREF
'in': TPH
'no': TPHO
'other.': OER/TP-PL
'If': KPA/TP
'the': -T
'newspapers,': TPHAOUPS/KW-BG
'or': OR
'even': AOEPB
'the': -T
'whole': WHOEL
'world,': WORLD/KW-BG
'said': SED
'of': -F
'a': AEU
'certain': SERPB
'subject,': SUBT/KW-BG
'"It': KW-GS/KPA*/T
'is': S
'so-and-so;"': SO/H-PB/SKP/H-PB/SO/STPH*FPLT/KR-GS
'and': SKP
'a': AEU
'little': HREUL
'schoolboy': SKOEU
'declared': TKE/KHRAEURD
'he': HE
'had': H
'learned': HRERPBD
'quite': KWAOEUT
'differently,': TKEUFRL/KW-BG
'they': THE
'would': WO
'take': TAEUBG
'his': HEUS
'assertion': A/SERGS
'as': AS
'the': -T
'only': OEPBL
'true': TRAOU
'one,': WUPB/KW-BG
'because': PWAU
'he': HE
'belonged': PWHROPBGD
'to': TO
'the': -T
'family.': TPAEPL/TP-PL
'And': AFPBD
'it': T
'is': S
'well': WEL
'known': TPHOEPB
'that': THA
