The Last Dream of the Old Oak

'In': KPA/TPH
'small;': SPHAL/STPH*FPLT
'indeed,': TPHAOEPBD/KW-BG
'in': TPH
'its': EUTS
'cradle': KRAEUD/*L
'it': T
'had': H
'been': PW-PB
'an': APB
'acorn.': ABG/KORPB/TP-PL
'According': KPA/KORG
'to': TO
'human': HAOUPL
'computation,': KOFRP/TAEUGS/KW-BG
'it': T
'was': WAS
'now': TPHOU
'in': TPH
'the': -T
'fourth': TPO*URT
'century': KROEURPBT
'of': -F
'its': EUTS
'existence.': KPEUFS/TP-PL
'It': KPA/T
'was': WAS
'the': -T
'largest': HRARPBLG/EFT
'and': SKP
'best': PWEFT
'tree': TRAOE
'in': TPH
'the': -T
'forest.': TPOEFRT/TP-PL
'Its': KPA/EUTS
'summit': SUPLT
'towered': TOURD
'above': PWOF
'all': AUL
'the': -T
'other': OER
'trees,': TRAOES/KW-BG
'and': SKP
'could': KO
'be': -B
'seen': SAOEPB
'far': TPAR
'out': OUT
'at': AT
'sea,': SAE/KW-BG
'so': SO
'that': THA
'it': T
'served': SEFRBD
'as': AS
'a': AEU
'landmark': HRAPBD/PHARBG
'to': TO
'the': -T
'sailors.': SAEUL/ORS/TP-PL
'It': KPA/T
'had': H
'no': TPHO
'idea': KWR-D
'how': HOU
'many': PHAEPB
'eyes': AO*EUS
'looked': HRAOBGD
'eagerly': AOERLG
'for': TPOR
'it.': T/TP-PL
'In': KPA/TPH
'its': EUTS
'topmost': TOP/PHO*ES
'branches': PWRAFRPBS
'the': -T
'wood-pigeon': WAOD/H-PB/PEUGS
'built': PWEULT
'her': HER
'nest,': TPHEFT/KW-BG
'and': SKP
'the': -T
'cuckoo': KAO/KAO
'carried': KAERD
'out': OUT
'his': HEUS
'usual': AOURB
'vocal': SROELG
'performances,': PER/TPORPL/APBS/-S/KW-BG
'and': SKP
'his': HEUS
'well-known': WEL/TPHO*EPB
'notes': TPHOETS
'echoed': EBG/OE/-D
'amid': A/PHEUD
'the': -T
'boughs;': PWO*U/-S/STPH*FPLT
'and': SKP
'in': TPH
'autumn,': AU/UPL/KW-BG
'when': WHEPB
'the': -T
'leaves': HREFS
'looked': HRAOBGD
'like': HRAOEUBG
'beaten': PWAET/*EPB
'copper': KOP/ER
'plates,': PHRAEUTS/KW-BG
'the': -T
'birds': PWEURDZ
'of': -F
'passage': PAFPBLG
'would': WO
'come': KOPL
'and': SKP
'rest': REFT
'upon': POPB
'the': -T
'branches': PWRAFRPBS
'before': PW-FR
'taking': TAEUG
'their': THAEUR
'flight': TPHRAOEUT
'across': KRAOS
'the': -T
'sea.': SAE/TP-PL
'But': KPA/PWUT
'now': TPHOU
'it': T
'was': WAS
'winter,': WEURPBT/KW-BG
'the': -T
'tree': TRAOE
'stood': STAOD
'leafless,': HRAOEF/-LS/KW-BG
'so': SO
'that': THA
'every': EF
'one': WUPB
'could': KO
'see': SAOE
'how': HOU
'crooked': KRAOBGD
'and': SKP
'bent': PWEPBT
'were': WR
'the': -T
'branches': PWRAFRPBS
'that': THA
'sprang': SPRAPBG
'forth': TPO*RT
'from': TPR
'the': -T
'trunk.': TRUPBG/TP-PL
'Crows': KPA/KROE/-S
'and': SKP
'rooks': RAOBGS
'came': KAEUPL
'by': PWEU
'turns': TURPBS
'and': SKP
'sat': SAT
'on': OPB
'them,': THEPL/KW-BG
'and': SKP
'talked': TAUBGD
'of': -F
'the': -T
'hard': HARD
'times': TAOEUPLS
'which': WEU
'were': WR
'beginning,': TKPWEUPB/-G/KW-BG
'and': SKP
'how': HOU
'difficult': TKEUFL
'it': T
'was': WAS
'in': TPH
'winter': WEURPBT
'to': TO
'obtain': OB/TAEUPB
'food.': TPAOD/TP-PL
'It': KPA/T
'was': WAS
'just': SKWRUFT
'about': PW
'holy': HOEUL
'Christmas': KREUS/PHAS
'time': TAOEUPL
'that': THA
'the': -T
'tree': TRAOE
'dreamed': TKREPLD
'a': AEU
'dream.': TKRAOEPL/TP-PL
'The': KPA/-T
'tree': TRAOE
'had,': H/KW-BG
'doubtless,': TKOUT/*LS/KW-BG
'a': AEU
'kind': KEUPBD
'of': -F
'feeling': TPAOELG
'that': THA
'the': -T
'festive': TPES/TEUF
'time': TAOEUPL
'had': H
'arrived,': A/RAOEUFD/KW-BG
'and': SKP
'in': TPH
'his': HEUS
'dream': TKRAOEPL
'fancied': TPAPB/SEU/-D
'he': HE
'heard': HAERD
'the': -T
'bells': PWELS
'ringing': REUPBG/-G
'from': TPR
'all': AUL
'the': -T
'churches': KHUFRPBS
'round,': ROUPBD/KW-BG
'and': SKP
'yet': KWRET
'it': T
'seemed': SAOEPLD
'to': TO
'him': HEUPL
'to': TO
'be': -B
'a': AEU
'beautiful': PWAOUFL
'summer's': SAOURPL/AES
'day,': TKAEU/KW-BG
'mild': PHAOEULD
'and': SKP
'warm.': WARPL/TP-PL
'His': KPA/HEUS
'mighty': PHAOEUT/KWREU
'summits': SUPLT/-S
'was': WAS
'crowned': KROUPBD
'with': W
'spreading': SPREGD
'fresh': TPRERB
'green': TKPWRAOEPB
'foliage;': TPOEL/APBLG/STPH*FPLT
'the': -T
'sunbeams': SUPB/PWAOEPL/-S
'played': PHRAEUD
'among': PHOPBG
'the': -T
'leaves': HREFS
'and': SKP
'branches,': PWRAFRPBS/KW-BG
'and': SKP
'the': -T
'air': AEUR
'was': WAS
'full': TPUL
'of': -F
'fragrance': TPRAEUG/RAPBS
'from': TPR
'herb': ERB
'and': SKP
'blossom;': PWHROFPL/STPH*FPLT
'painted': PAEUPBTD
'butterflies': PW*URT/TPHRAOEU/-S
'chased': KHAEUS/-D
'each': AOEFP
'other;': OER/STPH*FPLT
'the': -T
'summer': SAOURPL
'flies': TPHRAOEUS
'danced': TKAPBS/-D
'around': ARPBD
'him,': HEUPL/KW-BG
'as': AS
'if': TP
'the': -T
'world': WORLD
'had': H
'been': PW-PB
'created': KRAOETD
'merely': PHAOERL
'for': TPOR
'them': THEPL
'to': TO
'dance': TKAPBS
'and': SKP
'be': -B
'merry': PHER/REU
'in.': TPH/TP-PL
'All': KPA/AUL
'that': THA
'had': H
'happened': HAPD
'to': TO
'the': -T
'tree': TRAOE
'during': TKURG
'every': EF
'year': KWRAOER
'of': -F
'his': HEUS
'life': HRAOEUF
'seemed': SAOEPLD
'to': TO
'pass': PAS
'before': PW-FR
'him,': HEUPL/KW-BG
'as': AS
'in': TPH
'a': AEU
'festive': TPES/TEUF
'procession.': PRO/SEGS/TP-PL
'He': KPA/HE
'saw': SAU
'the': -T
'knights': TPHAO*EUT/-S
'of': -F
'olden': OLD/*EPB
'times': TAOEUPLS
'and': SKP
'noble': TPHOEBL
'ladies': HRAEUDZ
'ride': RAOEUD
'by': PWEU
'through': THRU
'the': -T
'wood': WAOD
'on': OPB
'their': THAEUR
'gallant': TKPWAL/HRAPBT
'steeds,': STAOEDZ/KW-BG
'with': W
'plumes': PHR*UPL/ES
'waving': WAFG
'in': TPH
'their': THAEUR
'hats,': HATS/KW-BG
'and': SKP
'falcons': TPAL/KOPB/-S
'on': OPB
'their': THAEUR
'wrists.': WREUFTS/TP-PL
'The': KPA/-T
'hunting': HUPBT/-G
'horn': HORPB
'sounded,': SOUPBD/-D/KW-BG
'and': SKP
'the': -T
'dogs': TKOGS
'barked.': PWARBGD/TP-PL
'He': KPA/HE
'saw': SAU
'hostile': HOFT/*L
'warriors,': WAR/KWRORS/KW-BG
'in': TPH
'colored': KHRORD
'dresses': TKRES/-S
'and': SKP
'glittering': TKPWHREUT/ERG
'armor,': AR/PHOR/KW-BG
'with': W
'spear': SPAOER
'and': SKP
'halberd,': H*/A*/HR*/PW*/SKWRE/R*D/KW-BG
'pitching': PEUFPG
'their': THAEUR
'tents,': TEPBTS/KW-BG
'and': SKP
'anon': A/TPHOPB
'striking': STRAOEUG
'them.': THEPL/TP-PL
'The': KPA/-T
'watchfires': WAFP/TK-LS/TPAOEURS
'again': TKPWEPB
'blazed,': PWHRAEUZ/-D/KW-BG
'and': SKP
'men': PHEPB
'sang': SAPBG
'and': SKP
'slept': SHREPT
'under': TPH-PB
'the': -T
'hospitable': HOPT/-BL
'shelter': SHELT
'of': -F
'the': -T
'tree.': TRAOE/TP-PL
'He': KPA/HE
'saw': SAU
'lovers': HRUFRS
'meet': PHAOET
'in': TPH
'quiet': KWAO*EUT
'happiness': HAEP/-PBS
'near': TPHAOER
'him': HEUPL
'in': TPH
'the': -T
'moonshine,': PHAOPB/SHAO*EUPB/KW-BG
'and': SKP
'carve': KAFRB
'the': -T
'initials': TPHEURBLS
'of': -F
'their': THAEUR
'names': TPHAEUPLS
'in': TPH
'the': -T
'grayish-green': TKPWRAEU/EURB/H-PB/TKPWRAOEPB
'bark': PWARBG
'on': OPB
'his': HEUS
'trunk.': TRUPBG/TP-PL
'Once,': KPA/WUPBS/KW-BG
'but': PWUT
'long': HROPBG
'years': KWRAOERS
'had': H
'intervened': EUPBT/SRAOEPBD
'since': SEUPBS
'then,': THEPB/KW-BG
'guitars': TKPWEU/TAR/-S
'and': SKP
'Eolian': *EP/HRO*/KWRAPB
'harps': HARP/-S
'had': H
'been': PW-PB
'hung': HUPBG
'on': OPB
'his': HEUS
'boughs': PWO*U/-S
'by': PWEU
'merry': PHER/REU
'travellers;': TRA*FL/ERS/A*U/STPH*FPLT
'now': TPHOU
'they': THE
'seemed': SAOEPLD
'to': TO
'hang': HAPBG
'there': THR
'again,': STKPWERPBGS
'and': SKP
'he': HE
'could': KO
'hear': HAER
'their': THAEUR
'marvellous': PHAFLS/A*U
'tones.': TOEPBS/TP-PL
'The': KPA/-T
'wood-pigeons': WAOD/H-PB/PEUPBLG/-PBS
'cooed': KAO*/-D
'as': AS
'if': TP
'to': TO
'explain': SPHRAEUPB
'the': -T
'feelings': TPAOELGS
'of': -F
'the': -T
'tree,': TRAOE/KW-BG
'and': SKP
'the': -T
'cuckoo': KAO/KAO
'called': KAULD
'out': OUT
'to': TO
'tell': TEL
'him': HEUPL
'how': HOU
'many': PHAEPB
'summer': SAOURPL
'days': TKAEUS
'he': HE
'had': H
'yet': KWRET
'to': TO
'live.': HREUF/TP-PL
'Then': KPA/THEPB
'it': T
'seemed': SAOEPLD
'as': AS
'if': TP
'new': TPHU
'life': HRAOEUF
'was': WAS
'thrilling': THREULG
'through': THRU
'every': EF
'fibre': TPAOEURB/A*U
'of': -F
'root': RAOT
'and': SKP
'stem': STEPL
'and': SKP
'leaf,': HRAOEF/KW-BG
'rising': RAOEUFG
'even': AOEPB
'to': TO
'the': -T
'highest': HAOEU/EFT
'branches.': PWRAFRPBS/TP-PL
'The': KPA/-T
'tree': TRAOE
'felt': TPELT
'itself': T/SEFL
'stretching': STREFPG
'and': SKP
'spreading': SPREGD
'out,': OUT/KW-BG
'while': WHAOEUL
'through': THRU
'the': -T
'root': RAOT
'beneath': TPHAO*ET
'the': -T
'earth': *ERT
'ran': RAPB
'the': -T
'warm': WARPL
'vigor': SREUG/O*R
'of': -F
'life.': HRAOEUF/TP-PL
'As': KPA/AS
'he': HE
'grew': TKPWRAOU
'higher': HAOEUR
'and': SKP
'still': STEUL
'higher,': HAOEUR/KW-BG
'with': W
'increased': EUPB/KRAOEFD
'strength,': STREPBG/KW-BG
'his': HEUS
'topmost': TOP/PHO*ES
'boughs': PWO*U/-S
'became': PWAEUPL
'broader': PWRAORD
'and': SKP
'fuller;': TPUL/*ER/STPH*FPLT
'and': SKP
'in': TPH
'proportion': PORPGS
'to': TO
'his': HEUS
'growth,': TKPWRO*ET/KW-BG
'so': SO
'was': WAS
'his': HEUS
'self-satisfaction': SEF/SAEBGS
'increased,': EUPB/KRAOEFD/KW-BG
'and': SKP
'with': W
'it': T
'arose': A/ROES
'a': AEU
'joyous': SKWROEU/KWROUS
'longing': HROPBG/-G
'to': TO
'grow': TKPWROE
'higher': HAOEUR
'and': SKP
'higher,': HAOEUR/KW-BG
'to': TO
'reach': RAOEFP
'even': AOEPB
'to': TO
'the': -T
'warm,': WARPL/KW-BG
'bright': PWRAOEUT
'sun': SUPB
'itself.': T/SEFL/TP-PL
'Already': KPA/HR-R
'had': H
'his': HEUS
'topmost': TOP/PHO*ES
'branches': PWRAFRPBS
'pierced': PAOERS/-D
'the': -T
'clouds,': KHROUDZ/KW-BG
'which': WEU
'floated': TPHROET/-D
'beneath': TPHAO*ET
'them': THEPL
'like': HRAOEUBG
'troops': TRAOPS
'of': -F
'birds': PWEURDZ
'of': -F
'passage,': PAFPBLG/KW-BG
'or': OR
'large': HRARPBLG
'white': WHAOEUT
'swans;': SWAPBS/STPH*FPLT
'every': EF
'leaf': HRAOEF
'seemed': SAOEPLD
'gifted': TKPWEUFT/-D
'with': W
'sight,': SAOEUT/KW-BG
'as': AS
'if': TP
'it': T
'possessed': POS/ES/-D
