The Fox and the Cat

'It': KPA/T
'branches': PWRAFRPBS
'and': SKP
'foliage': TPOEL/APBLG
'quite': KWAOEUT
'concealed': KAUPB/SAOELD
'her.': HER/TP-PL
''Open': A*E/KPA*/OEP
'your': KWROUR
'sack,': SABG/KW-BG
'Mr': PH*P/R*
'Fox,': KPA/TPOBGS/KW-BG
'open': OEP
'your': KWROUR
'sack,'': SABG/KW-BG/AE
'cried': KRAOEUD
'the': -T
'cat': KAT
'to': TO
'him,': HEUPL/KW-BG
'but': PWUT
'the': -T
'dogs': TKOGS
'had': H
'already': HR-R
'seized': SAOEZ/-D
'him,': HEUPL/KW-BG
'and': SKP
'were': WR
'holding': HOELGD
'him': HEUPL
'fast.': TPAFT/TP-PL
''Ah,': A*E/KPA*/HA*E/KW-BG
'Mr': PH*P/R*
'Fox,'': KPA/TPOBGS/KW-BG/AE
'cried': KRAOEUD
'the': -T
'cat.': KAT/TP-PL
''You': A*E/KPA*/U
'with': W
'your': KWROUR
'hundred': HUPBD
'arts': ARTS
'are': R
'left': HREFT
'in': TPH
'the': -T
'lurch!': HRUFRPB/SKHRAPL
'Had': KPA/H
'you': U
'been': PW-PB
'able': ABL
'to': TO
'climb': KHRAOEUPL
'like': HRAOEUBG
'me,': PHE/KW-BG
'you': U
'would': WO
'not': TPHOT
'have': SR
'lost': HRO*S
'your': KWROUR
'life.'': HRAOEUF/TP-PL/AE
