Holger Danske
'The': KPA/-T
'old': OLD
'grandfather': TKPWR-F
'told': TOLD
'the': -T
'little': HREUL
'boy': PWOEU
'a': AEU
'great': TKPWRAET
'deal': TKAOEL
'about': PW
'Danish': TKAEUPB/EURB
'men': PHEPB
'and': SKP
'women': WEUPL
'who': WHO
'had': H
'distinguished': STKPWAOURBD
'themselves': TH*EPLS
'in': TPH
'olden': OLD/*EPB
'times,': TAOEUPLS/KW-BG
'so': SO
'that': THA
'he': HE
'fancied': TPAPB/SEU/-D
'he': HE
'knew': TPHAOU
'as': AS
'much': PHUFP
'even': AOEPB
'as': AS
'Holger': H*P/O*/HR*/TKPW*/*ER
'Danske': TKAPB/-S/*BG/SKWRE
'himself,': HEUPLS/KW-BG
'who,': WHO/KW-BG
'after': AF
'all,': AUL/KW-BG
'could': KO
'only': OEPBL
'dream;': TKRAOEPL/STPH*FPLT
'and': SKP
'when': WHEPB
'the': -T
'little': HREUL
'fellow': TP*EL
'went': WEPBT
'to': TO
'bed,': PWED/KW-BG
'he': HE
'thought': THAUT
'so': SO
'much': PHUFP
'about': PW
'it': T
'that': THA
'he': HE
'actually': TAOULT
'pressed': PREFD
'his': HEUS
'chin': KHEUPB
'against': TKPWEPBS
'the': -T
'counterpane,': KOUFRPBT/PAEPB/KW-BG
'and': SKP
'imagined': PHAPBLGD
'that': THA
'he': HE
'had': H
'a': AEU
'long': HROPBG
'beard': PWAERD
'which': WEU
'had': H
'become': PW-BG
'rooted': RAOT/-D
'to': TO
'it.': T/TP-PL
'But': KPA/PWUT
'the': -T
'old': OLD
'grandfather': TKPWR-F
'remained': RE/PHAEUPBD
'sitting': SEUGT
'at': AT
'his': HEUS
'work': WORBG
'and': SKP
'carving': KAFRBG
'away': WA*EU
'at': AT
'the': -T
'last': HRAFT
'part': PART
'of': -F
'it,': T/KW-BG
'which': WEU
'was': WAS
'the': -T
'Danish': TKAEUPB/EURB
'arms.': ARPLS/TP-PL
'And': AFPBD
'when': WHEPB
'he': HE
'had': H
'finished': TP*EURBD
'he': HE
'looked': HRAOBGD
'at': AT
'the': -T
'whole': WHOEL
'figure,': TPEUG/KW-BG
'and': SKP
'thought': THAUT
'of': -F
'all': AUL
'he': HE
'had': H
'heard': HAERD
'and': SKP
'read,': RAED/KW-BG
'and': SKP
'what': WHA
'he': HE
'had': H
'that': THA
'evening': AOEPBG
'related': RAELTD
'to': TO
'his': HEUS
'little': HREUL
'grandson.': TKPWR-S/TP-PL
'Then': KPA/THEPB
'he': HE
'nodded': TPHOD/-D
'his': HEUS
'head,': HED/KW-BG
'wiped': WAOEUPD
'his': HEUS
'spectacles': SPEBGT/K-LS
'and': SKP
'put': PUT
'them': THEPL
'on,': OPB/KW-BG
'and': SKP
'said,': SED/KW-BG
'"Ah,': KW-GS/KPA*/AERBGS
'yes;': KWRE/STPH*FPLT
'Holger': H*P/O*/HR*/TKPW*/*ER
'Danske': TKAPB/-S/*BG/SKWRE
'will': HR
'not': TPHOT
'appear': A/PAOER
'in': TPH
'my': PHEU
'lifetime,': HRAOEUF/TAOEUPL/KW-BG
'but': PWUT
'the': -T
'boy': PWOEU
'who': WHO
'is': S
'in': TPH
'bed': PWED
'there': THR
'may': PHAEU
'very': SRE
'likely': HRAOEULG
'live': HREUF
'to': TO
'see': SAOE
'him': HEUPL
'when': WHEPB
'the': -T
'event': EFPBT
'really': R-L
'comes': KOPLS
'to': TO
'pass."': PAS/TP-PL/KR-GS
'And': AFPBD
'the': -T
'old': OLD
'grandfather': TKPWR-F
'nodded': TPHOD/-D
'again;': TKPWEPB/STPH*FPLT
'and': SKP
'the': -T
'more': PHOR
'he': HE
'looked': HRAOBGD
'at': AT
'Holger': H*P/O*/HR*/TKPW*/*ER
'Danske,': TKAPB/-S/*BG/SKWRE/KW-BG
'the': -T
'more': PHOR
'satisfied': SAED
'he': HE
'felt': TPELT
'that': THA
'he': HE
'had': H
'carved': KAFRBD
'a': AEU
'good': TKPWAOD
'image': EUPBLG
'of': -F
'him.': HEUPL/TP-PL
'It': KPA/T
'seemed': SAOEPLD
'to': TO
'glow': TKPWHROE
'with': W
'the': -T
'color': KROR
'of': -F
'life;': HRAOEUF/STPH*FPLT
'the': -T
'armor': AR/PHOR
'glittered': TKPWHREUT/ERD
'like': HRAOEUBG
'iron': AOEURPB
'and': SKP
'steel.': STAOEL/TP-PL
'The': KPA/-T
'hearts': HARTS
'in': TPH
'the': -T
'Danish': TKAEUPB/EURB
'arms': ARPLS
'grew': TKPWRAOU
'more': PHOR
'and': SKP
'more': PHOR
'red;': RED/STPH*FPLT
'while': WHAOEUL
'the': -T
'lions,': HRAOEU/O*PBS/KW-BG
'with': W
'gold': TKPWOELD
'crowns': KROUPBS
'on': OPB
'their': THAEUR
'heads,': HEDZ/KW-BG
'were': WR
'leaping': HRAOEPG
'up.': UP/TP-PL
'"That': KW-GS/KPA*/THA
'is': S
'the': -T
'most': PHOFT
'beautiful': PWAOUFL
'coat': KOET
'of': -F
'arms': ARPLS
'in': TPH
'the': -T
'world,"': WORLD/KW-BG/KR-GS
'said': SED
'the': -T
'old': OLD
'man.': PHAPB/TP-PL
'"The': KW-GS/KPA*/-T
'lions': HRAOEU/O*PBS
'represent': REPT
'strength;': STREPBG/STPH*FPLT
'and': SKP
'the': -T
'hearts,': HARTS/KW-BG
'gentleness': SKWR*EPBLT/-PBS
'and': SKP
'love."': HRUF/TP-PL/KR-GS
'And': AFPBD
'as': AS
'he': HE
'gazed': TKPWAEZ/-D
'on': OPB
'the': -T
'uppermost': UP/ER/PHOEFT
'lion,': HRO*EUPB/KW-BG
'he': HE
'thought': THAUT
'of': -F
'King': KO*EUPBG
'Canute,': KR*P/A*/TPH*/*U/T*/SKWRE/KW-BG
'who': WHO
'chained': KHAEUPBD
'great': TKPWRAET
'England': TKPWHRAEPBD
'to': TO
'Denmark's': TKEPB/PHARBG/AES
'throne;': THRO*EPB/STPH*FPLT
'and': SKP
'he': HE
'looked': HRAOBGD
'at': AT
'the': -T
'second': SEBGD
'lion,': HRO*EUPB/KW-BG
'and': SKP
'thought': THAUT
'of': -F
'Waldemar,': W*P/A*/HR*/TK*/*E/PH*/A*R/KW-BG
'who': WHO
'untied': UPB/TAOEUD
'Denmark': TKEPB/PHARBG
'and': SKP
'conquered': KAUPB/KERD
'the': -T
'Vandals.': KPA/SRAPBD/ALS/TP-PL
'The': KPA/-T
'third': THEURD
'lion': HRO*EUPB
'reminded': RE/PHAOEUPBD/T-D
'him': HEUPL
'of': -F
'Margaret,': PHARG/RET/KW-BG
'who': WHO
'united': AOUPBTD
'Denmark,': TKEPB/PHARBG/KW-BG
'Sweden,': SWAOED/-PB/KW-BG
'and': SKP
'Norway.': TPHOR/WAEU/TP-PL
'But': KPA/PWUT
'when': WHEPB
'he': HE
'gazed': TKPWAEZ/-D
'at': AT
'the': -T
'red': RED
'hearts,': HARTS/KW-BG
'their': THAEUR
'colors': KHRORS
'glowed': TKPWHROE/-D
'more': PHOR
'deeply,': TKAO*EPL/KW-BG
'even': AOEPB
'as': AS
'flames,': TPHRAEUPLS/KW-BG
'and': SKP
'his': HEUS
'memory': PHOEURPL
'followed': TPOLD
'each': AOEFP
'in': TPH
'turn.': TURPB/TP-PL
'The': KPA/-T
'first': TPEUFRT
'led': HRED
'him': HEUPL
'to': TO
'a': AEU
'dark,': TKARBG/KW-BG
'narrow': TPHO*EUR
'prison,': PREUZ/KW-BG
'in': TPH
'which': WEU
'sat': SAT
'a': AEU
'prisoner,': PREURZ/KW-BG
'a': AEU
'beautiful': PWAOUFL
'woman,': WOPL/KW-BG
'daughter': TKAUR
'of': -F
'Christian': KREUGS
'the': -T
'Fourth,': KPA/TPO*URT/KW-BG
'Eleanor': EL/TPHOR
'Ulfeld,': *UP/HR*/TP*/*E/HR*/TK*/KW-BG
'and': SKP
'the': -T
'flame': TPHRAEUPL
'became': PWAEUPL
'a': AEU
'rose': ROEZ
'on': OPB
'her': HER
'bosom,': PWUZ/OPL/KW-BG
'and': SKP
'its': EUTS
'blossoms': PWHROS/SOPL/-S
'were': WR
'not': TPHOT
'more': PHOR
'pure': PAOUR
'than': THAPB
'the': -T
'heart': HART
'of': -F
'this': TH
'noblest': TPHOEBL/*ES
'and': SKP
'best': PWEFT
'of': -F
'all': AUL
'Danish': TKAEUPB/EURB
'women.': WEUPL/TP-PL
'"Ah,': KW-GS/KPA*/AERBGS
'yes;': KWRE/STPH*FPLT
'that': THA
'is': S
'indeed': TPHAOEPBD
'a': AEU
'noble': TPHOEBL
'heart': HART
'in': TPH
'the': -T
'Danish': TKAEUPB/EURB
'arms,"': ARPLS/KW-BG/KR-GS
'said': SED
'the': -T
'grandfather,': TKPWR-F/KW-BG
'and': SKP
'his': HEUS
'spirit': SPEURT
'followed': TPOLD
'the': -T
'second': SEBGD
'flame,': TPHRAEUPL/KW-BG
'which': WEU
'carried': KAERD
'him': HEUPL
'out': OUT
'to': TO
'sea,': SAE/KW-BG
'where': W-R
'cannons': KAPB/TPHOPB/-S
'roared': RAORD
'and': SKP
'the': -T
'ships': SHEUPS
'lay': HRAEU
'shrouded': SHROUD/-D
'in': TPH
'smoke,': SPHOEBG/KW-BG
'and': SKP
'the': -T
'flaming': TPHRAPLG
'heart': HART
'attached': A/TAFPD
'itself': T/SEFL
'to': TO
'the': -T
'breast': PWREFT
'of': -F
'Hvitfeldt': H*P/SR*/*EU/T*/TP*/*E/HR*/TK*/T*
'in': TPH
'the': -T
'form': TPORPL
'of': -F
'the': -T
'ribbon': REUB/O*PB
'of': -F
'an': APB
'order,': ORD/KW-BG
'as': AS
'he': HE
'blew': PWHRAOU
'himself': HEUPLS
'and': SKP
'his': HEUS
'ship': SHEUP
'into': TPHAO
'the': -T
'air': AEUR
'in': TPH
'order': ORD
'to': TO
'save': SAF
'the': -T
'fleet.': TPHRAOET/TP-PL
'And': AFPBD
'the': -T
'third': THEURD
'flame': TPHRAEUPL
'led': HRED
'him': HEUPL
'to': TO
'Greenland's': TKPWRAOEPB/HRA*PBD/AES
'wretched': WREFPD
'huts,': HUTS/KW-BG
'where': W-R
'the': -T
'preacher,': PRAO*EFP/KW-BG
'Hans': HAPBS
'Egede,': *EP/TKPW*/-D/SKWRE/KW-BG
'ruled': RAOULD
'with': W
'love': HRUF
'in': TPH
'every': EF
'word': WORD
'and': SKP
'action.': A*BGS/TP-PL
'The': KPA/-T
'flame': TPHRAEUPL
'was': WAS
'as': AS
'a': AEU
'star': STAR
'on': OPB
'his': HEUS
'breast,': PWREFT/KW-BG
'and': SKP
'added': AD/-D
'another': TPHOER
'heart': HART
'to': TO
'the': -T
'Danish': TKAEUPB/EURB
'arms.': ARPLS/TP-PL
'And': AFPBD
'as': AS
'the': -T
'old': OLD
'grandfather's': TKPWR-F/AES
'spirit': SPEURT
'followed': TPOLD
'the': -T
'next': TPHEGT
'hovering': HOFRG
'flame,': TPHRAEUPL/KW-BG
'he': HE
'knew': TPHAOU
'whither': WHEU/THER
'it': T
'would': WO
'lead': HRAED
'him.': HEUPL/TP-PL
'In': KPA/TPH
'a': AEU
'peasant': PEFPBT
'woman's': WOPL/AES
'humble': HUPL/-BL
'room': RAOPL
'stood': STAOD
'Frederick': TPRED/REUBG
'the': -T
'Sixth,': KPA/S*BGS/KW-BG
'writing': WREUG
'his': HEUS
'name': TPHAEUPL
'with': W
'chalk': KHAUBG
'on': OPB
'the': -T
'beam.': PWAEPL/TP-PL
'The': KPA/-T
'flame': TPHRAEUPL
'trembled': TREPL/-BLD
'on': OPB
'his': HEUS
'breast': PWREFT
'and': SKP
'in': TPH
'his': HEUS
'heart,': HART/KW-BG
'and': SKP
'it': T
'was': WAS
'in': TPH
'the': -T
'peasant's': PEFPBT/AES
'room': RAOPL
'that': THA
'his': HEUS
'heart': HART
'became': PWAEUPL
'one': WUPB
'for': TPOR
'the': -T
'Danish': TKAEUPB/EURB
'arms.': ARPLS/TP-PL
'The': KPA/-T
'old': OLD
'grandfather': TKPWR-F
'wiped': WAOEUPD
'his': HEUS
'eyes,': AO*EUS/KW-BG
'for': TPOR
'he': HE
'had': H
'known': TPHOEPB
'King': KO*EUPBG
'Frederick,': TPRED/REUBG/KW-BG
'with': W
'his': HEUS
'silvery': SEUL/SRER/KWREU
'locks': HROBGZ
'and': SKP
'his': HEUS
'honest': HOPBS
'blue': PWHRU
'eyes,': AO*EUS/KW-BG
'and': SKP
'had': H
'lived': HREUFD
'for': TPOR
'him,': HEUPL/KW-BG
'and': SKP
'he': HE
'folded': TPOELD/-D
'his': HEUS
'hands': HAPBDZ
'and': SKP
'remained': RE/PHAEUPBD
'for': TPOR
'some': SOPL
'time': TAOEUPL
'silent.': SHREPBT/TP-PL
'Then': KPA/THEPB
'his': HEUS
'daughter': TKAUR
'came': KAEUPL
'to': TO
'him': HEUPL
'and': SKP
'said': SED
'it': T
'was': WAS
'getting': TKPWEGT
'late,': HRAEUT/KW-BG
'that': THA
'he': HE
'ought': OT
'to': TO
'rest': REFT
'for': TPOR
'a': AEU
'while,': WHAOEUL/KW-BG
'and': SKP
'that': THA
'the': -T
'supper': SAOURP
'was': WAS
'on': OPB
'the': -T
'table.': TAEUBL/TP-PL
'"What': KW-GS/KPA*/WHA
'you': U
'have': SR
'been': PW-PB
'carving': KAFRBG
'is': S
'very': SRE
'beautiful,': PWAOUFL/KW-BG
'grandfather,"': TKPWR-F/KW-BG/KR-GS
'said': SED
'she.': SHE/TP-PL
'"Holger': KW-GS/H*P/O*/HR*/TKPW*/*ER
'Danske': TKAPB/-S/*BG/SKWRE
'and': SKP
'the': -T
'old': OLD
'coat': KOET
'of': -F
'arms;': ARPLS/STPH*FPLT
'it': T
'seems': SAOEPLS
'to': TO
'me': PHE
'as': AS
'if': TP
'I': EU
'have': SR
'seen': SAOEPB
'the': -T
'face': TPAEUS
'somewhere."': SWR/TP-PL/KR-GS
'"No,': KW-GS/KPA*/TPHO/KW-BG
'that': THA
'is': S
'impossible,"': EUPL/POB/KW-BG/KR-GS
'replied': RE/PHRAOEUD
'the': -T
'old': OLD
'grandfather;': TKPWR-F/STPH*FPLT
'"but': KW-GS/PWUT
'I': EU
'have': SR
'seen': SAOEPB
'it,': T/KW-BG
'and': SKP
'I': EU
'have': SR
'tried': TRAOEUD
'to': TO
'carve': KAFRB
'it': T
'in': TPH
'wood,': WAOD/KW-BG
'as': AS
'I': EU
'have': SR
'retained': RE/TAEUPBD
'it': T
'in': TPH
'my': PHEU
'memory.': PHOEURPL/TP-PL
'It': KPA/T
'was': WAS
'a': AEU
'long': HROPBG
'time': TAOEUPL
'ago,': AG/KW-BG
'while': WHAOEUL
'the': -T
'English': TKPWHREURB
'fleet': TPHRAOET
'lay': HRAEU
'in': TPH
'the': -T
'roads,': RAODZ/KW-BG
'on': OPB
'the': -T
'second': SEBGD
'of': -F
'April,': PREUL/KW-BG
'when': WHEPB
'we': WE
'showed': SHOED
'that': THA
'we': WE
'were': WR
'true,': TRAOU/KW-BG
'ancient': AEURBT
'Danes.': TKAPB/ES/TP-PL
'I': EU
'was': WAS
'on': OPB
'board': PWAORD
'the': -T
'Denmark,': TKEPB/PHARBG/KW-BG
'in': TPH
'Steene': S*P/T*/SKWRE/*EPB/SKWRE
'Bille's': PW*EUL/SKWRE/AES
'squadron;': SKWAD/ROPB/STPH*FPLT
'I': EU
'had': H
'a': AEU
'man': PHAPB
'by': PWEU
'my': PHEU
'side': SAOEUD
'whom': WHOPL
'even': AOEPB
'the': -T
'cannon': KAPB/TPHOPB
'balls': PWAULS
'seemed': SAOEPLD
'to': TO
'fear.': TPAOER/TP-PL
'He': KPA/HE
'sung': SUPBG
'old': OLD
'songs': SOPBGS
'in': TPH
'a': AEU
'merry': PHER/REU
'voice,': SROEUS/KW-BG
'and': SKP
'fired': TPAOEURD
'and': SKP
'fought': TPAUT
'as': AS
'if': TP
'he': HE
'were': WR
'something': S-G
'more': PHOR
'than': THAPB
'a': AEU
'man.': PHAPB/TP-PL
'I': EU
'still': STEUL
'remember': RER
'his': HEUS
'face,': TPAEUS/KW-BG
'but': PWUT
'from': TPR
'whence': WHEPBS
'he': HE
'came,': KAEUPL/KW-BG
'or': OR
'whither': WHEU/THER
'he': HE
'went,': WEPBT/KW-BG
'I': EU
'know': TPHOE
'not;': TPHOT/STPH*FPLT
'no': TPHO
'one': WUPB
'knows.': TPHOEZ/TP-PL
'I': EU
'have': SR
'often': OFPB
'thought': THAUT
'it': T
'might': PHAOEUT
'have': SR
'been': PW-PB
'Holger': H*P/O*/HR*/TKPW*/*ER
'Danske': TKAPB/-S/*BG/SKWRE
'himself,': HEUPLS/KW-BG
'who': WHO
'had': H
'swam': SWAPL
'down': TKOUPB
'to': TO
'us': US
'from': TPR
'Kronenburg': K*P/R*/O*PB/*EPB/PW*URG
'to': TO
'help': HEP
'us': US
'in': TPH
'the': -T
'hour': HOUR
'of': -F
'danger.': TKAEUPBLG/TP-PL
'That': KPA/THA
'was': WAS
'my': PHEU
'idea,': KWR-D/KW-BG
'and': SKP
'there': THR
'stands': STAPBDZ
'his': HEUS
'likeness."': HRAOEUBG/-PBS/TP-PL/KR-GS
'The': KPA/-T
'wooden': WAOD/EPB
'figure': TPEUG
'threw': THRAOU
'a': AEU
'gigantic': SKWRAOEU/TKPWAPBT/EUBG
'shadow': SHOEUD
'on': OPB
'the': -T
'wall,': WAUL/KW-BG
'and': SKP
'even': AOEPB
'on': OPB
'part': PART
'of': -F
'the': -T
'ceiling;': KAOELG/STPH*FPLT
'it': T
'seemed': SAOEPLD
'as': AS
'if': TP
'the': -T
'real': RAEL
'Holger': H*P/O*/HR*/TKPW*/*ER
'Danske': TKAPB/-S/*BG/SKWRE
'stood': STAOD
'behind': HEUPBD
'it,': T/KW-BG
'for': TPOR
'the': -T
'shadow': SHOEUD
'moved;': PHOFD/STPH*FPLT
'but': PWUT
'this': TH
'was': WAS
'no': TPHO
'doubt': TKOUT
'caused': KAUDZ
'by': PWEU
'the': -T
'flame': TPHRAEUPL
'of': -F
'the': -T
'lamp': HRAFRP
'not': TPHOT
'burning': PWURPBG
'steadily.': STED/HREU/TP-PL
'Then': KPA/THEPB
'the': -T
'daughter-in-law': TKAURPBL
'kissed': K*EUFD
'the': -T
'old': OLD
'grandfather,': TKPWR-F/KW-BG
'and': SKP
'led': HRED
'him': HEUPL
'to': TO
'a': AEU
'large': HRARPBLG
'arm-chair': ARPL/H-PB/KHAEUR
'by': PWEU
'the': -T
'table;': TAEUBL/STPH*FPLT
'and': SKP
'she,': SHE/KW-BG
'and': SKP
'her': HER
'husband,': HUS/KW-BG
'who': WHO
'was': WAS
'the': -T
'son': SOPB
'of': -F
'the': -T
'old': OLD
'man': PHAPB
'and': SKP
'the': -T
'father': TPAER
'of': -F
'the': -T
'little': HREUL
'boy': PWOEU
'who': WHO
'lay': HRAEU
'in': TPH
'bed,': PWED/KW-BG
'sat': SAT
'down': TKOUPB
'to': TO
'supper': SAOURP
'with': W
'him.': HEUPL/TP-PL
'And': AFPBD
'the': -T
'old': OLD
'grandfather': TKPWR-F
