Common Words
'check': KHEBG
'cheek': KHAOEBG
'chest': KHEFT
'child': KHAOEULD
'children': KHEURPB
'chuckle': KHUBG/*L
'city': STEU
'class': KHRAS
'clean': KHRAOEPB
'clear': KHRAOER
'climb': KHRAOEUPL
'close': KHROES
'clothes': KHRO*ETS
'coffee': KOEF
'cold': KOELD
'college': KHREPBLG
'color': KROR
'come': KOPL
'comment': KPHEPBT
'complete': KPHRAOET
'completely': KPHRAOELT
'computer': KPAOUR
'concern': K-RPB
'confuse': KAOUFS
'consider': KR
'continue': T-PB
'control': KROL
'conversation': K-FRGS
'cool': KAOL
'corner': KRORPB
'couch': KOUFP
'could': KO
'couldn't': KOPBT
'counter': KO*URPBT
'couple': KUPL
'course': KORS
'cover': KOFR
'crack': KRABG
'crazy': KRAEZ
'cross': KROS
'crowd': KROUD
'cry': KRAOEU
'cup': KUP
'cut': KUT
'cute': KAOUT
'dad': TKAD
'damn': TKAEPL
'dance': TKAPBS
'dark': TKARBG
'date': TKAEUT
'daughter': TKAUR
'day': TKAEU
'dead': TKED
'deal': TKAOEL
'dear': TKAER
'death': TK*T
'decide': STKAOEUD
'deep': TKAOEP
'definitely': TKEFPBLT
'desk': TKEFBG
'did': TK
'didn't': TK-PBT
'die': TKAOEU
'different': TKEUFRT
'dinner': TKEURPB
'direction': TKREBGS
'disappear': TKEUS/PAOER
'do': TKO
'doctor': TKR
'does': TKOS
'doesn't': TKOPBT
'dog': TKOG
'don't': TKOEPBT
'done': TKOPB
'door': TKAOR
'doubt': TKOUT
'down': TKOUPB
'drag': TKRAG
'draw': TKRAU
'dream': TKRAOEPL
'dress': TKRES
'drink': TKREU
'drive': TKRAOEUF
'drop': TKROP
'drove': TKROEF
'dry': TKRAOEU
'during': TKURG
'each': AOEFP
'ear': AOER
'early': ERL
'easily': AOELS
'easy': EZ
'eat': AOET
'edge': EPBLG
'either': AOERT
'else': ELS
'empty': EPLT
'end': EPBD
'enjoy': TPHOEUPBLG
'enough': TPHUF
'enter': SPWER
'entire': SPWAOEUR
'escape': SKAEP
'especially': EPS
'even': AOEPB
'evening': AOEPBG
'eventually': AEPBT/WAEL
'ever': -FR
'every': EF
'everyone': EFRPB
'everything': EFRG
'exactly': ELG
'except': KPEPT
'excite': KPAOEUT
'exclaim': SKHRAEUPL
'excuse': SKAOUS
'expect': KP-PT
'explain': SPHRAEUPB
'expression': EBGS/PREGS
'eye': AOEU
'eyebrow': AOEU/PWROU
'face': TPAEUS
'fact': TPABGT
'fall': TPAUL
'family': TPAEPL
'far': TPAR
'fast': TPAFT
'father': TPAER
'fault': TPAULT
'favorite': TPAEUFRT
'fear': TPAOER
'feel': TPAOEL
'feet': TPAOET
'fell': TPEL
'felt': TPELT
'few': TPAOU
'field': TPAOELD
'fight': TPAOEUT
'figure': TPEUG
'fill': TPEUL
'finally': TPHRAOEUPBL
'find': TPAOEUPBD
'fine': TPAOEUPB
'finger': TPEURPBG
'finish': TP*EURB
'fire': TPAOEUR
'first': TPEUFRT
'fit': TPEUT
'five': TPAOEUF
'fix': TPEUBGS
'flash': TPHRARB
'flip': TPHREUP
'floor': TPHRAOR
'fly': TPHRAOEU
'focus': TPOEUBG
'follow': TPOL
'food': TPAOD
'foot': TPAOT
'for': TPOR
'force': TPORS
'forget': TPORGT
'form': TPORPL
'forward': TPAORD
'found': TPOUPBD
'four': TPOUR
'free': TPRAOE
'friend': TPREPBD
'from': TPR
'front': TPROPBT
'frown': TPROUPB
'fuck': TPUBG
'full': TPUL
'fun': TPUPB
'funny': TPAOUPB
'further': TPURT
'game': TKPWAEUPL
'gasp': TKPWAFP
'gave': TKPWAEUF
'gaze': TKPWAEZ
'gently': SKWREPBT/HREU
'get': TKPWET
'giggle': TKPWEUG/*L
'girl': TKPWEURL
'girlfriend': TKPWOEUF
'give': TKPWEUF
'given': TKPWEUFPB
'glad': TKPWHRAD
'glance': TKPWHRAPBS
'glare': TKPWHRAEUR
'glass': TKPWHRAS
'go': TKPW
'god': TKPWOD
'gone': TKPWOPB
'gonna': TKPW*G
'good': TKPWAOD
'got': TKPWOT
'gotten': TKPW*PB
'grab': TKPWRAB
'great': TKPWRAET
'green': TKPWRAOEPB
'greet': TKPWRAOET
'grey': TKPWRA*EU
'grin': TKPWREUPB
'grip': TKPWREUP
'groan': TKPWRAOPB
'ground': TKPWROUPBD
'group': TKPWROUP
'grow': TKPWROE
'guard': TKPWARD
'guess': TKPWES
'gun': TKPW-PB
'guy': TKPWAOEU
'had': H
'hadn't': H-PBT
'hair': HAEUR
'half': HAF
'Hall': HA*L
'hallway': HAUL/WAEU
'hand': HAPBD
'handle': HAPBL
'hang': HAPBG
'happen': HAP
'happy': HAEP
'hard': HARD
'has': HAS
'hate': HAEUT
'have': SR
'haven't': SR-PB
'he': HE
'he'd': HAOED
'he's': HAOES
'head': HED
'hear': HAER
'heard': HAERD
'heart': HART
'heavy': HOEUF
'held': HELD
'hell': HEL
'hello': H-L
'help': HEP
'her': HER
'here': HAOER
'herself': H*ERS
'hey': HAEU
'hi': HEU
'hide': HAOEUD
'high': HAOEU
'him': HEUPL
'himself': HEUPLS
'his': HEUS
'hit': HEUT
'hold': HOLD
'home': HOEPL
'hope': HOEP
'horse': HORS
'hospital': HOPT
'hot': HOT
'hour': HOUR
'house': HOUS
'how': HOU
'however': HOUF
'hug': HUG
'huge': HAOUPBLG
'huh': H*U
'human': HAOUPL
'hundred': HUPBD
'hung': HUPBG
'hurry': HUR/REU
'hurt': HURT
'I': EU
'I'd': AOEUD
'I'll': AOEUL
'I'm': AOEUPL
'I've': AOEUF
'ice': AOEUS
'idea': KWR-D
'if': TP
'ignore': EUG/TPHOR
'imagine': PHAPBLG
'immediately': PHAOELD
'important': PORPB
'in': TPH
'inside': TPH-DZ
'instead': STPHED
'interest': TR
'interrupt': SPWRUPT
'into': TPHAO
'is': S
'isn't': S-PBT
'it': T
'it's': T-S
'its': EUTS
'jacket': SKWRABGT
'jeans': SKWRAEPBS
'jerk': SKWRERBG
'job': SKWROB
'join': SKWROEUPB
'joke': SKWROEBG
'jump': SKWRUFRP
'just': SKWRUFT
'keep': KAOEP
'kept': KEPT
'key': KAOE
'kick': KEUBG
'kid': KEUD
'kill': KEUL
'kind': KEUPBD
'kiss': KEUS
'kitchen': K-FP
'knee': TPHAOE
'knew': TPHAOU
'knock': TPHOBG
'know': TPHOE
'known': TPHOEPB
'lady': HRA*ED
'land': HRAPBD
'large': HRARPBLG
'last': HRAFT
'late': HRAEUT
'laugh': HRAF
'lay': HRAEU
'lead': HRAED
'lean': HRAOEPB
'learn': HRERPB
'least': HRAOEFT
'leave': HREF
'led': HRED
'left': HREFT
'leg': HREG
'less': HRES
'let': HRET
'letter': HRERT
'lie': HRAOEU
'life': HRAOEUF
'lift': HREUFT
'light': HRAOEUT
'like': HRAOEUBG
'line': HRAOEUPB
'lip': HREUP
'listen': HREUFPB
'little': HREUL
'live': HREUF
'lock': HROBG
'locker': HROBG/*ER
'long': HROPBG
'look': HRAOBG
'lose': HRUZ
'lost': HRO*S
'lot': HROT
'loud': HROUD
'love': HRUF
'low': HROE
'lunch': HRUPBS
'mad': PHAD
'made': PHAED
'make': PHAEUBG
'man': PHAPB
'manage': PHAPBG
'many': PHAEPB
'mark': PHARBG
'marry': PHAER
'match': PHAFP
'matter': PHAERT
'may': PHAE
'maybe': PHAEB
'me': PHE
'mean': PHAOEPB
'meant': PHEPBT
'meet': PHAOET
'memory': PHOEURPL
'men': PHEPB
'mention': PHEPBGS
'met': PHET
'middle': PH*EULD
'might': PHAOEUT
'mind': PHAOEUPBD
'mine': PHAOEUPB
'minute': PHEUPB
'mirror': PHROR
'miss': PHEUS
'mom': PHOPL
'moment': PHOEPLT
'money': PHUPB
'month': PHO*PBT
'mood': PHAOD
'more': PHOR
'morning': PHORPBG
'most': PHOFT
'mother': PHOER
'mouth': PHO*UT
'move': PHOF
'movie': PHOEF
'much': PHUFP
'mum': PHUPL
'mumble': PHUPL/-BL
'music': PHAOUFBG
'must': PHUFT
'mutter': PHUT/*ER
'my': PHEU
'myself': PHAO*EUS
'name': TPHAEUPL
'near': TPHAOER
'nearly': TPHAOERL
'neck': TPHEBG
'need': TPHAOED
'nervous': TPHEFRS
'never': TPHEFR
'new': TPHU
'next': TPHEGT
'nice': TPHAOEUS
'night': TPHAOEUT
'no': TPHO
'nod': TPHOD
'noise': TPHOEUS
'none': TPHOPB
'normal': TPHOL
'nose': TPHOES
'not': TPHOT
'note': TPHOET
'nothing': TPHOG
'notice': TPH-TS
'now': TPHOU
'number': TPHUPL
'obviously': OBL
'of': -F
'off': OF
'offer': OFR
'office': OFS
'often': OFPB
'oh': O*ERBGS
'okay': OBG
'old': OLD
'on': OPB
'once': WUPBS
'one': WUPB
'only': OEPBL
'onto': OEPBT
'open': OEP
'or': OR
'order': ORD
'other': OER
'our': OUR
'out': OUT
'outside': OUDZ
'over': OEFR
'own': OEPB
'pack': PABG
'pain': PAEUPB
'paint': PAEUPBT
'pair': PAEUR
'pants': PAPBTS
'paper': PAEUP
'parents': PARPBTS
'park': PARBG
'part': PART
'party': PAERT
'pass': PAS
'past': PAFT
'pause': PAUS
'pay': PAEU
'people': PAOEPL
'perfect': P-F
'perhaps': PRAPS
'person': PERPB
'phone': TPOEPB
'pick': PEUBG
'picture': P*EUFP
'piece': PAOES
'pink': P*EUPBG
'piss': PEUS
'place': PHRAEUS
'plan': PHRAPB
'play': PHRAEU
'please': PHRES
'pocket': POBGT
'point': POEUPBT
'police': PHREUS
'pop': POP
'position': POGS
'possible': POB
'power': POUR
'practically': PRABGT/HREU
'present': PREPBT
'press': PRES
'pretend': PRE/TEPBD
'pretty': PREUT
'probably': PROBL
'problem': PRO*B
'promise': PROPLS
'pull': PUL
'punch': PUFRPB
'push': PURB
'put': PUT
'question': KWE
'quick': KWEUBG
'quickly': KWEULG
'quiet': KWAO*EUT
'quietly': KWAO*EULT
'quite': KWAOEUT
'race': RAEUS
'rain': RAEUPB
'raise': RAEUZ
'ran': RAPB
'rang': RAPBG
'rather': RAER
'reach': RAOEFP
'read': RAED
'ready': R-D
'real': RAEL
'realize': RAEFL
'really': R-L
'reason': R-PB
'recognize': REZ
'red': RED
'relationship': R*EUP
'relax': RE/HRABGS
'remain': RAEUPL
'remember': RER
'remind': RAO*EUPBD
'repeat': RE/PAOET
'reply': RE/PHRAOEU
'respond': SPOPBD
'rest': REFT
'return': RURPB
'ride': RAOEUD
'right': RAOEUT
'ring': REUPBG
'road': RAOD
'rock': ROBG
'roll': ROL
'room': RAOPL
'rose': ROEZ
'round': ROUPBD
'rub': RUB
'run': RUPB
'rush': RURB
'sad': SAD
'safe': SAEUF
'said': SED
'same': SAEUPL
'sat': SAT
'save': SAF
'saw': SAU
'say': SAEU
'scare': SKAEUR
'school': SKAOL
'scream': SKRAOEPL
'search': SEFRPB
'seat': SAOET
'second': SEBGD
'see': SAOE
'seem': SAOEPL
'seen': SAOEPB
'self': S*EF
'send': SEPBD
'sense': SEPBS
'sent': SEPBT
'serious': SAOERS
'seriously': SAOERLS
'set': SET
'settle': SELT
'seven': SEFPB
'several': SEFRL
'shadow': SHOEUD
'shake': SHAEUBG
'share': SHAEUR
'she': SHE
'she'd': SHAOED
'she's': SHAOES
'shift': SHEUFT
'shirt': SHEURT
'shit': SHEUT
'shock': SHOBG
'shoe': SHAOU
'shook': SHAOBG
'shop': SHOP
'short': SHORT
'shot': SHOT
'should': SHO
'shoulder': SHOURLD
'shouldn't': SHOPBT
'shout': SHOUT
'shove': SHOF
'show': SHOE
'shower': SHOUR
'shrug': SHR*UG
'shut': SHUT
'sick': SEUBG
'side': SAOEUD
'sigh': SAOEU
'sight': SAOEUT
'sign': SAOEUPB
'silence': SHREPBS
'silent': SHREPBT
'simply': SAO*EPL
'since': SEUPBS
'single': SEUPBLG
'sir': SEUR
'sister': ST-R
'sit': SEUT
'situation': SEUFP
'six': SEUBGS
'skin': SKEUPB
'sky': SKAOEU
'slam': SHRAPL
'sleep': SHRAOEP
'slightly': SHRAOEULT
'slip': SHREUP
'slow': SHROE
'slowly': SHROEL
'small': SPHAL
'smell': SPHEL
'smile': SPHAOEUL
'smirk': SPHEURBG
'smoke': SPHOEBG
'snap': STPHAP
'so': SO
'soft': SOFT
'softly': SOFT/HREU
'some': SOPL
'somehow': SPHOU
'someone': SPH-PB
'something': S-G
'sometimes': STAOEUPLS
'somewhere': SWR
'son': SOPB
'song': SOPBG
'soon': SAOPB
'sorry': SOER
'sort': SORT
'sound': SOUPBD
'space': SPAEUS
'speak': SPAOEBG
'spend': SPEPBD
'spent': SPEPBT
'spoke': SPOEBG
'spot': SPOT
'stair': STAEUR
'stand': STAPBD
'star': STAR
'stare': STAER
'start': START
'State': STA*ET
'stay': STAEU
'step': STEP
'stick': STEUBG
'still': STEUL
'stomach': STUPL
'stood': STAOD
'stop': STOP
'store': STOR
'story': STOER
'straight': STRAEUT
'strange': STRAEUPBG
'street': STRAOET
'strong': STROPBG
'struggle': STRULG
'stuck': STUBG
'student': STAUPB
'study': STOEU
'stuff': STUF
'stupid': STAOUPD
'such': SUFP
'suck': SUBG
'sudden': SUD
'suddenly': SULD
'suggest': SUG
'summer': SAOURPL
'sun': SUPB
'suppose': SPOS
'sure': SHUR
'surprise': SPRAOEUS
'surround': SROUPBD
'sweet': SWAOET
'table': TAEUBL
'take': TAEUBG
'taken': TAEPB
'talk': TAUBG
'tall': TAUL
'teacher': TAO*EFP
'team': TAEPL
'tear': TAER
'teeth': TAO*ET
'tell': TEL
'ten': TEPB
'than': THAPB
'thank': THAPBG
'that': THA
'that's': THATS
'the': -T
'their': THAEUR
'them': THEPL
'themselves': TH*EPLS
'then': THEPB
'there': THR
'there's': THR-S
'these': THEZ
'they': THE
'they'd': THED
'they're': THER
'thick': THEUBG
'thing': THEUPBG
'think': THEU
'third': THEURD
'this': TH
'those': THOZ
'though': THOE
'thought': THAUT
'three': THRAOE
'threw': THRAOU
'throat': THROET
'through': THRU
'throw': THROE
'tie': TAOEU
'tight': TAOEUT
'time': TAOEUPL
'tiny': TOEUPB
'tire': TAOEUR
'to': TO
'today': TOED
'together': TOGT
'told': TOLD
'tomorrow': TORPL
'tone': TOEPB
'tongue': TUPBG
'tonight': TOPBT
'too': TAO
'took': TAOBG
'top': TOP
'totally': THROELT
'touch': TUFP
'toward': TORD
'town': TOUPB
'track': TRABG
'trail': TRAEUL
'train': TRAEUPB
'tree': TRAOE
'trip': TREUP
'trouble': TRUBL
'trust': TRUFT
'truth': TRAO*UT
'try': TREU
'turn': TURPB
'TV': T*F
'twenty': TWEPBT
'two': TWO
'type': TAOEUP
'uncle': UPB/K-L
'under': TPH-PB
'understand': URPBD
'until': TPH-L
'up': UP
'upon': POPB
'us': US
'use': AOUS
'usual': AOURB
'usually': AOURBL
'very': SRE
'visit': SREUFT
'voice': SROEUS
'wait': WAEUT
'wake': WAEUBG
'walk': WAUBG
'wall': WAUL
'want': WAPBT
'warm': WARPL
'warn': WARPB
'was': WAS
'wasn't': WAEPBT
'watch': WAFP
'water': WAUR
'wave': WAF
'way': WAEU
'we': WE
'we'll': WAOEL
'we're': WAOER
'we've': WAOEF
'wear': WAER
'week': WAOEBG
'weird': WAOERD
'well': WEL
'went': WEPBT
'were': WR
'weren't': WR-PBT
'wet': WET
'what': WHA
'what's': WHATS
'whatever': WHAF
'when': WHEPB
'where': W-R
'whether': WHR
'which': WEU
'while': WHAOEUL
'whisper': WEUS/PER
'white': WHAOEUT
'who': WHO
'whole': WHOEL
'why': KWR
'wide': WAOEUD
'wife': WAOEUF
'will': HR
'wind': WEUPBD
'window': WOEUPBD
'wipe': WAOEUP
'wish': WEURB
'with': W
'within': W-PB
'without': WOUT
'woke': WOEBG
'woman': WOPL
'women': WEUPL
'won't': WOEPBT
'wonder': WOPBD
'wood': WAOD
'word': WORD
'wore': WOR
'work': WORBG
'world': WORLD
'worry': WOER
'worse': WORS
'would': WO
'wouldn't': WOPBT
'wow': WO*U
'wrap': WRAP
'write': WREU
'wrong': WROPBG
'yeah': KWR*E
'year': KWRAOER
'yell': KWREL
'yes': KWRE
'yet': KWRET
'you': U
'you'd': UD
'you'll': UL
'you're': UR
'you've': UF
'young': KWRUPBG
'your': KWROUR
'yourself': KWRO*URS
'true': TRAOU
