The Races
'entirely': SPWAOEURL
'to': TO
'the': -T
'race,': RAEUS/KW-BG
'and': SKP
'ran': RAPB
'with': W
'his': HEUS
'house': HOUS
'on': OPB
'his': HEUS
'back,': PWABG/KW-BG
'which': WEU
'was': WAS
'all,': AUL/KW-BG
'of': -F
'course,': KORS/KW-BG
'very': SRE
'praiseworthy;': PRAEUS/TK-LS/WO*RT/KWREU/STPH*FPLT
'and': SKP
'therefore': TH-FR
'he': HE
'obtained': OB/TAEUPBD
'the': -T
'second': SEBGD
'prize."': PRAOEUZ/TP-PL/KR-GS
'"I': KW-GS/EU
'think': THEU
'I': EU
'ought': OT
'to': TO
'have': SR
'had': H
'some': SOPL
'consideration': K-RGS
'too,"': TAO/KW-BG/KR-GS
'said': SED
'the': -T
'swallow.': SWAL/TP-PL
'"I': KW-GS/EU
'should': SHO
'imagine': PHAPBLG
'no': TPHO
'one': WUPB
'can': K
'be': -B
'swifter': SWEUF/TER
'in': TPH
'soaring': SAORG
'and': SKP
'flight': TPHRAOEUT
'than': THAPB
'I': EU
'am;': APL/STPH*FPLT
'and': SKP
'how': HOU
'far': TPAR
'I': EU
'have': SR
'been!': PW-PB/SKHRAPL
'far,': TPAR/KW-BG
'far': TPAR
'away."': WA*EU/TP-PL/KR-GS
'"Yes,': KW-GS/KPA*/KWRE/KW-BG
'that': THA
'is': S
'your': KWROUR
'misfortune,"': PHEUZ/TP-RPB/KW-BG/KR-GS
'said': SED
'the': -T
'fence-rail;': TPEPBS/H-PB/RAEUL/STPH*FPLT
'"you': KW-GS/U
'are': R
'so': SO
'fickle,': TPEUBG/*L/KW-BG
'so': SO
'unsettled;': UPB/SELTD/STPH*FPLT
'you': U
'must': PHUFT
'always': AULS
'be': -B
'travelling': TRAFL/HREUPBG
'about': PW
'into': TPHAO
'foreign': TPOERPB
'lands': HRAPBDZ
'when': WHEPB
'the': -T
'cold': KOELD
'commences': KPHEPBS/-S
'here.': HAOER/TP-PL
'You': KPA/U
'have': SR
'no': TPHO
'love': HRUF
'of': -F
'fatherland': TPAER/HRA*PBD
'in': TPH
'you.': U/TP-PL
'There': KPA/THR
'can': K
'be': -B
'no': TPHO
'consideration': K-RGS
'for': TPOR
'you."': U/TP-PL/KR-GS
'"But': KW-GS/KPA*/PWUT
'now,': TPHOURBGS
'if': TP
'I': EU
'have': SR
'been': PW-PB
'lying': HRAOEUG
'the': -T
'whole': WHOEL
'winter': WEURPBT
'in': TPH
'the': -T
'moor,"': PHO*R/KW-BG/KR-GS
'said': SED
'the': -T
'swallow,': SWAL/KW-BG
'"and': KW-GS/SKP
'suppose': SPOS
'I': EU
'slept': SHREPT
'the': -T
'whole': WHOEL
'time,': TAOEUPL/KW-BG
'would': WO
'that': THA
'be': -B
'taken': TAEPB
'into': TPHAO
'account?"': K-T/H-F/KR-GS
'"Bring': KW-GS/KPA*/PWREU
'a': AEU
'certificate': SER
'from': TPR
'the': -T
'old': OLD
'moor-hen,"': PHO*R/H-PB/HEPB/KW-BG/KR-GS
'said': SED
'he,': HE/KW-BG
'"that': KW-GS/THA
'you': U
'have': SR
'slept': SHREPT
'away': WA*EU
'half': HAF
'your': KWROUR
'time': TAOEUPL
'in': TPH
'fatherland;': TPAER/HRA*PBD/STPH*FPLT
'then': THEPB
'you': U
'will': HR
'be': -B
'treated': TRAOETD
'with': W
'some': SOPL
'consideration."': K-RGS/TP-PL/KR-GS
'"I': KW-GS/EU
'deserved': TKAOE/SER/-FD
'the': -T
'first': TPEUFRT
'prize,': PRAOEUZ/KW-BG
'and': SKP
'not': TPHOT
'the': -T
'second,"': SEBGD/KW-BG/KR-GS
'said': SED
'the': -T
'snail.': STPHAEUL/TP-PL
'"I': KW-GS/EU
'know': TPHOE
'so': SO
'much,': PHUFP/KW-BG
'at': AT
'least,': HRAOEFT/KW-BG
'that': THA
'the': -T
'hare': HA*ER
'only': OEPBL
'ran': RAPB
'from': TPR
'cowardice,': KOURD/EUS/KW-BG
'and': SKP
'because': PWAU
'he': HE
'thought': THAUT
'there': THR
'was': WAS
'danger': TKAEUPBLG
'in': TPH
'delay.': TKHRAEU/TP-PL
'I,': EU/KW-BG
'on': OPB
'the': -T
'other': OER
'hand,': HAPBD/KW-BG
'made': PHAED
'running': R*UPBG
'the': -T
'business': PWEUS
'of': -F
'my': PHEU
'life,': HRAOEUF/KW-BG
'and': SKP
'have': SR
'become': PW-BG
'a': AEU
'cripple': KREUPL
'in': TPH
'the': -T
'service.': S-FS/TP-PL
'If': KPA/TP
'any': TPHEU
'one': WUPB
'had': H
'a': AEU
'first': TPEUFRT
'prize,': PRAOEUZ/KW-BG
'it': T
'ought': OT
'to': TO
'have': SR
'been': PW-PB
'myself.': PHAO*EUS/TP-PL
'But': KPA/PWUT
'I': EU
'do': TKO
'not': TPHOT
'understand': URPBD
'chattering': KHAERGT
'and': SKP
'boasting;': PWOEFT/-G/STPH*FPLT
'on': OPB
'the': -T
'contrary,': KRAER/KW-BG
'I': EU
'despise': STKPAOEUZ
'it."': T/TP-PL/KR-GS
'And': AFPBD
'the': -T
'snail': STPHAEUL
'spat': SPAT
'at': AT
'them': THEPL
'with': W
'contempt.': KAUPB/TEPLT/TP-PL
'"I': KW-GS/EU
'am': APL
'able': ABL
'to': TO
'affirm': A/TPEURPL
'with': W
'word': WORD
'of': -F
'oath,': O*ET/KW-BG
'that': THA
'each': AOEFP
'prize—at': PRAOEUZ/EPL/TKA*RB/AT
'least,': HRAOEFT/KW-BG
'those': THOZ
'for': TPOR
'which': WEU
'I': EU
'voted—was': SROETD/EPL/TKA*RB/WAS
'given': TKPWEUFPB
'with': W
'just': SKWRUFT
'and': SKP
'proper': PROR
'consideration,"': K-RGS/KW-BG/KR-GS
'said': SED
'the': -T
'old': OLD
'boundary': PWOUPBD/AER
'post': POEFT
'in': TPH
'the': -T
'wood,': WAOD/KW-BG
'who': WHO
'was': WAS
'a': AEU
'member': PHEB
'of': -F
'the': -T
'committee': KPHAOE
'of': -F
'judges.': SKWRUPBLGS/TP-PL
'"I': KW-GS/EU
'always': AULS
'act': ABGT
'with': W
'due': TKAOU
'order,': ORD/KW-BG
'consideration,': K-RGS/KW-BG
'and': SKP
'calculation.': KHRAEUGS/TP-PL
'Seven': KPA/SEFPB
'times': TAOEUPLS
'have': SR
'I': EU
'already': HR-R
'had': H
'the': -T
'honor': HO*RPB
'to': TO
'be': -B
'present': PREPBT
'at': AT
'the': -T
'distribution': TKR-BGS
'of': -F
'the': -T
'prizes,': PRAOEUZ/-Z/KW-BG
'and': SKP
'to': TO
'vote;': SROET/STPH*FPLT
'but': PWUT
'to-day': TO/TKA*EU
'is': S
'the': -T
'first': TPEUFRT
'time': TAOEUPL
'I': EU
'have': SR
'been': PW-PB
'able': ABL
'to': TO
'carry': KAER
'out': OUT
'my': PHEU
'will.': HR/TP-PL
'I': EU
'always': AULS
'reckon': REBG/-PB
'the': -T
'first': TPEUFRT
'prize': PRAOEUZ
'by': PWEU
'going': TKPW-G
'through': THRU
'the': -T
'alphabet': AFL/PWET
'from': TPR
'the': -T
'beginning,': TKPWEUPB/-G/KW-BG
'and': SKP
'the': -T
'second': SEBGD
'by': PWEU
'going': TKPW-G
'through': THRU
'from': TPR
'the': -T
'end.': EPBD/TP-PL
'Be': KPA/-B
'so': SO
'kind': KEUPBD
'as': AS
'to': TO
'give': TKPWEUF
'me': PHE
'your': KWROUR
'attention,': TAEPBGS/KW-BG
'and': SKP
'I': EU
'will': HR
'explain': SPHRAEUPB
'to': TO
'you': U
'how': HOU
'I': EU
'reckon': REBG/-PB
'from': TPR
'the': -T
'beginning.': TKPWEUPB/-G/TP-PL
'The': KPA/-T
'eighth': A*ET
'letter': HRERT
'from': TPR
'A': KPA/AEU
'is': S
'H,': H*P/KW-BG
'and': SKP
'there': THR
'we': WE
'have': SR
'H': H*P
'for': TPOR
'hare;': HA*ER/STPH*FPLT
'therefore': TH-FR
'I': EU
'awarded': A/WARD/-D
'to': TO
'the': -T
'hare': HA*ER
'the': -T
'first': TPEUFRT
'prize.': PRAOEUZ/TP-PL
'The': KPA/-T
'eighth': A*ET
'letter': HRERT
'from': TPR
'the': -T
'end': EPBD
'of': -F
'the': -T
'alphabet': AFL/PWET
'is': S
'S,': S*P/KW-BG
'and': SKP
'therefore': TH-FR
'the': -T
'snail': STPHAEUL
'received': SAOEFD
'the': -T
'second': SEBGD
'prize.': PRAOEUZ/TP-PL
'Next': KPA/TPHEGT
'year,': KWRAOERBGS
'the': -T
'letter': HRERT
'I': EU
'will': HR
'have': SR
'its': EUTS
'turn': TURPB
'for': TPOR
'the': -T
'first': TPEUFRT
'prize,': PRAOEUZ/KW-BG
'and': SKP
'the': -T
'letter': HRERT
'R': R*P
'for': TPOR
'the': -T
'second."': SEBGD/TP-PL/KR-GS
'"I': KW-GS/EU
'should': SHO
'really': R-L
'have': SR
'voted': SROETD
'for': TPOR
'myself,"': PHAO*EUS/KW-BG/KR-GS
'said': SED
'the': -T
'mule,': PHAOUL/KW-BG
'"if': KW-GS/TP
'I': EU
'had': H
'not': TPHOT
'been': PW-PB
'one': WUPB
'of': -F
'the': -T
'judges': SKWRUPBLGS
'on': OPB
'the': -T
'committee.': KPHAOE/TP-PL
'Not': KPA/TPHOT
'only': OEPBL
'the': -T
'rapidity': RAPD/TEU
'with': W
'which': WEU
'advance': SRAPBS
'is': S
'made,': PHAED/KW-BG
'but': PWUT
'every': EF
'other': OER
'quality': KWALT
'should': SHO
'have': SR
'due': TKAOU
'consideration;': K-RGS/STPH*FPLT
'as,': AS/KW-BG
'for': TPOR
'instance,': STPHAPBS/KW-BG
'how': HOU
'much': PHUFP
'weight': WAET
'a': AEU
'candidate': KAPBD/TKAT
'is': S
'able': ABL
'to': TO
'draw;': TKRAU/STPH*FPLT
'but': PWUT
'I': EU
'have': SR
'not': TPHOT
'brought': PWRAUT
'this': TH
'quality': KWALT
'forward': TPAORD
'now,': TPHOURBGS
'nor': TPH-R
'the': -T
'sagacity': STKPWAS/TEU
'of': -F
'the': -T
'hare': HA*ER
'in': TPH
'his': HEUS
'flight,': TPHRAOEUT/KW-BG
'nor': TPH-R
'the': -T
'cunning': KUPBG
'with': W
'which': WEU
'he': HE
'suddenly': SULD
'springs': SPREUPBGS
'aside': A/SAOEUD
'and': SKP
'doubles,': TKUBLS/KW-BG
'to': TO
'lead': HRAED
'people': PAOEPL
'on': OPB
'a': AEU
'false': TPALS
'track,': TRABG/KW-BG
'thinking': THEUG
'he': HE
'has': HAS
'concealed': KAUPB/SAOELD
'himself.': HEUPLS/TP-PL
'No;': KPA/TPHO/STPH*FPLT
'there': THR
'is': S
'something': S-G
'else': ELS
'on': OPB
'which': WEU
'more': PHOR
'stress': STRES
'should': SHO
'be': -B
'laid,': HRAEUD/KW-BG
'and': SKP
'which': WEU
'ought': OT
'not': TPHOT
'be': -B
'left': HREFT
'unnoticed.': UPB/TPH-TS/-D/TP-PL
'I': EU
'mean': PHAOEPB
'that': THA
'which': WEU
'mankind': PHAPB/KAOEUPBD
'call': KAUL
'the': -T
'beautiful.': PWAOUFL/TP-PL
'It': KPA/T
'is': S
'on': OPB
'the': -T
'beautiful': PWAOUFL
'that': THA
'I': EU
'particularly': PHRARL
'fix': TPEUBGS
'my': PHEU
'eyes.': AO*EUS/TP-PL
'I': EU
'observed': OEBD
'the': -T
'well-grown': W*EL/TKPWROEPB
'ears': AOERS
'of': -F
'the': -T
'hare;': HA*ER/STPH*FPLT
'it': T
'is': S
'a': AEU
'pleasure': PHRERB
'to': TO
'me': PHE
'to': TO
'observe': OEB
'how': HOU
'long': HROPBG
'they': THE
'are.': R/TP-PL
'It': KPA/T
'seemed': SAOEPLD
'as': AS
'if': TP
'I': EU
'saw': SAU
'myself': PHAO*EUS
'again': TKPWEPB
'in': TPH
'the': -T
'days': TKAEUS
'of': -F
'my': PHEU
'childhood;': KHAOEULD/H*D/STPH*FPLT
'and': SKP
'so': SO
'I': EU
'voted': SROETD
'for': TPOR
'the': -T
'hare."': HA*ER/TP-PL/KR-GS
'"Buz,"': KW-GS/PW*P/*U/STKPW*/KW-BG/KR-GS
'said': SED
'the': -T
'fly;': TPHRAOEU/STPH*FPLT
'"there,': KW-GS/THR-RBGS
'I'm': AOEUPL
'not': TPHOT
'going': TKPW-G
'to': TO
'make': PHAEUBG
'a': AEU
'long': HROPBG
'speech;': SPAOEFP/STPH*FPLT
'but': PWUT
'I': EU
'wish': WEURB
'to': TO
'say': SAEU
'something': S-G
'about': PW
'hares.': HA*ER/-S/TP-PL
'I': EU
'have': SR
'really': R-L
'overtaken': AUFR/TAEPB
'more': PHOR
'than': THAPB
'one': WUPB
'hare,': HA*ER/KW-BG
'when': WHEPB
'I': EU
'have': SR
'been': PW-PB
'seated': SAOETD
'on': OPB
'the': -T
'engine': TPH-PBLG
'in': TPH
'front': TPROPBT
'of': -F
'a': AEU
'railway': RAEUL/WAEU
'train.': TRAEUPB/TP-PL
'I': EU
'often': OFPB
'do': TKO
'so.': SO/TP-PL
'One': KPA/WUPB
'can': K
'then': THEPB
'so': SO
'easily': AOELS
'judge': SKWRUPBLG
'of': -F
'one's': W*UPBS
'own': OEPB
'swiftness.': SWEUFT/-PBS/TP-PL
'Not': KPA/TPHOT
'long': HROPBG
'ago,': AG/KW-BG
'I': EU
'crushed': KRURBD
'the': -T
'hind': HAOEUPBD
'legs': HREGS
'of': -F
'a': AEU
'young': KWRUPBG
'hare.': HA*ER/TP-PL
'He': KPA/HE
'had': H
'been': PW-PB
'running': R*UPBG
'a': AEU
'long': HROPBG
'time': TAOEUPL
'before': PW-FR
'the': -T
'engine;': TPH-PBLG/STPH*FPLT
'he': HE
'had': H
'no': TPHO
'idea': KWR-D
'that': THA
'I': EU
'was': WAS
'travelling': TRAFL/HREUPBG
'there.': THR/TP-PL
'At': KPA/AT
'last': HRAFT
'he': HE
'had': H
'to': TO
'stop': STOP
'in': TPH
'his': HEUS
'career,': KRAOER/KW-BG
'and': SKP
'the': -T
'engine': TPH-PBLG
'ran': RAPB
'over': OEFR
'his': HEUS
'hind': HAOEUPBD
'legs,': HREGS/KW-BG
'and': SKP
'crushed': KRURBD
'them;': THEPL/STPH*FPLT
'for': TPOR
'I': EU
'set': SET
'upon': POPB
'it.': T/TP-PL
'I': EU
'left': HREFT
'him': HEUPL
'lying': HRAOEUG
'there,': THR-RBGS
'and': SKP
'rode': ROED
'on': OPB
'farther.': TPA*RT/TP-PL
'I': EU
'call': KAUL
'that': THA
'conquering': KO*PBG/REUPBG
'him;': HEUPL/STPH*FPLT
'but': PWUT
'I': EU
'do': TKO
'not': TPHOT
'want': WAPBT
'the': -T
'prize."': PRAOEUZ/TP-PL/KR-GS
'"It': KW-GS/KPA*/T
'really': R-L
'seems': SAOEPLS
'to': TO
'me,"': PHE/KW-BG/KR-GS
'thought': THAUT
'the': -T
'wild': WAOEULD
'rose,': ROEZ/KW-BG
'though': THOE
'she': SHE
'did': TK
'not': TPHOT
'express': EBGS/PRES
'her': HER
'opinion': P-PB
'aloud—it': A/HROUD/EPL/TKA*RB/T
'is': S
'not': TPHOT
'in': TPH
'her': HER
'nature': TPHAEURT
'to': TO
'do': TKO
'so,—though': SO/KW-BG/EPL/TKA*RB/THOE
'it': T
'would': WO
'have': SR
'been': PW-PB
'quite': KWAOEUT
'as': AS
'well': WEL
'if': TP
'she': SHE
'had;': H/STPH*FPLT
'"it': KW-GS/T
'certainly': SERPBL
'seems': SAOEPLS
'to': TO
'me': PHE
'that': THA
'the': -T
'sunbeam': SUPB/PWAOEPL
'ought': OT
'to': TO
'have': SR
'had': H
'the': -T
'honor': HO*RPB
'of': -F
'receiving': SAOEFG
'the': -T
'first': TPEUFRT
'prize.': PRAOEUZ/TP-PL
'The': KPA/-T
'sunbeam': SUPB/PWAOEPL
'flies': TPHRAOEUS
'in': TPH
'a': AEU
'few': TPAOU
'minutes': PHEUPBS
'along': HRAOPBG
'the': -T
'immeasurable': *EUPL/PHEBL
'path': PA*T
'from': TPR
'the': -T
'sun': SUPB
'to': TO
'us.': US/TP-PL
'It': KPA/T
'arrives': A/RAOEUFS
'in': TPH
'such': SUFP
'strength,': STREPBG/KW-BG
'that': THA
'all': AUL
'nature': TPHAEURT
'awakes': A/WAEUBGS
'to': TO
'loveliness': HROFL/-PBS
'and': SKP
'beauty;': PWAOUT/STPH*FPLT
'we': WE
'roses': ROES/-S
'blush': PWHRURB
'and': SKP
'exhale': KPAEUL
'fragrance': TPRAEUG/RAPBS
'in': TPH
'its': EUTS
'presence.': PREPBS/TP-PL
'Our': KPA/OUR
'worshipful': WOR/SH-P/-FL
'judges': SKWRUPBLGS
'don't': TKOEPBT
'appear': A/PAOER
'to': TO
'have': SR
'noticed': TPH-TS/-D
'this': TH
'at': AT
'all.': AUL/TP-PL
'Were': KPA/WR
'I': EU
'the': -T
'sunbeam,': SUPB/PWAOEPL/KW-BG
'I': EU
'would': WO
'give': TKPWEUF
'each': AOEFP
'one': WUPB
'of': -F
'them': THEPL
'a': AEU
'sun': SUPB
'stroke;': STROBG/STPH*FPLT
'but': PWUT
'that': THA
'would': WO
'only': OEPBL
'make': PHAEUBG
'them': THEPL
'mad,': PHAD/KW-BG
'and': SKP
'they': THE
'are': R
'mad': PHAD
'enough': TPHUF
'already.': HR-R/TP-PL
'I': EU
'only': OEPBL
'hope,"': HOEP/KW-BG/KR-GS
'continued': T-PBD
'the': -T
'rose,': ROEZ/KW-BG
'"that': KW-GS/THA
'peace': PAES
'may': PHAE
'reign': RAEPB
'in': TPH
'the': -T
'wood.': WAOD/TP-PL
'It': KPA/T
'is': S
'glorious': TKPWHRORS
'to': TO
'bloom,': PWHRAOPL/KW-BG
'to': TO
'be': -B
'fragrant,': TPRAEUG/RAPBT/KW-BG
'and': SKP
'to': TO
'live;': HREUF/STPH*FPLT
'to': TO
'live': HREUF
'in': TPH
'story': STOER
'and': SKP
'in': TPH
'song.': SOPBG/TP-PL
'The': KPA/-T
'sunbeam': SUPB/PWAOEPL
'will': HR
'outlive': AUT/HREUF
'us': US
'all."': AUL/TP-PL/KR-GS
'"What': KW-GS/KPA*/WHA
'is': S
'the': -T
'first': TPEUFRT
'prize?"': PRAOEUZ/H-F/KR-GS
'asked': SK-D
'the': -T
'earthworm,': *ERT/WORPL/KW-BG
'who': WHO
'had': H
'overslept': AUFR/SHREPT
'the': -T
'time,': TAOEUPL/KW-BG
'and': SKP
'only': OEPBL
'now': TPHOU
'came': KAEUPL
'up.': UP/TP-PL
'"It': KW-GS/KPA*/T
'contains': KAUPB/TAEUPBS
'a': AEU
'free': TPRAOE
'admission': AD/PHEUGS
'to': TO
'a': AEU
'cabbage-garden,"': KAB/APBLG/H-PB/TKPWA*RPB/KW-BG/KR-GS
'replied': RE/PHRAOEUD
'the': -T
'mule.': PHAOUL/TP-PL
'"I': KW-GS/EU
'proposed': PROEPD
'that': THA
'as': AS
'one': WUPB
'of': -F
'the': -T
'prizes.': PRAOEUZ/-Z/TP-PL
'The': KPA/-T
'hare': HA*ER
'most': PHOFT
'decidedly': STKAOEUD/-D/HREU
'must': PHUFT
'have': SR
'it;': T/STPH*FPLT
'and': SKP
'I,': EU/KW-BG
'as': AS
'an': APB
'active': TAEF
'and': SKP
'thoughtful': THAUFL
'member': PHEB
'of': -F
'the': -T
'committee,': KPHAOE/KW-BG
'took': TAOBG
'especial': ES/PERBL
'care': KAEUR
'that': THA
'the': -T
'prize': PRAOEUZ
'should': SHO
'be': -B
'one': WUPB
'of': -F
'advantage': SRAPBG
'to': TO
'him;': HEUPL/STPH*FPLT
'so': SO
'now': TPHOU
'he': HE
'is': S
'provided': PROE/SRAOEUD/-D
'for.': TPOR/TP-PL
'The': KPA/-T
'snail': STPHAEUL
'can': K
'now': TPHOU
'sit': SEUT
'on': OPB
'the': -T
'fence,': TPEPBS/KW-BG
'and': SKP
'lick': HREUBG
'up': UP
'moss': PHOS
'and': SKP
'sunshine.': SUPB/SHAO*EUPB/TP-PL
'He': KPA/HE
'has': HAS
'also': HR-S
'been': PW-PB
'appointed': POEUPBD
'one': WUPB
'of': -F
'the': -T
'first': TPEUFRT
'judges': SKWRUPBLGS
'of': -F
'swiftness': SWEUFT/-PBS
'in': TPH
'racing.': RAEFG/TP-PL
'It': KPA/T
'is': S
'worth': WO*RT
'much': PHUFP
'to': TO
'know': TPHOE
'that': THA
'one': WUPB
'of': -F
'the': -T
'numbers': TPHUPLS
'is': S
'a': AEU
'man': PHAPB
'of': -F
'talent': THREPBT
'in': TPH
'the': -T
'thing': THEUPBG
'men': PHEPB
'call': KAUL
'a': AEU
''committee.'': A*E/KPHAOE/TP-PL/AE
'I': EU
'must': PHUFT
'say': SAEU
'I': EU
'expect': KP-PT
'much': PHUFP
'in': TPH
'the': -T
'future;': TPAOURT/STPH*FPLT
'we': WE
'have': SR
'already': HR-R
'made': PHAED
'such': SUFP
'a': AEU
'good': TKPWAOD
'beginning."': TKPWEUPB/-G/TP-PL/KR-GS
