The Loveliest Rose in the World

'There': KPA/THR
'still': STEUL
'one': WUPB
'thing': THEUPBG
'that': THA
'could': KO
'save': SAF
'her,"': HER/KW-BG/KR-GS
'said': SED
'one': WUPB
'of': -F
'the': -T
'wisest': WAOEUZ/*ES
'among': PHOPBG
'them.': THEPL/TP-PL
'"Bring': KW-GS/KPA*/PWREU
'her': HER
'the': -T
'loveliest': HROFL/KWREFT
'rose': ROEZ
'in': TPH
'the': -T
'world;': WORLD/STPH*FPLT
'one': WUPB
'which': WEU
'exhibits': KHEUBTS
'the': -T
'purest': PAOUR/EFT
'and': SKP
'brightest': PWRAOEUT/EFT
'love,': HRUF/KW-BG
'and': SKP
'if': TP
'it': T
'is': S
'brought': PWRAUT
'to': TO
'her': HER
'before': PW-FR
'her': HER
'eyes': AO*EUS
'close,': KHROES/KW-BG
'she': SHE
'will': HR
'not': TPHOT
'die."': TKAOEU/TP-PL/KR-GS
'Then': KPA/THEPB
'from': TPR
'all': AUL
'parts': PARTS
'came': KAEUPL
'those': THOZ
'who': WHO
'brought': PWRAUT
'roses': ROES/-S
'that': THA
'bloomed': PWHRAOPL/-D
'in': TPH
'every': EF
'garden,': TKPWA*RPB/KW-BG
'but': PWUT
'they': THE
'were': WR
'not': TPHOT
'the': -T
'right': RAOEUT
'sort.': SORT/TP-PL
'The': KPA/-T
'flower': TPHRO*UR
'must': PHUFT
'be': -B
'one': WUPB
'from': TPR
'the': -T
'garden': TKPWA*RPB
'of': -F
'love;': HRUF/STPH*FPLT
'but': PWUT
'which': WEU
'of': -F
'the': -T
'roses': ROES/-S
'there': THR
'showed': SHOED
'forth': TPO*RT
'the': -T
'highest': HAOEU/EFT
'and': SKP
'purest': PAOUR/EFT
'love?': HRUF/H-F
'The': KPA/-T
'poets': POETS
'sang': SAPBG
'of': -F
'this': TH
'rose,': ROEZ/KW-BG
'the': -T
'loveliest': HROFL/KWREFT
'in': TPH
'the': -T
'world,': WORLD/KW-BG
'and': SKP
'each': AOEFP
'named': TPHAEUPLD
'one': WUPB
'which': WEU
'he': HE
'considered': KR-D
'worthy': WO*RT/KWREU
'of': -F
'that': THA
'title;': TAOEULT/STPH*FPLT
'and': SKP
'intelligence': SPWEPBLGS
'of': -F
'what': WHA
'was': WAS
'required': RAOEURD
'was': WAS
'sent': SEPBT
'far': TPAR
'and': SKP
'wide': WAOEUD
'to': TO
'every': EF
'heart': HART
'that': THA
'beat': PWAET
'with': W
'love;': HRUF/STPH*FPLT
'to': TO
'every': EF
'class,': KHRAS/KW-BG
'age,': AEUPBLG/KW-BG
'and': SKP
'condition.': K-PB/TP-PL
'"No': KW-GS/KPA*/TPHO
'one': WUPB
'has': HAS
'yet': KWRET
'named': TPHAEUPLD
'the': -T
'flower,"': TPHRO*UR/KW-BG/KR-GS
'said': SED
'the': -T
'wise': WAOEUS
'man.': PHAPB/TP-PL
'"No': KW-GS/KPA*/TPHO
'one': WUPB
'has': HAS
'pointed': POEUPBTD
'out': OUT
'the': -T
'spot': SPOT
'where': W-R
'it': T
'blooms': PWHRAOPL/-S
'in': TPH
'all': AUL
'its': EUTS
'splendor.': SPHREPBD/O*R/TP-PL
'It': KPA/T
'is': S
'not': TPHOT
'a': AEU
'rose': ROEZ
'from': TPR
'the': -T
'coffin': KOFPB
'of': -F
'Romeo': ROEPL/KWROE
'and': SKP
'Juliet,': SKWRAOUL/ET/KW-BG
'or': OR
'from': TPR
'the': -T
'grave': TKPWRAEUF
'of': -F
'Walburg,': W*P/A*L/PW*URG/KW-BG
'though': THOE
'these': THEZ
'roses': ROES/-S
'will': HR
'live': HREUF
'in': TPH
'everlasting': *FR/HRAFT/-G
'song.': SOPBG/TP-PL
'It': KPA/T
'is': S
'not': TPHOT
'one': WUPB
'of': -F
'the': -T
'roses': ROES/-S
'which': WEU
'sprouted': SPROUT/-D
'forth': TPO*RT
'from': TPR
'the': -T
'blood-stained': PWHRAOD/H-PB/STAEUPBD
'fame': TPAEUPL
'of': -F
'Winkelreid.': W*P/*EU/TPH*/K*/*E/HR*/R*/*E/*EU/TK*/TP-PL
'The': KPA/-T
'blood': PWHRAOD
'which': WEU
'flows': TPHROES
'from': TPR
'the': -T
'breast': PWREFT
'of': -F
'a': AEU
'hero': HOEUR
'who': WHO
'dies': TKAOEUZ
'for': TPOR
'his': HEUS
'country': KREU
'is': S
'sacred,': SKRED/KW-BG
'and': SKP
'his': HEUS
'memory': PHOEURPL
'is': S
'sweet,': SWAOET/KW-BG
'and': SKP
'no': TPHO
'rose': ROEZ
'can': K
'be': -B
'redder': RED/ER
'than': THAPB
'the': -T
'blood': PWHRAOD
'which': WEU
'flows': TPHROES
'from': TPR
'his': HEUS
'veins.': SRAEUPBS/TP-PL
'Neither': KPA/TPHAOERT
'is': S
'it': T
'the': -T
'magic': PHAPBLG/EUBG
'flower': TPHRO*UR
'of': -F
'Science,': KPA/SKRAOEUPBS/KW-BG
'to': TO
'obtain': OB/TAEUPB
'which': WEU
'wondrous': WOPBD/ROUS
'flower': TPHRO*UR
'a': AEU
'man': PHAPB
'devotes': TKWOETS
'many': PHAEPB
'an': APB
'hour': HOUR
'of': -F
'his': HEUS
'fresh': TPRERB
'young': KWRUPBG
'life': HRAOEUF
'in': TPH
'sleepless': SHRAOEP/-LS
'nights,': TPHAOEUTS/KW-BG
'in': TPH
'a': AEU
'lonely': HROEPBL
'chamber."': KHAEURPL/TP-PL/KR-GS
'"I': KW-GS/EU
'know': TPHOE
'where': W-R
'it': T
'blooms,"': PWHRAOPL/-S/KW-BG/KR-GS
'said': SED
'a': AEU
'happy': HAEP
'mother,': PHOER/KW-BG
'who': WHO
'came': KAEUPL
'with': W
'her': HER
'lovely': HROFL
'child': KHAOEULD
'to': TO
'the': -T
'bedside': PWED/SAOEUD
'of': -F
'the': -T
'queen.': KWAOEPB/TP-PL
'"I': KW-GS/EU
'know': TPHOE
'where': W-R
'the': -T
'loveliest': HROFL/KWREFT
'rose': ROEZ
'in': TPH
'the': -T
'world': WORLD
'is.': S/TP-PL
'It': KPA/T
'is': S
'seen': SAOEPB
'on': OPB
'the': -T
'blooming': PWHRAOPL/-G
'cheeks': KHAOEBGS
'of': -F
'my': PHEU
'sweet': SWAOET
'child,': KHAOEULD/KW-BG
'when': WHEPB
'it': T
'expresses': EBGS/PRES/-S
'the': -T
'pure': PAOUR
'and': SKP
'holy': HOEUL
'love': HRUF
'of': -F
'infancy;': EUPB/TPAEPBS/STPH*FPLT
'when': WHEPB
'refreshed': RERB/-D
'by': PWEU
'sleep': SHRAOEP
'it': T
'opens': OEPS
'its': EUTS
'eyes,': AO*EUS/KW-BG
'and': SKP
'smiles': SPHAOEULS
'upon': POPB
'me': PHE
'with': W
'childlike': KHAOEULD/HRA*EBG
'affection."': A*FBGS/TP-PL/KR-GS
'"This': KW-GS/KPA*/TH
'is': S
'a': AEU
'lovely': HROFL
'rose,"': ROEZ/KW-BG/KR-GS
'said': SED
'the': -T
'wise': WAOEUS
'man;': PHAPB/STPH*FPLT
'"but': KW-GS/PWUT
'there': THR
'is': S
'one': WUPB
'still': STEUL
'more': PHOR
'lovely."': HROFL/TP-PL/KR-GS
'"Yes,': KW-GS/KPA*/KWRE/KW-BG
'one': WUPB
'far': TPAR
'more': PHOR
'lovely,"': HROFL/KW-BG/KR-GS
'said': SED
'one': WUPB
'of': -F
'the': -T
'women.': WEUPL/TP-PL
'"I': KW-GS/EU
'have': SR
'seen': SAOEPB
'it,': T/KW-BG
'and': SKP
'a': AEU
'loftier': HROFT/KWRER
'and': SKP
'purer': PAOUR/ER
'rose': ROEZ
'does': TKOS
'not': TPHOT
'bloom.': PWHRAOPL/TP-PL
'But': KPA/PWUT
'it': T
'was': WAS
'white,': WHAOEUT/KW-BG
'like': HRAOEUBG
'the': -T
'leaves': HREFS
'of': -F
'a': AEU
'blush-rose.': PWHRURB/H-PB/ROEZ/TP-PL
'I': EU
'saw': SAU
'it': T
'on': OPB
'the': -T
'cheeks': KHAOEBGS
'of': -F
'the': -T
'queen.': KWAOEPB/TP-PL
'She': KPA/SHE
'had': H
'taken': TAEPB
'off': OF
'her': HER
'golden': TKPWOELD/*EPB
'crown,': KROUPB/KW-BG
'and': SKP
'through': THRU
'the': -T
'long,': HROPBG/KW-BG
'dreary': TKRAOE/REU
'night,': TPHAOEUT/KW-BG
'she': SHE
'carried': KAERD
'her': HER
'sick': SEUBG
'child': KHAOEULD
'in': TPH
'her': HER
'arms.': ARPLS/TP-PL
'She': KPA/SHE
'wept': WEPT
'over': OEFR
'it,': T/KW-BG
'kissed': K*EUFD
'it,': T/KW-BG
'and': SKP
'prayed': PRAEUD
'for': TPOR
'it': T
'as': AS
'only': OEPBL
'a': AEU
'mother': PHOER
'can': K
'pray': PRAEU
'in': TPH
'that': THA
'hour': HOUR
'of': -F
'her': HER
'anguish."': APBG/WEURB/TP-PL/KR-GS
'"Holy': KW-GS/KPA*/HOEUL
'and': SKP
'wonderful': WUFL
'in': TPH
'its': EUTS
'might': PHAOEUT
'is': S
'the': -T
'white': WHAOEUT
'rose': ROEZ
'of': -F
'grief,': TKPWRAOEF/KW-BG
'but': PWUT
'it': T
'is': S
'not': TPHOT
'the': -T
'one': WUPB
'we': WE
'seek."': SAOEBG/TP-PL/KR-GS
'"No;': KW-GS/KPA*/TPHO/STPH*FPLT
'the': -T
'loveliest': HROFL/KWREFT
'rose': ROEZ
'in': TPH
'the': -T
'world': WORLD
'I': EU
'saw': SAU
'at': AT
'the': -T
'Lord's': HRO*RD/AES
'table,"': TAEUBL/KW-BG/KR-GS
'said': SED
'the': -T
'good': TKPWAOD
'old': OLD
'bishop.': PWEURB/OP/TP-PL
'"I': KW-GS/EU
'saw': SAU
'it': T
'shine': SHAOEUPB
'as': AS
'if': TP
'an': APB
'angel's': APB/SKWREL/AES
'face': TPAEUS
'had': H
'appeared.': A/PAOERD/TP-PL
'A': KPA/AEU
'young': KWRUPBG
'maiden': PHAEUD/*EPB
'knelt': TPHELT
'at': AT
'the': -T
'altar,': AL/TAR/KW-BG
'and': SKP
'renewed': RE/TPHAOUD
'the': -T
'vows': SROUS
'made': PHAED
'at': AT
'her': HER
'baptism;': PWAPT/EUFPL/STPH*FPLT
'and': SKP
'there': THR
'were': WR
'white': WHAOEUT
'roses': ROES/-S
'and': SKP
'red': RED
'roses': ROES/-S
'on': OPB
'the': -T
'blushing': PWHRURB/-G
'cheeks': KHAOEBGS
'of': -F
'that': THA
'young': KWRUPBG
'girl.': TKPWEURL/TP-PL
'She': KPA/SHE
'looked': HRAOBGD
'up': UP
'to': TO
'heaven': HEFPB
'with': W
'all': AUL
'the': -T
'purity': PAOURT
'and': SKP
'love': HRUF
'of': -F
'her': HER
'young': KWRUPBG
'spirit,': SPEURT/KW-BG
'in': TPH
'all': AUL
'the': -T
'expression': EBGS/PREGS
'of': -F
'the': -T
'highest': HAOEU/EFT
'and': SKP
'purest': PAOUR/EFT
'love."': HRUF/TP-PL/KR-GS
'"May': KW-GS/PHA*EU
'she': SHE
'be': -B
'blessed!"': PWHR*EFD/SKHRAPL/KR-GS
'said': SED
'the': -T
'wise': WAOEUS
'man:': PHAPB/STPH-FPLT
'"but': KW-GS/PWUT
'no': TPHO
'one': WUPB
'has': HAS
'yet': KWRET
'named': TPHAEUPLD
'the': -T
'loveliest': HROFL/KWREFT
'rose': ROEZ
'in': TPH
'the': -T
'world."': WORLD/TP-PL/KR-GS
'Then': KPA/THEPB
'there': THR
'came': KAEUPL
'into': TPHAO
'the': -T
'room': RAOPL
'a': AEU
'child—the': KHAOEULD/EPL/TKA*RB/-T
'queen's': KWAOEPB/AES
'little': HREUL
'son.': SOPB/TP-PL
'Tears': KPA/TAERS
'stood': STAOD
'in': TPH
'his': HEUS
'eyes,': AO*EUS/KW-BG
'and': SKP
'glistened': TKPWHREUS/-PBD
'on': OPB
'his': HEUS
'cheeks;': KHAOEBGS/STPH*FPLT
'he': HE
'carried': KAERD
'a': AEU
'great': TKPWRAET
'book': PWAOBG
'and': SKP
'the': -T
'binding': PWAOEUPBGD
'was': WAS
'of': -F
'velvet,': SREL/SRET/KW-BG
'with': W
'silver': SEUL/SRER
'clasps.': KHRAS/-PS/TP-PL
'"Mother,"': KW-GS/KPA*/PHOER/KW-BG/KR-GS
'cried': KRAOEUD
'the': -T
'little': HREUL
'boy;': PWOEU/STPH*FPLT
'"only': KW-GS/OEPBL
'hear': HAER
'what': WHA
'I': EU
'have': SR
'read."': RAED/TP-PL/KR-GS
'And': AFPBD
'the': -T
'child': KHAOEULD
'seated': SAOETD
'himself': HEUPLS
'by': PWEU
'the': -T
'bedside,': PWED/SAOEUD/KW-BG
'and': SKP
'read': RAED
'from': TPR
'the': -T
'book': PWAOBG
'of': -F
'Him': KPA/HEUPL
'who': WHO
'suffered': SUFRD
'death': TK*T
'on': OPB
'the': -T
'cross': KROS
'to': TO
'save': SAF
'all': AUL
'men,': PHEPB/KW-BG
'even': AOEPB
'who': WHO
'are': R
'yet': KWRET
'unborn.': UPB/PWORPB/TP-PL
'He': KPA/HE
'read,': RAED/KW-BG
'"Greater': KW-GS/KPA*/TKPWRAERT
'love': HRUF
'hath': HA*T
'no': TPHO
'man': PHAPB
'than': THAPB
'this,"': TH/KW-BG/KR-GS
'and': SKP
'as': AS
'he': HE
'read': RAED
'a': AEU
'roseate': ROEZ/A*T
'hue': HAOU
'spread': SPRED
'over': OEFR
'the': -T
'cheeks': KHAOEBGS
'of': -F
'the': -T
'queen,': KWAOEPB/KW-BG
'and': SKP
'her': HER
'eyes': AO*EUS
'became': PWAEUPL
'so': SO
'enlightened': EPB/HRAOEUT/-PBD
'and': SKP
'clear,': KHRAOER/KW-BG
'that': THA
'she': SHE
'saw': SAU
'from': TPR
'the': -T
'leaves': HREFS
'of': -F
'the': -T
'book': PWAOBG
'a': AEU
'lovely': HROFL
'rose': ROEZ
'spring': SPREUPBG
'forth,': TPO*RT/KW-BG
'a': AEU
'type': TAOEUP
'of': -F
'Him': KPA/HEUPL
'who': WHO
'shed': SHED
'His': KPA/HEUS
'blood': PWHRAOD
'on': OPB
'the': -T
'cross.': KROS/TP-PL
'"I': KW-GS/EU
'see': SAOE
'it,"': T/KW-BG/KR-GS
'she': SHE
'said.': SED/TP-PL
'"He': KW-GS/KPA*/HE
'who': WHO
'beholds': PWE/HOLDZ
'this,': TH/KW-BG
'the': -T
'loveliest': HROFL/KWREFT
'rose': ROEZ
'on': OPB
'earth,': *ERT/KW-BG
'shall': SHAL
'never': TPHEFR
'die."': TKAOEU/TP-PL/KR-GS
