The Buckwheat
'from': TPR
'the': -T
'sky': SKAOEU
'above': PWOF
'to': TO
'the': -T
'earth': *ERT
'beneath.': TPHAO*ET/TP-PL
'He': KPA/HE
'will': HR
'strike': STRAOEUBG
'you': U
'down': TKOUPB
'before': PW-FR
'you': U
'can': K
'cry': KRAOEU
'for': TPOR
'mercy."': PHER/SEU/TP-PL/KR-GS
'"But': KW-GS/KPA*/PWUT
'I': EU
'will': HR
'not': TPHOT
'bend': PWEPBD
'my': PHEU
'head,"': HED/KW-BG/KR-GS
'said': SED
'the': -T
'buckwheat.': PWUBG/WHAOET/TP-PL
'"Close': KW-GS/KPA*/KHROES
'your': KWROUR
'flowers': TPHRO*URS
'and': SKP
'bend': PWEPBD
'your': KWROUR
'leaves,"': HREFS/KW-BG/KR-GS
'said': SED
'the': -T
'old': OLD
'willow-tree.': WEUL/HROE/H-PB/TRAOE/TP-PL
'"Do': KW-GS/KPA*/TKO
'not': TPHOT
'look': HRAOBG
'at': AT
'the': -T
'lightning': HRAOEUT/TPHEUPBG
'when': WHEPB
'the': -T
'cloud': KHROUD
'bursts;': PWUFRTS/STPH*FPLT
'even': AOEPB
'men': PHEPB
'cannot': SK-PBT
'do': TKO
'that.': THA/TP-PL
'In': KPA/TPH
'a': AEU
'flash': TPHRARB
'of': -F
'lightning': HRAOEUT/TPHEUPBG
'heaven': HEFPB
'opens,': OEPS/KW-BG
'and': SKP
'we': WE
'can': K
'look': HRAOBG
'in;': TPH/STPH*FPLT
'but': PWUT
'the': -T
'sight': SAOEUT
'will': HR
'strike': STRAOEUBG
'even': AOEPB
'human': HAOUPL
'beings': -BGZ
'blind.': PWHRAOEUPBD/TP-PL
'What': KPA/WHA
'then': THEPB
'must': PHUFT
'happen': HAP
'to': TO
'us,': US/KW-BG
'who': WHO
'only': OEPBL
'grow': TKPWROE
'out': OUT
'of': -F
'the': -T
'earth,': *ERT/KW-BG
'and': SKP
'are': R
'so': SO
'inferior': OEUFPB
'to': TO
'them,': THEPL/KW-BG
'if': TP
'we': WE
'venture': SREPBT/UR
'to': TO
'do': TKO
'so?"': SO/H-F/KR-GS
'"Inferior,': KW-GS/KPA*/OEUFPB/KW-BG
'indeed!"': TPHAOEPBD/SKHRAPL/KR-GS
'said': SED
'the': -T
'buckwheat.': PWUBG/WHAOET/TP-PL
'"Now': KW-GS/KPA*/TPHOU
'I': EU
'intend': SPWEPBD
'to': TO
'have': SR
'a': AEU
'peep': PAOEP
'into': TPHAO
'heaven."': HEFPB/TP-PL/KR-GS
'Proudly': KPA/PROUD/HREU
'and': SKP
'boldly': PWOLD/HREU
'he': HE
'looked': HRAOBGD
'up,': UP/KW-BG
'while': WHAOEUL
'the': -T
'lightning': HRAOEUT/TPHEUPBG
'flashed': TPHRARBD
'across': KRAOS
'the': -T
'sky': SKAOEU
'as': AS
'if': TP
'the': -T
'whole': WHOEL
'world': WORLD
'were': WR
'in': TPH
'flames.': TPHRAEUPLS/TP-PL
'When': KPA/WHEPB
'the': -T
'dreadful': TKREFL
'storm': STORPL
'had': H
'passed,': PAFD/KW-BG
'the': -T
'flowers': TPHRO*URS
'and': SKP
'the': -T
'corn': KORPB
'raised': RA*EUFD
'their': THAEUR
'drooping': TKRAOPG
'heads': HEDZ
'in': TPH
'the': -T
'pure': PAOUR
'still': STEUL
'air,': AEUR/KW-BG
'refreshed': RERB/-D
'by': PWEU
'the': -T
'rain,': RAEUPB/KW-BG
'but': PWUT
'the': -T
'buckwheat': PWUBG/WHAOET
'lay': HRAEU
'like': HRAOEUBG
'a': AEU
'weed': WAO*ED
'in': TPH
'the': -T
'field,': TPAOELD/KW-BG
'burnt': PWURPBT
'to': TO
'blackness': PWHRABG/-PBS
'by': PWEU
'the': -T
'lightning.': HRAOEUT/TPHEUPBG/TP-PL
'The': KPA/-T
'branches': PWRAFRPBS
'of': -F
'the': -T
'old': OLD
'willow-tree': WEUL/HROE/H-PB/TRAOE
'rustled': RUS/-LD
'in': TPH
'the': -T
'wind,': WEUPBD/KW-BG
'and': SKP
'large': HRARPBLG
'water-drops': WAUR/H-PB/TKROPS
'fell': TPEL
'from': TPR
'his': HEUS
'green': TKPWRAOEPB
'leaves': HREFS
'as': AS
'if': TP
'the': -T
'old': OLD
'willow': WEUL/HROE
'were': WR
'weeping.': WAOEP/-G/TP-PL
'Then': KPA/THEPB
'the': -T
'sparrows': SPAEUR/ROE/-S
'asked': SK-D
'why': KWR
'he': HE
'was': WAS
'weeping,': WAOEP/-G/KW-BG
'when': WHEPB
'all': AUL
'around': ARPBD
'him': HEUPL
'seemed': SAOEPLD
'so': SO
'cheerful.': KHAOER/-FL/TP-PL
'"See,"': KW-GS/KPA*/SAOE/KW-BG/KR-GS
'they': THE
'said,': SED/KW-BG
'"how': KW-GS/HOU
'the': -T
'sun': SUPB
'shines,': SHAOEUPBS/KW-BG
'and': SKP
'the': -T
'clouds': KHROUDZ
'float': TPHROET
'in': TPH
'the': -T
'blue': PWHRU
'sky.': SKAOEU/TP-PL
'Do': KPA/TKO
'you': U
'not': TPHOT
'smell': SPHEL
'the': -T
'sweet': SWAOET
'perfume': PER/TPAOUPL
'from': TPR
'flower': TPHRO*UR
'and': SKP
'bush?': PWURB/H-F
'Wherefore': KPA/W-R/TPOR
'do': TKO
'you': U
'weep,': WAOEP/KW-BG
'old': OLD
'willow-tree?"': WEUL/HROE/H-PB/TRAOE/H-F/KR-GS
'Then': KPA/THEPB
'the': -T
'willow': WEUL/HROE
'told': TOLD
'them': THEPL
'of': -F
'the': -T
'haughty': HAU/TEU
'pride': PRAOEUD
'of': -F
'the': -T
'buckwheat,': PWUBG/WHAOET/KW-BG
'and': SKP
'of': -F
'the': -T
'punishment': PUPLT
'which': WEU
'followed': TPOLD
'in': TPH
'consequence.': KWEPBS/TP-PL
'This': KPA/TH
'is': S
'the': -T
'story': STOER
'told': TOLD
'me': PHE
'by': PWEU
'the': -T
'sparrows': SPAEUR/ROE/-S
'one': WUPB
'evening': AOEPBG
'when': WHEPB
'I': EU
'begged': PWEGD
'them': THEPL
'to': TO
'relate': RELT
'some': SOPL
'tale': TAEL
'to': TO
'me.': PHE/TP-PL
