The Seven Ravens

'There': KPA/THR
'as': AS
'well': WEL
'as': AS
'he': HE
'could': KO
'for': TPOR
'the': -T
'loss': HROS
'of': -F
'his': HEUS
'seven': SEFPB
'sons': SOPBS
'with': W
'his': HEUS
'dear': TKAER
'little': HREUL
'daughter,': TKAUR/KW-BG
'who': WHO
'soon': SAOPB
'became': PWAEUPL
'stronger': STRORPBG
'and': SKP
'every': EF
'day': TKAEU
'more': PHOR
'beautiful.': PWAOUFL/TP-PL
'For': KPA/TPOR
'a': AEU
'long': HROPBG
'time': TAOEUPL
'she': SHE
'did': TK
'not': TPHOT
'know': TPHOE
'that': THA
'she': SHE
'had': H
'ever': -FR
'had': H
'any': TPHEU
'brothers;': PWROERS/STPH*FPLT
'for': TPOR
'her': HER
'father': TPAER
'and': SKP
'mother': PHOER
'took': TAOBG
'care': KAEUR
'not': TPHOT
'to': TO
'speak': SPAOEBG
'of': -F
'them': THEPL
'before': PW-FR
'her:': HER/STPH-FPLT
'but': PWUT
'one': WUPB
'day': TKAEU
'by': PWEU
'chance': KHAPBS
'she': SHE
'heard': HAERD
'the': -T
'people': PAOEPL
'about': PW
'her': HER
'speak': SPAOEBG
'of': -F
'them.': THEPL/TP-PL
''Yes,'': A*E/KPA*/KWRE/KW-BG/AE
'said': SED
'they,': THE/KW-BG
''she': A*E/SHE
'is': S
'beautiful': PWAOUFL
'indeed,': TPHAOEPBD/KW-BG
'but': PWUT
'still': STEUL
''tis': TEUS
'a': AEU
'pity': PEUT/TEU
'that': THA
'her': HER
'brothers': PWROERS
'should': SHO
'have': SR
'been': PW-PB
'lost': HRO*S
'for': TPOR
'her': HER
'sake.'': SAEUBG/TP-PL/AE
'Then': KPA/THEPB
'she': SHE
'was': WAS
'much': PHUFP
'grieved,': TKPWRAOEF/-D/KW-BG
'and': SKP
'went': WEPBT
'to': TO
'her': HER
'father': TPAER
'and': SKP
'mother,': PHOER/KW-BG
'and': SKP
'asked': SK-D
'if': TP
'she': SHE
'had': H
'any': TPHEU
'brothers,': PWROERS/KW-BG
'and': SKP
'what': WHA
'had': H
'become': PW-BG
'of': -F
'them.': THEPL/TP-PL
'So': KPA/SO
'they': THE
'dared': TKAEURD
'no': TPHO
'longer': HRORPBG
'hide': HAOEUD
'the': -T
'truth': TRAO*UT
'from': TPR
'her,': HER/KW-BG
'but': PWUT
'said': SED
'it': T
'was': WAS
'the': -T
'will': HR
'of': -F
'Heaven,': KPA/HEFPB/KW-BG
'and': SKP
'that': THA
'her': HER
'birth': PW*EURT
'was': WAS
'only': OEPBL
'the': -T
'innocent': TPH-PBT
'cause': KAUS
'of': -F
'it;': T/STPH*FPLT
'but': PWUT
'the': -T
'little': HREUL
'girl': TKPWEURL
'mourned': PHOURPB/-D
'sadly': SAD/HREU
'about': PW
'it': T
'every': EF
'day,': TKAEU/KW-BG
'and': SKP
'thought': THAUT
'herself': H*ERS
'bound': PWOUPBD
'to': TO
'do': TKO
'all': AUL
'she': SHE
'could': KO
'to': TO
'bring': PWREU
'her': HER
'brothers': PWROERS
'back;': PWABG/STPH*FPLT
'and': SKP
'she': SHE
'had': H
'neither': TPHAOERT
'rest': REFT
'nor': TPH-R
'ease,': AOES/KW-BG
'till': TEUL
'at': AT
'length': HREPBG
'one': WUPB
'day': TKAEU
'she': SHE
'stole': STOEL
'away,': WA*EU/KW-BG
'and': SKP
'set': SET
'out': OUT
'into': TPHAO
'the': -T
'wide': WAOEUD
'world': WORLD
'to': TO
'find': TPAOEUPBD
'her': HER
'brothers,': PWROERS/KW-BG
'wherever': W-FR
'they': THE
'might': PHAOEUT
'be,': -B/KW-BG
'and': SKP
'free': TPRAOE
'them,': THEPL/KW-BG
'whatever': WHAF
'it': T
'might': PHAOEUT
'cost': KOFT
'her.': HER/TP-PL
'She': KPA/SHE
'took': TAOBG
'nothing': TPHOG
'with': W
'her': HER
'but': PWUT
'a': AEU
'little': HREUL
'ring': REUPBG
'which': WEU
'her': HER
'father': TPAER
'and': SKP
'mother': PHOER
'had': H
'given': TKPWEUFPB
'her,': HER/KW-BG
'a': AEU
'loaf': HROEF
'of': -F
'bread': PWRAED
'in': TPH
'case': KAEUS
'she': SHE
'should': SHO
'be': -B
'hungry,': HUPBG/REU/KW-BG
'a': AEU
'little': HREUL
'pitcher': PEUFRP
'of': -F
'water': WAUR
'in': TPH
'case': KAEUS
'she': SHE
'should': SHO
'be': -B
'thirsty,': THEURS/TEU/KW-BG
'and': SKP
'a': AEU
'little': HREUL
'stool': STOL
'to': TO
'rest': REFT
'upon': POPB
'when': WHEPB
'she': SHE
'should': SHO
'be': -B
'weary.': WAOE/REU/TP-PL
'Thus': KPA/THUS
'she': SHE
'went': WEPBT
'on': OPB
'and': SKP
'on,': OPB/KW-BG
'and': SKP
'journeyed': SKWRURPB/EUD
'till': TEUL
'she': SHE
'came': KAEUPL
'to': TO
'the': -T
'world's': WORLD/AES
'end;': EPBD/STPH*FPLT
'then': THEPB
'she': SHE
'came': KAEUPL
'to': TO
'the': -T
'sun,': SUPB/KW-BG
'but': PWUT
'the': -T
'sun': SUPB
'looked': HRAOBGD
'much': PHUFP
'too': TAO
'hot': HOT
'and': SKP
'fiery;': TPAOEU/REU/STPH*FPLT
'so': SO
'she': SHE
'ran': RAPB
'away': WA*EU
'quickly': KWEULG
'to': TO
'the': -T
'moon,': PHAOPB/KW-BG
'but': PWUT
'the': -T
'moon': PHAOPB
'was': WAS
'cold': KOELD
'and': SKP
'chilly,': KHEUL/HREU/KW-BG
'and': SKP
'said,': SED/KW-BG
''I': A*E/EU
'smell': SPHEL
'flesh': TPHRERB
'and': SKP
'blood': PWHRAOD
'this': TH
'way!'': WAEU/SKHRAPL/AE
'so': SO
'she': SHE
'took': TAOBG
'herself': H*ERS
'away': WA*EU
'in': TPH
'a': AEU
'hurry': HUR/REU
'and': SKP
'came': KAEUPL
'to': TO
'the': -T
'stars,': STARS/KW-BG
'and': SKP
'the': -T
'stars': STARS
'were': WR
'friendly': TPREPBLD
'and': SKP
'kind': KEUPBD
'to': TO
'her,': HER/KW-BG
'and': SKP
'each': AOEFP
'star': STAR
'sat': SAT
'upon': POPB
'his': HEUS
'own': OEPB
'little': HREUL
'stool;': STOL/STPH*FPLT
'but': PWUT
'the': -T
'morning': PHORPBG
'star': STAR
'rose': ROEZ
'up': UP
'and': SKP
'gave': TKPWAEUF
'her': HER
'a': AEU
'little': HREUL
'piece': PAOES
'of': -F
'wood,': WAOD/KW-BG
'and': SKP
'said,': SED/KW-BG
''If': A*E/KPA*/TP
'you': U
'have': SR
'not': TPHOT
'this': TH
'little': HREUL
'piece': PAOES
'of': -F
'wood,': WAOD/KW-BG
'you': U
'cannot': SK-PBT
'unlock': UPB/HROBG
'the': -T
'castle': KAFL
'that': THA
'stands': STAPBDZ
'on': OPB
'the': -T
'glass-mountain,': TKPWHRAS/H-PB/PHOUPB/TAEUPB/KW-BG
'and': SKP
'there': THR
'your': KWROUR
'brothers': PWROERS
'live.'': HREUF/TP-PL/AE
'The': KPA/-T
'little': HREUL
'girl': TKPWEURL
'took': TAOBG
'the': -T
'piece': PAOES
'of': -F
'wood,': WAOD/KW-BG
'rolled': ROLD
'it': T
'up': UP
'in': TPH
'a': AEU
'little': HREUL
'cloth,': KHRO*T/KW-BG
'and': SKP
'went': WEPBT
'on': OPB
'again': TKPWEPB
'until': TPH-L
'she': SHE
'came': KAEUPL
'to': TO
'the': -T
'glass-mountain,': TKPWHRAS/H-PB/PHOUPB/TAEUPB/KW-BG
'and': SKP
'found': TPOUPBD
'the': -T
'door': TKAOR
'shut.': SHUT/TP-PL
'Then': KPA/THEPB
'she': SHE
'felt': TPELT
'for': TPOR
'the': -T
'little': HREUL
'piece': PAOES
'of': -F
'wood;': WAOD/STPH*FPLT
'but': PWUT
'when': WHEPB
'she': SHE
'unwrapped': UPB/WRAPD
'the': -T
'cloth': KHRO*T
'it': T
'was': WAS
'not': TPHOT
'there,': THR-RBGS
'and': SKP
'she': SHE
'saw': SAU
'she': SHE
'had': H
'lost': HRO*S
'the': -T
'gift': TKPWEUFT
'of': -F
'the': -T
'good': TKPWAOD
'stars.': STARS/TP-PL
'What': KPA/WHA
'was': WAS
'to': TO
'be': -B
'done?': TKOPB/H-F
'She': KPA/SHE
'wanted': WAPBTD
'to': TO
'save': SAF
'her': HER
'brothers,': PWROERS/KW-BG
'and': SKP
'had': H
'no': TPHO
'key': KAOE
'of': -F
'the': -T
'castle': KAFL
'of': -F
'the': -T
'glass-mountain;': TKPWHRAS/H-PB/PHOUPB/TAEUPB/STPH*FPLT
'so': SO
'this': TH
'faithful': TPA*EUT/-FL
'little': HREUL
'sister': ST-R
'took': TAOBG
'a': AEU
'knife': TPHAOEUF
'out': OUT
'of': -F
'her': HER
'pocket': POBGT
'and': SKP
'cut': KUT
'off': OF
'her': HER
'little': HREUL
'finger,': TPEURPBG/KW-BG
'that': THA
'was': WAS
'just': SKWRUFT
'the': -T
'size': SAOEUZ
'of': -F
'the': -T
'piece': PAOES
'of': -F
'wood': WAOD
'she': SHE
'had': H
'lost,': HRO*S/KW-BG
'and': SKP
'put': PUT
'it': T
'in': TPH
'the': -T
'door': TKAOR
'and': SKP
'opened': OEPD
'it.': T/TP-PL
'As': KPA/AS
'she': SHE
'went': WEPBT
'in,': TPH/KW-BG
'a': AEU
'little': HREUL
'dwarf': TKWAFR
'came': KAEUPL
'up': UP
'to': TO
'her,': HER/KW-BG
'and': SKP
'said,': SED/KW-BG
''What': A*E/KPA*/WHA
'are': R
'you': U
'seeking': SAOEBG/-G
'for?'': TPOR/H-F/AE
''I': A*E/EU
'seek': SAOEBG
'for': TPOR
'my': PHEU
'brothers,': PWROERS/KW-BG
'the': -T
'seven': SEFPB
'ravens,'': RA*EUF/-PBS/KW-BG/AE
'answered': AEPBS/-D
'she.': SHE/TP-PL
'Then': KPA/THEPB
'the': -T
'dwarf': TKWAFR
'said,': SED/KW-BG
''My': A*E/KPA*/PHEU
'masters': PHAFT/ERS
'are': R
'not': TPHOT
'at': AT
'home;': HOEPL/STPH*FPLT
'but': PWUT
'if': TP
'you': U
'will': HR
'wait': WAEUT
'till': TEUL
'they': THE
'come,': KOPL/KW-BG
'pray': PRAEU
'step': STEP
'in.'': TPH/TP-PL/AE
'Now': KPA/TPHOU
'the': -T
'little': HREUL
'dwarf': TKWAFR
'was': WAS
'getting': TKPWEGT
'their': THAEUR
'dinner': TKEURPB
'ready,': R-D/KW-BG
'and': SKP
'he': HE
'brought': PWRAUT
'their': THAEUR
'food': TPAOD
'upon': POPB
'seven': SEFPB
'little': HREUL
'plates,': PHRAEUTS/KW-BG
'and': SKP
'their': THAEUR
'drink': TKREU
'in': TPH
'seven': SEFPB
'little': HREUL
'glasses,': TKPWHRAFS/KW-BG
'and': SKP
'set': SET
'them': THEPL
'upon': POPB
'the': -T
'table,': TAEUBL/KW-BG
'and': SKP
'out': OUT
'of': -F
'each': AOEFP
'little': HREUL
'plate': PHRAET
'their': THAEUR
'sister': ST-R
'ate': AEUT
'a': AEU
'small': SPHAL
'piece,': PAOES/KW-BG
'and': SKP
'out': OUT
'of': -F
'each': AOEFP
'little': HREUL
'glass': TKPWHRAS
'she': SHE
'drank': TKRA*PBG
'a': AEU
'small': SPHAL
'drop;': TKROP/STPH*FPLT
'but': PWUT
'she': SHE
'let': HRET
'the': -T
'ring': REUPBG
'that': THA
'she': SHE
'had': H
'brought': PWRAUT
'with': W
'her': HER
'fall': TPAUL
'into': TPHAO
'the': -T
'last': HRAFT
'glass.': TKPWHRAS/TP-PL
'On': KPA/OPB
'a': AEU
'sudden': SUD
'she': SHE
'heard': HAERD
'a': AEU
'fluttering': TPHRUT/ERG
'and': SKP
'croaking': KROEBG/-G
'in': TPH
'the': -T
'air,': AEUR/KW-BG
'and': SKP
'the': -T
'dwarf': TKWAFR
'said,': SED/KW-BG
''Here': A*E/KPA*/HAOER
'come': KOPL
'my': PHEU
'masters.'': PHAFT/ERS/TP-PL/AE
'When': KPA/WHEPB
'they': THE
'came': KAEUPL
'in,': TPH/KW-BG
'they': THE
'wanted': WAPBTD
'to': TO
'eat': AOET
'and': SKP
'drink,': TKREU/KW-BG
'and': SKP
'looked': HRAOBGD
'for': TPOR
'their': THAEUR
'little': HREUL
'plates': PHRAEUTS
'and': SKP
'glasses.': TKPWHRAFS/TP-PL
'Then': KPA/THEPB
'said': SED
'one': WUPB
'after': AF
'the': -T
'other,': OER/KW-BG
''Who': A*E/KPA*/WHO
'has': HAS
'eaten': AOET/EPB
'from': TPR
'my': PHEU
'little': HREUL
'plate?': PHRAET/H-F
'And': AFPBD
'who': WHO
'has': HAS
'been': PW-PB
'drinking': TKREUG
'out': OUT
'of': -F
'my': PHEU
'little': HREUL
'glass?'': TKPWHRAS/H-F/AE
''Caw!': A*E/KPA*/KA*U/SKHRAPL
'Caw!': KPA/KA*U/SKHRAPL
'well': WEL
'I': EU
'ween': WE/*EPB
'Mortal': KPA/PHOR/TAL
'lips': HREUPS
'have': SR
'this': TH
'way': WAEU
'been.'': PW-PB/TP-PL/AE
'When': KPA/WHEPB
'the': -T
'seventh': S*EPBT
'came': KAEUPL
'to': TO
'the': -T
'bottom': PWOPLT
'of': -F
'his': HEUS
'glass,': TKPWHRARBGS
'and': SKP
'found': TPOUPBD
'there': THR
'the': -T
'ring,': REUPBG/KW-BG
'he': HE
'looked': HRAOBGD
'at': AT
'it,': T/KW-BG
'and': SKP
'knew': TPHAOU
'that': THA
'it': T
'was': WAS
'his': HEUS
'father's': TPAER/AES
'and': SKP
'mother's,': PHOER/AES/KW-BG
'and': SKP
'said,': SED/KW-BG
''O': A*E/O*P
'that': THA
'our': OUR
'little': HREUL
'sister': ST-R
'would': WO
'but': PWUT
'come!': KOPL/SKHRAPL
'then': THEPB
'we': WE
'should': SHO
'be': -B
'free.'': TPRAOE/TP-PL/AE
'When': KPA/WHEPB
'the': -T
'little': HREUL
'girl': TKPWEURL
'heard': HAERD
'this': TH
'(for': PREPB/TPOR
'she': SHE
'stood': STAOD
'behind': HEUPBD
'the': -T
'door': TKAOR
'all': AUL
'the': -T
'time': TAOEUPL
'and': SKP
'listened),': HREUFPBD/PR*EPB/KW-BG
'she': SHE
'ran': RAPB
'forward,': TPAORD/KW-BG
'and': SKP
'in': TPH
'an': APB
'instant': STPHAPBT
'all': AUL
'the': -T
'ravens': RA*EUF/-PBS
'took': TAOBG
'their': THAEUR
'right': RAOEUT
'form': TPORPL
'again;': TKPWEPB/STPH*FPLT
'and': SKP
'all': AUL
'hugged': HUGD
'and': SKP
'kissed': K*EUFD
'each': AOEFP
'other,': OER/KW-BG
'and': SKP
'went': WEPBT
'merrily': PHER/HREU
'home.': HOEPL/TP-PL
