Little Ida's Flowers

'"My': KW-GS/KPA*/PHEU
'lilies': HREUL/KWREU/-S
'of': -F
'the': -T
'valley."': SRAL/KWREU/TP-PL/KR-GS
'"Where': KW-GS/KPA*/W-R
'do': TKO
'the': -T
'beautiful': PWAOUFL
'flowers': TPHRO*URS
'dance?"': TKAPBS/H-F/KR-GS
'asked': SK-D
'little': HREUL
'Ida.': KPA/EUD/SKWRA/TP-PL
'"Have': KW-GS/KPA*/SR
'you': U
'not': TPHOT
'often': OFPB
'seen': SAOEPB
'the': -T
'large': HRARPBLG
'castle': KAFL
'outside': OUDZ
'the': -T
'gates': TKPWAETS
'of': -F
'the': -T
'town,': TOUPB/KW-BG
'where': W-R
'the': -T
'king': KEUPBG
'lives': HREUFS
'in': TPH
'summer,': SAOURPL/KW-BG
'and': SKP
'where': W-R
'the': -T
'beautiful': PWAOUFL
'garden': TKPWA*RPB
'is': S
'full': TPUL
'of': -F
'flowers?': TPHRO*URS/H-F
'And': AFPBD
'have': SR
'you': U
'not': TPHOT
'fed': TPED
'the': -T
'swans': SWAPBS
'with': W
'bread': PWRAED
'when': WHEPB
'they': THE
'swam': SWAPL
'towards': TORDZ
'you?': U/H-F
'Well,': KPA/WEL/KW-BG
'the': -T
'flowers': TPHRO*URS
'have': SR
'capital': KPAL
'balls': PWAULS
'there,': THR-RBGS
'believe': PWHREF
'me."': PHE/TP-PL/KR-GS
'"I': KW-GS/EU
'was': WAS
'in': TPH
'the': -T
'garden': TKPWA*RPB
'out': OUT
'there': THR
'yesterday': KWRED
'with': W
'my': PHEU
'mother,"': PHOER/KW-BG/KR-GS
'said': SED
'Ida,': KPA/EUD/SKWRA/KW-BG
'"but': KW-GS/PWUT
'all': AUL
'the': -T
'leaves': HREFS
'were': WR
'off': OF
'the': -T
'trees,': TRAOES/KW-BG
'and': SKP
'there': THR
'was': WAS
'not': TPHOT
'a': AEU
'single': SEUPBLG
'flower': TPHRO*UR
'left.': HREFT/TP-PL
'Where': KPA/W-R
'are': R
'they?': THE/H-F
'I': EU
'used': AOUFD
'to': TO
'see': SAOE
'so': SO
'many': PHAEPB
'in': TPH
'the': -T
'summer."': SAOURPL/TP-PL/KR-GS
'"They': KW-GS/KPA*/THE
'are': R
'in': TPH
'the': -T
'castle,"': KAFL/KW-BG/KR-GS
'replied': RE/PHRAOEUD
'the': -T
'student.': STAUPB/TP-PL
'"You': KW-GS/KPA*/U
'must': PHUFT
'know': TPHOE
'that': THA
'as': AS
'soon': SAOPB
'as': AS
'the': -T
'king': KEUPBG
'and': SKP
'all': AUL
'the': -T
'court': KORT
'are': R
'gone': TKPWOPB
'into': TPHAO
'the': -T
'town,': TOUPB/KW-BG
'the': -T
'flowers': TPHRO*URS
'run': RUPB
'out': OUT
'of': -F
'the': -T
'garden': TKPWA*RPB
'into': TPHAO
'the': -T
'castle,': KAFL/KW-BG
'and': SKP
'you': U
'should': SHO
'see': SAOE
'how': HOU
'merry': PHER/REU
'they': THE
'are.': R/TP-PL
'The': KPA/-T
'two': TWO
'most': PHOFT
'beautiful': PWAOUFL
'roses': ROES/-S
'seat': SAOET
'themselves': TH*EPLS
'on': OPB
'the': -T
'throne,': THRO*EPB/KW-BG
'and': SKP
'are': R
'called': KAULD
'the': -T
'king': KEUPBG
'and': SKP
'queen,': KWAOEPB/KW-BG
'then': THEPB
'all': AUL
'the': -T
'red': RED
'cockscombs': KAU/KR*/K*/S*/KR*/O*/PH*/PW*/-S
'range': RAEUPBG
'themselves': TH*EPLS
'on': OPB
'each': AOEFP
'side,': SAOEUD/KW-BG
'and': SKP
'bow,': PWOE/KW-BG
'these': THEZ
'are': R
'the': -T
'lords-in-waiting.': HRORDZ/H-PB/TPH/H-PB/WAEUGT/TP-PL
'After': KPA/AF
'that': THA
'the': -T
'pretty': PREUT
'flowers': TPHRO*URS
'come': KOPL
'in,': TPH/KW-BG
'and': SKP
'there': THR
'is': S
'a': AEU
'grand': TKPWRAPBD
'ball.': PWAUL/TP-PL
'The': KPA/-T
'blue': PWHRU
'violets': SROEULT/-S
'represent': REPT
'little': HREUL
'naval': TPHAEUFL
'cadets,': KA/TKET/-S/KW-BG
'and': SKP
'dance': TKAPBS
'with': W
'hyacinths': HAOEU/S*EUPBT/-S
'and': SKP
'crocuses': KROEBG/US/ES
'which': WEU
'they': THE
'call': KAUL
'young': KWRUPBG
'ladies.': HRAEUDZ/TP-PL
'The': KPA/-T
'tulips': TAOU/HREUPS
'and': SKP
'tiger-lilies': TAOEURG/H-PB/HREUL/KWREU/-S
'are': R
'the': -T
'old': OLD
'ladies': HRAEUDZ
'who': WHO
'sit': SEUT
'and': SKP
'watch': WAFP
'the': -T
'dancing,': TKAPBS/-G/KW-BG
'so': SO
'that': THA
'everything': EFRG
'may': PHAEU
'be': -B
'conducted': KUBGTD
'with': W
'order': ORD
'and': SKP
'propriety."': PRO/PRAOEUT/TP-PL/KR-GS
'"But,"': KW-GS/KPA*/PWUT/KW-BG/KR-GS
'said': SED
'little': HREUL
'Ida,': KPA/EUD/SKWRA/KW-BG
'"is': KW-GS/S
'there': THR
'no': TPHO
'one': WUPB
'there': THR
'to': TO
'hurt': HURT
'the': -T
'flowers': TPHRO*URS
'for': TPOR
'dancing': TKAPBS/-G
'in': TPH
'the': -T
'king's': KEUPBG/AES
'castle?"': KAFL/H-F/KR-GS
'"No': KW-GS/KPA*/TPHO
'one': WUPB
'knows': TPHOEZ
'anything': TPHEUG
'about': PW
'it,"': T/KW-BG/KR-GS
'said': SED
'the': -T
'student.': STAUPB/TP-PL
'"The': KW-GS/KPA*/-T
'old': OLD
'steward': STAOURD
'of': -F
'the': -T
'castle,': KAFL/KW-BG
'who': WHO
'has': HAS
'to': TO
'watch': WAFP
'there': THR
'at': AT
'night,': TPHAOEUT/KW-BG
'sometimes': STAOEUPLS
'comes': KOPLS
'in;': TPH/STPH*FPLT
'but': PWUT
'he': HE
'carries': KAERS
'a': AEU
'great': TKPWRAET
'bunch': PWUFRPB
'of': -F
'keys,': KAOES/KW-BG
'and': SKP
'as': AS
'soon': SAOPB
'as': AS
'the': -T
'flowers': TPHRO*URS
'hear': HAER
'the': -T
'keys': KAOES
'rattle,': RA*LT/KW-BG
'they': THE
'run': RUPB
'and': SKP
'hide': HAOEUD
'themselves': TH*EPLS
'behind': HEUPBD
'the': -T
'long': HROPBG
'curtains,': KUR/TEUPBS/KW-BG
'and': SKP
'stand': STAPBD
'quite': KWAOEUT
'still,': STEUL/KW-BG
'just': SKWRUFT
'peeping': PAOEPG
'their': THAEUR
'heads': HEDZ
'out.': OUT/TP-PL
'Then': KPA/THEPB
'the': -T
'old': OLD
'steward': STAOURD
'says,': SEZ/KW-BG
''I': A*E/EU
'smell': SPHEL
'flowers': TPHRO*URS
'here,'': HAOER/KW-BG/AE
'but': PWUT
'he': HE
'cannot': SK-PBT
'see': SAOE
'them."': THEPL/TP-PL/KR-GS
'"Oh': KW-GS/KPA*/O*ERBGS
'how': HOU
'capital,"': KPAL/KW-BG/KR-GS
'said': SED
'little': HREUL
'Ida,': KPA/EUD/SKWRA/KW-BG
'clapping': KHRAP/*P/-G
'her': HER
'hands.': HAPBDZ/TP-PL
'"Should': KW-GS/KPA*/SHO
'I': EU
'be': -B
'able': ABL
'to': TO
'see': SAOE
'these': THEZ
'flowers?"': TPHRO*URS/H-F/KR-GS
'"Yes,"': KW-GS/KPA*/KWRE/KW-BG/KR-GS
'said': SED
'the': -T
'student,': STAUPB/KW-BG
'"mind': KW-GS/PHAOEUPBD
'you': U
'think': THEU
'of': -F
'it': T
'the': -T
'next': TPHEGT
'time': TAOEUPL
'you': U
'go': TKPW
'out,': OUT/KW-BG
'no': TPHO
'doubt': TKOUT
'you': U
'will': HR
'see': SAOE
'them,': THEPL/KW-BG
'if': TP
'you': U
'peep': PAOEP
'through': THRU
'the': -T
'window.': WOEUPBD/TP-PL
'I': EU
'did': TK
'so': SO
'to-day,': TO/TKA*EU/KW-BG
'and': SKP
'I': EU
'saw': SAU
'a': AEU
'long': HROPBG
'yellow': KWREL/OE
'lily': HREUL/KWREU
'lying': HRAOEUG
'stretched': STREFPD
'out': OUT
'on': OPB
'the': -T
'sofa.': SOEF/A/TP-PL
'She': KPA/SHE
'was': WAS
'a': AEU
'court': KORT
'lady."': HRA*ED/TP-PL/KR-GS
'"Can': KW-GS/KPA*/K
'the': -T
'flowers': TPHRO*URS
'from': TPR
'the': -T
'Botanical': KPA/PWO/TAPB/K-L
'Gardens': KPA/TKPWARD/-PBS
'go': TKPW
'to': TO
'these': THEZ
'balls?"': PWAULS/H-F/KR-GS
'asked': SK-D
'Ida.': KPA/EUD/SKWRA/TP-PL
'"It': KW-GS/KPA*/T
'is': S
'such': SUFP
'a': AEU
'distance!"': STKAPBS/SKHRAPL/KR-GS
'"Oh': KW-GS/KPA*/O*ERBGS
'yes,"': KWRERBGS/KR-GS
'said': SED
'the': -T
'student,': STAUPB/KW-BG
'"whenever': KW-GS/WHEFR
'they': THE
'like,': SKWRAURBGS/HRAO*EUBG
'for': TPOR
'they': THE
'can': K
'fly.': TPHRAOEU/TP-PL
'Have': KPA/SR
'you': U
'not': TPHOT
'seen': SAOEPB
'those': THOZ
'beautiful': PWAOUFL
'red,': RED/KW-BG
'white,': WHAOEUT/KW-BG
'and': SKP
'yellow': KWREL/OE
'butterflies,': PW*URT/TPHRAOEU/-S/KW-BG
'that': THA
'look': HRAOBG
'like': HRAOEUBG
'flowers?': TPHRO*URS/H-F
'They': KPA/THE
'were': WR
'flowers': TPHRO*URS
'once.': WUPBS/TP-PL
'They': KPA/THE
'have': SR
'flown': TPHROEPB
'off': OF
'their': THAEUR
'stalks': STAUBGS
'into': TPHAO
'the': -T
'air,': AEUR/KW-BG
'and': SKP
'flap': TPHRAP
'their': THAEUR
'leaves': HREFS
'as': AS
'if': TP
'they': THE
'were': WR
'little': HREUL
'wings': WEUPBGS
'to': TO
'make': PHAEUBG
'them': THEPL
'fly.': TPHRAOEU/TP-PL
'Then,': KPA/THEPB/KW-BG
'if': TP
'they': THE
'behave': PWAEUF
'well,': WEL/KW-BG
'they': THE
'obtain': OB/TAEUPB
'permission': PERPLGS
'to': TO
'fly': TPHRAOEU
'about': PW
'during': TKURG
'the': -T
'day,': TKAEU/KW-BG
'instead': STPHED
'of': -F
'being': -BG
'obliged': OE/PWHRAOEUPBLGD
'to': TO
'sit': SEUT
'still': STEUL
'on': OPB
'their': THAEUR
'stems': STEPLS
'at': AT
'home,': HOEPL/KW-BG
'and': SKP
'so': SO
'in': TPH
'time': TAOEUPL
'their': THAEUR
'leaves': HREFS
'become': PW-BG
'real': RAEL
'wings.': WEUPBGS/TP-PL
'It': KPA/T
'may': PHAEU
'be,': -B/KW-BG
'however,': HOUF/KW-BG
'that': THA
'the': -T
'flowers': TPHRO*URS
'in': TPH
'the': -T
'Botanical': KPA/PWO/TAPB/K-L
'Gardens': KPA/TKPWARD/-PBS
'have': SR
'never': TPHEFR
'been': PW-PB
'to': TO
'the': -T
'king's': KEUPBG/AES
'palace,': PAL/AS/KW-BG
'and,': SKP/KW-BG
'therefore,': TH-FR/KW-BG
'they': THE
'know': TPHOE
'nothing': TPHOG
'of': -F
'the': -T
'merry': PHER/REU
'doings': TK*G/-S
'at': AT
'night,': TPHAOEUT/KW-BG
'which': WEU
'take': TAEUBG
'place': PHRAEUS
'there.': THR/TP-PL
'I': EU
'will': HR
'tell': TEL
'you': U
'what': WHA
'to': TO
'do,': TKORBGS
'and': SKP
'the': -T
'botanical': PWO/TAPB/K-L
'professor,': PROEFR/KW-BG
'who': WHO
'lives': HREUFS
'close': KHROES
'by': PWEU
'here,': HAOERBGS
'will': HR
'be': -B
'so': SO
'surprised.': SPRAOEUFD/TP-PL
'You': KPA/U
'know': TPHOE
'him': HEUPL
'very': SRE
'well,': WEL/KW-BG
'do': TKO
'you': U
'not?': TPHOT/H-F
'Well,': KPA/WEL/KW-BG
'next': TPHEGT
'time': TAOEUPL
'you': U
'go': TKPW
'into': TPHAO
'his': HEUS
'garden,': TKPWA*RPB/KW-BG
'you': U
'must': PHUFT
'tell': TEL
'one': WUPB
'of': -F
'the': -T
'flowers': TPHRO*URS
'that': THA
'there': THR
'is': S
'going': TKPW-G
'to': TO
'be': -B
'a': AEU
'grand': TKPWRAPBD
'ball': PWAUL
'at': AT
'the': -T
'castle,': KAFL/KW-BG
'then': THEPB
'that': THA
'flower': TPHRO*UR
'will': HR
'tell': TEL
'all': AUL
'the': -T
'others,': OERS/KW-BG
'and': SKP
'they': THE
'will': HR
'fly': TPHRAOEU
'away': WA*EU
'to': TO
'the': -T
'castle': KAFL
'as': AS
'soon': SAOPB
'as': AS
'possible.': POB/TP-PL
'And': AFPBD
'when': WHEPB
'the': -T
'professor': PROEFR
'walks': WAUBGS
'into': TPHAO
'his': HEUS
'garden,': TKPWA*RPB/KW-BG
'there': THR
'will': HR
'not': TPHOT
'be': -B
'a': AEU
'single': SEUPBLG
'flower': TPHRO*UR
'left.': HREFT/TP-PL
'How': KPA/HOU
'he': HE
'will': HR
'wonder': WOPBD
'what': WHA
'has': HAS
'become': PW-BG
'of': -F
'them!"': THEPL/SKHRAPL/KR-GS
'"But': KW-GS/KPA*/PWUT
'how': HOU
'can': K
'one': WUPB
'flower': TPHRO*UR
'tell': TEL
'another?': TPHOER/H-F
'Flowers': KPA/TPHRO*URS
'cannot': SK-PBT
'speak?"': SPAOEBG/H-F/KR-GS
'"No,': KW-GS/KPA*/TPHO/KW-BG
'certainly': SERPBL
'not,"': TPHOT/KW-BG/KR-GS
'replied': RE/PHRAOEUD
'the': -T
'student;': STAUPB/STPH*FPLT
'"but': KW-GS/PWUT
'they': THE
'can': K
'make': PHAEUBG
'signs.': SAOEUPBS/TP-PL
'Have': KPA/SR
'you': U
'not': TPHOT
'often': OFPB
'seen': SAOEPB
'that': THA
'when': WHEPB
'the': -T
'wind': WEUPBD
'blows': PWHROES
'they': THE
'nod': TPHOD
'at': AT
'one': WUPB
'another,': TPHOER/KW-BG
'and': SKP
'rustle': RUFLT
'all': AUL
'their': THAEUR
'green': TKPWRAOEPB
'leaves?"': HREFS/H-F/KR-GS
'"Can': KW-GS/KPA*/K
'the': -T
'professor': PROEFR
'understand': URPBD
'the': -T
'signs?"': SAOEUPBS/H-F/KR-GS
'asked': SK-D
'Ida.': KPA/EUD/SKWRA/TP-PL
'"Yes,': KW-GS/KPA*/KWRE/KW-BG
'to': TO
'be': -B
'sure': SHUR
'he': HE
'can.': K/TP-PL
'He': KPA/HE
'went': WEPBT
'one': WUPB
'morning': PHORPBG
'into': TPHAO
'his': HEUS
'garden,': TKPWA*RPB/KW-BG
'and': SKP
'saw': SAU
'a': AEU
'stinging': STEUPBG/-G
'nettle': TPHET/*L
'making': PHAEUG
'signs': SAOEUPBS
'with': W
'its': EUTS
'leaves': HREFS
'to': TO
'a': AEU
'beautiful': PWAOUFL
'red': RED
'carnation.': KARPB/AEUGS/TP-PL
'It': KPA/T
'was': WAS
'saying,': SAEUG/KW-BG
''You': A*E/KPA*/U
'are': R
'so': SO
'pretty,': PREUT/KW-BG
'I': EU
'like': HRAOEUBG
'you': U
'very': SRE
'much.'': PHUFP/TP-PL/AE
'But': KPA/PWUT
'the': -T
'professor': PROEFR
'did': TK
'not': TPHOT
'approve': A/PROF
'of': -F
'such': SUFP
'nonsense,': TPHOPB/SEPBS/KW-BG
'so': SO
'he': HE
'clapped': KHRAP/-D
'his': HEUS
'hands': HAPBDZ
'on': OPB
'the': -T
'nettle': TPHET/*L
'to': TO
'stop': STOP
'it.': T/TP-PL
'Then': KPA/THEPB
'the': -T
'leaves,': HREFS/KW-BG
'which': WEU
'are': R
'its': EUTS
'fingers,': TPEURPBGS/KW-BG
'stung': STUPBG
'him': HEUPL
'so': SO
'sharply': SHARP/HREU
'that': THA
'he': HE
'has': HAS
'never': TPHEFR
'ventured': SRERPBTD
'to': TO
'touch': TUFP
'a': AEU
'nettle': TPHET/*L
'since."': SEUPBS/TP-PL/KR-GS
'"Oh': KW-GS/KPA*/O*ERBGS
'how': HOU
'funny!"': TPAOUPB/SKHRAPL/KR-GS
'said': SED
'Ida,': KPA/EUD/SKWRA/KW-BG
'and': SKP
'she': SHE
'laughed.': HRAFD/TP-PL
'"How': KW-GS/KPA*/HOU
'can': K
'anyone': TPHEUPB
'put': PUT
'such': SUFP
'notions': TPHOEGS/-S
'into': TPHAO
'a': AEU
'child's': KHAOEULD/AES
'head?"': HED/H-F/KR-GS
'said': SED
'a': AEU
'tiresome': TAOEUR/SO*PL
'lawyer,': HRAUR/KW-BG
'who': WHO
'had': H
'come': KOPL
'to': TO
'pay': PAEU
'a': AEU
'visit,': SREUFT/KW-BG
'and': SKP
'sat': SAT
'on': OPB
'the': -T
'sofa.': SOEF/A/TP-PL
'He': KPA/HE
'did': TK
'not': TPHOT
'like': HRAOEUBG
'the': -T
'student,': STAUPB/KW-BG
'and': SKP
'would': WO
'grumble': TKPWRUPL/-BL
'when': WHEPB
'he': HE
'saw': SAU
'him': HEUPL
'cutting': KUGT
'out': OUT
'droll': TKROL
'or': OR
'amusing': A/PHAOUFG
'pictures.': P*EUFPS/TP-PL
'Sometimes': KPA/STAOEUPLS
'it': T
'would': WO
'be': -B
'a': AEU
'man': PHAPB
'hanging': HAPBG/-G
'on': OPB
'a': AEU
'gibbet': TKPWEUB/ET
'and': SKP
'holding': HOELGD
'a': AEU
'heart': HART
'in': TPH
'his': HEUS
'hand': HAPBD
'as': AS
'if': TP
'he': HE
'had': H
'been': PW-PB
'stealing': STAELG
'hearts.': HARTS/TP-PL
'Sometimes': KPA/STAOEUPLS
'it': T
'was': WAS
'an': APB
'old': OLD
'witch': WEUFP
'riding': RAOEUD/-G
'through': THRU
'the': -T
'air': AEUR
'on': OPB
'a': AEU
'broom': PWRAOPL
'and': SKP
'carrying': KAERG
'her': HER
'husband': HUS
'on': OPB
'her': HER
'nose.': TPHOES/TP-PL
'But': KPA/PWUT
'the': -T
'lawyer': HRAUR
'did': TK
'not': TPHOT
'like': HRAOEUBG
'such': SUFP
'jokes,': SKWROEBGS/KW-BG
'and': SKP
'he': HE
'would': WO
'say': SAEU
'as': AS
'he': HE
'had': H
'just': SKWRUFT
'said,': SED/KW-BG
'"How': KW-GS/KPA*/HOU
'can': K
'anyone': TPHEUPB
'put': PUT
'such': SUFP
'nonsense': TPHOPB/SEPBS
'into': TPHAO
'a': AEU
'child's': KHAOEULD/AES
'head!': HED/SKHRAPL
'what': WHA
'absurd': AB/SURD
'fancies': TPAPB/SEU/-S
'there': THR
'are!"': R/SKHRAPL/KR-GS
'But': KPA/PWUT
'to': TO
'little': HREUL
'Ida,': KPA/EUD/SKWRA/KW-BG
'all': AUL
'these': THEZ
'stories': STOERS
'which': WEU
'the': -T
'student': STAUPB
'told': TOLD
'her': HER
'about': PW
'the': -T
'flowers,': TPHRO*URS/KW-BG
'seemed': SAOEPLD
'very': SRE
'droll,': TKROL/KW-BG
'and': SKP
'she': SHE
'thought': THAUT
'over': OEFR
'them': THEPL
'a': AEU
'great': TKPWRAET
'deal.': TKAOEL/TP-PL
'The': KPA/-T
'flowers': TPHRO*URS
'did': TK
'hang': HAPBG
'their': THAEUR
'heads,': HEDZ/KW-BG
'because': PWAU
'they': THE
'had': H
'been': PW-PB
'dancing': TKAPBS/-G
'all': AUL
'night,': TPHAOEUT/KW-BG
'and': SKP
'were': WR
'very': SRE
'tired,': TAOEURD/KW-BG
'and': SKP
'most': PHOFT
'likely': HRAOEULG
'they': THE
'were': WR
'ill.': EUL/TP-PL
'Then': KPA/THEPB
'she': SHE
'took': TAOBG
'them': THEPL
'into': TPHAO
'the': -T
'room': RAOPL
'where': W-R
'a': AEU
'number': TPHUPL
'of': -F
'toys': TOEUS
'lay': HRAEU
'on': OPB
'a': AEU
'pretty': PREUT
'little': HREUL
'table,': TAEUBL/KW-BG
'and': SKP
'the': -T
'whole': WHOEL
'of': -F
'the': -T
'table': TAEUBL
'drawer': TKRAUR
'besides': PW-DZ
'was': WAS
'full': TPUL
'of': -F
'beautiful': PWAOUFL
'things.': THEUPBGS/TP-PL
'Her': KPA/HER
'doll': TKOL
'Sophy': S*P/O*/P*/H*/KWREU
'lay': HRAEU
'in': TPH
'the': -T
'doll's': TKOL/AES
'bed': PWED
'asleep,': A/SHRAOEP/KW-BG
'and': SKP
'little': HREUL
'Ida': KPA/EUD/SKWRA
'said': SED
'to': TO
'her,': HER/KW-BG
'"You': KW-GS/KPA*/U
'must': PHUFT
'really': R-L
'get': TKPWET
'up': UP
'Sophy,': S*P/O*/P*/H*/KWREU/KW-BG
'and': SKP
'be': -B
'content': KAUPBT
'to': TO
'lie': HRAOEU
'in': TPH
'the': -T
'drawer': TKRAUR
'to-night;': TO/H-PB/TPHAOEUT/STPH*FPLT
'the': -T
'poor': PAOR
'flowers': TPHRO*URS
'are': R
'ill,': EUL/KW-BG
'and': SKP
'they': THE
'must': PHUFT
'lie': HRAOEU
'in': TPH
'your': KWROUR
'bed,': PWED/KW-BG
'then': THEPB
'perhaps': PRAPS
'they': THE
'will': HR
'get': TKPWET
'well': WEL
'again."': TKPWEPB/TP-PL/KR-GS
'So': KPA/SO
'she': SHE
'took': TAOBG
'the': -T
'doll': TKOL
'out,': OUT/KW-BG
'who': WHO
'looked': HRAOBGD
'quite': KWAOEUT
'cross,': KROS/KW-BG
'and': SKP
'said': SED
'not': TPHOT
'a': AEU
'single': SEUPBLG
'word,': WORD/KW-BG
'for': TPOR
'she': SHE
'was': WAS
'angry': APBG/REU
'at': AT
'being': -BG
'turned': TURPBD
'out': OUT
'of': -F
'her': HER
'bed.': PWED/TP-PL
'Ida': KPA/EUD/SKWRA
'placed': PHRAEUFD
'the': -T
'flowers': TPHRO*URS
'in': TPH
'the': -T
'doll's': TKOL/AES
'bed,': PWED/KW-BG
'and': SKP
'drew': TKRAOU
'the': -T
'quilt': KWEULT
'over': OEFR
'them.': THEPL/TP-PL
'Then': KPA/THEPB
'she': SHE
'told': TOLD
'them': THEPL
'to': TO
'lie': HRAOEU
'quite': KWAOEUT
'still': STEUL
'and': SKP
'be': -B
'good,': TKPWAOD/KW-BG
'while': WHAOEUL
'she': SHE
'made': PHAED
'some': SOPL
'tea': TAE
'for': TPOR
'them,': THEPL/KW-BG
'so': SO
'that': THA
'they': THE
'might': PHAOEUT
'be': -B
'quite': KWAOEUT
'well': WEL
'and': SKP
'able': ABL
'to': TO
'get': TKPWET
'up': UP
'the': -T
'next': TPHEGT
'morning.': PHORPBG/TP-PL
'And': AFPBD
'she': SHE
'drew': TKRAOU
'the': -T
'curtains': KUR/TEUPBS
'close': KHROES
'round': ROUPBD
'the': -T
'little': HREUL
'bed,': PWED/KW-BG
'so': SO
'that': THA
'the': -T
'sun': SUPB
'might': PHAOEUT
'not': TPHOT
'shine': SHAOEUPB
'in': TPH
'their': THAEUR
'eyes.': AO*EUS/TP-PL
'During': KPA/TKURG
'the': -T
'whole': WHOEL
'evening': AOEPBG
'she': SHE
'could': KO
'not': TPHOT
'help': HEP
'thinking': THEUG
'of': -F
'what': WHA
'the': -T
'student': STAUPB
'had': H
'told': TOLD
'her.': HER/TP-PL
'And': AFPBD
'before': PW-FR
'she': SHE
'went': WEPBT
'to': TO
'bed': PWED
'herself,': H*ERS/KW-BG
'she': SHE
'was': WAS
'obliged': OE/PWHRAOEUPBLGD
'to': TO
'peep': PAOEP
'behind': HEUPBD
'the': -T
'curtains': KUR/TEUPBS
'into': TPHAO
'the': -T
'garden': TKPWA*RPB
'where': W-R
'all': AUL
'her': HER
'mother's': PHOER/AES
'beautiful': PWAOUFL
'flowers': TPHRO*URS
'grew,': TKPWRAOU/KW-BG
