The Chaos
'it's': T-S
'written).': WREUPB/PR*EPB/TP-PL
'Made': KPA/PHAED
'has': HAS
'not': TPHOT
'the': -T
'sound': SOUPBD
'of': -F
'bade,': PWAEUD/KW-BG
'Say': KPA/SAEU
'-': H-PB
'said,': SED/KW-BG
'pay': PAEU
'-': H-PB
'paid,': PAEUD/KW-BG
'laid': HRAEUD
'but': PWUT
'plaid.': PHRAD/TP-PL
'Now': KPA/TPHOU
'I': EU
'surely': SHURL
'will': HR
'not': TPHOT
'plague': PHRA*EUG
'you': U
'With': KPA/W
'such': SUFP
'words': WORDZ
'as': AS
'vague': SRAEUG
'and': SKP
'ague,': A*/HRO*ER/TKPWU/SKWR*E/KW-BG
'But': KPA/PWUT
'be': -B
'careful': KAEUFL
'how': HOU
'you': U
'speak,': SPAOEBG/KW-BG
'Say:': KPA/SAEU/STPH-FPLT
'gush,': TKPWURB/KW-BG
'bush,': PWURB/KW-BG
'steak,': STAEBG/KW-BG
'streak,': STRAOEBG/KW-BG
'break,': PWRAEBG/KW-BG
'bleak,': PWHRAEBG/KW-BG
'Previous,': KPA/PRAOEF/KW-BG
'precious,': PRERBS/KW-BG
'fuchsia,': TPAOURB/KWRA/KW-BG
'via': SRAOE/A
'Recipe,': KPA/RES/PEU/KW-BG
'pipe,': PAOEUP/KW-BG
'studding-sail,': STUD/-G/H-PB/SAEUL/KW-BG
'choir;': KHOEUR/STPH*FPLT
'Woven,': KPA/WOEFPB/KW-BG
'oven,': OEFPB/KW-BG
'how': HOU
'and': SKP
'low,': HROE/KW-BG
'Script,': KPA/SKREUPT/KW-BG
'receipt,': RAOET/KW-BG
'shoe,': SHAOU/KW-BG
'poem,': POEPL/KW-BG
'toe.': TO*E/TP-PL
'Say,': KPA/SAEU/KW-BG
'expecting': EBGS/PEG
'fraud': TPRAUD
'and': SKP
'trickery:': TREUBG/REU/STPH-FPLT
'Daughter,': KPA/TKAUR/KW-BG
'laughter': HRAFR
'and': SKP
'Terpsichore,': KPA/TER/*P/-S/SKWREU/*FP/O*R/SKWR*E/KW-BG
'Branch,': KPA/PWRAFRPB/KW-BG
'ranch,': RAFRPB/KW-BG
'measles,': PHAOEFLS/KW-BG
'topsails,': TOP/TK-LS/SAEUL/-S/KW-BG
'aisles,': AOEULSZ/KW-BG
'Missiles,': KPA/PHEUFLS/KW-BG
'similes,': SEUPL/HRE/-S/KW-BG
'reviles.': RE/SRAOEUL/-S/TP-PL
'Wholly,': KPA/WHOE/HREU/KW-BG
'holly,': HOL/HREU/KW-BG
'signal,': STPHAL/KW-BG
'signing,': SAOEUPBG/KW-BG
'Same,': KPA/SAEUPL/KW-BG
'examining,': KP-G/KW-BG
'but': PWUT
'mining,': PHAOEUPBG/KW-BG
'Scholar,': KPA/SKHRAR/KW-BG
'vicar,': SREU/KAR/KW-BG
'and': SKP
'cigar,': STKPWAR/KW-BG
'Solar,': KPA/SOL/A*R/KW-BG
'mica,': PHAOEUBG/KA/KW-BG
'war': WAR
'and': SKP
'far.': TPAR/TP-PL
'From': KPA/TPR
'"desire":': KW-GS/STKAOEUR/KR-GS/STPH-FPLT
'desirable': STKAOEURBL
'-': H-PB
'admirable': AD/PHEURBL
'from': TPR
'"admire",': KW-GS/AD/PHAOEUR/KR-GS/KW-BG
'Lumber,': KPA/HRUPL/PWER/KW-BG
'plumber,': PHRUPL/ER/KW-BG
'bier,': PWEUR/KW-BG
'but': PWUT
'brier,': PW*/R*/KWRER/KW-BG
'Topsham,': KPA/TOPS/HA*PL/KW-BG
'brougham,': HRO*ER/PWROEPL/KW-BG
'renown,': RE/TPHOUPB/KW-BG
'but': PWUT
'known,': TPHOEPB/KW-BG
'Knowledge,': KPA/TPHOPBLG/KW-BG
'done,': TKOPB/KW-BG
'lone,': HROEPB/KW-BG
'gone,': TKPWOPB/KW-BG
'none,': TPHOPB/KW-BG
'tone,': TOEPB/KW-BG
'One,': KPA/WUPB/KW-BG
'anemone,': A/PHEPB/PHE/KW-BG
'Balmoral,': KPA/PWAUPL/O*R/A*L/KW-BG
'Kitchen,': KPA/K-FP/KW-BG
'lichen,': HREUFP/*EPB/KW-BG
'laundry,': HRAUPBD/REU/KW-BG
'laurel.': HRAU/REL/TP-PL
'Gertrude,': TKPWER/TRAOUD/KW-BG
'German,': SKWR*ERPB/KW-BG
'wind': WEUPBD
'and': SKP
'wind,': WEUPBD/KW-BG
'Beau,': PWA*E/SKWRU/KW-BG
'kind,': KEUPBD/KW-BG
'kindred,': KEUPBD/RED/KW-BG
'queue,': KWAOU/KW-BG
'mankind,': PHAPB/KAOEUPBD/KW-BG
'Tortoise,': KPA/TOR/TOS/KW-BG
'turquoise,': TUR/KOEUS/KW-BG
'chamois-leather,': KR*/H*/A*/PH*/O*/*EU/S*/H-PB/HRE/THER/KW-BG
'Reading,': KPA/RAEGD/KW-BG
'Reading,': KPA/RAEGD/KW-BG
'heathen,': HAOE/THEPB/KW-BG
'heather.': H*ET/*ER/TP-PL
'This': KPA/TH
'phonetic': TPOEPB/TEUBG
'labyrinth': HRAB/R*EUPBT
'Gives': KPA/TKPWEUFS
'moss,': PHOS/KW-BG
'gross,': TKPWROS/KW-BG
'brook,': PWRAOBG/KW-BG
'brooch,': PWRAOFP/KW-BG
'ninth,': TPHAO*EUPBT/KW-BG
'plinth.': PHR*EUPBT/TP-PL
'Have': KPA/SR
'you': U
'ever': -FR
'yet': KWRET
'endeavoured': EPB/TKEFRD/A*U
'To': KPA/TO
'pronounce': PROUPBS
'revered': RE/SRAOERD
'and': SKP
'severed,': SEFRD/KW-BG
'Demon,': KPA/TKE/PHOPB/KW-BG
'lemon,': HREPL/-PB/KW-BG
'ghoul,': TKPWOUL/KW-BG
'foul,': TPOUL/KW-BG
'soul,': SOUL/KW-BG
'Peter,': PAOERT/KW-BG
'petrol': PE/TROL
'and': SKP
'patrol?': PROL/H-F
'Billet': KPA/PWEUL/ET
'does': TKOS
'not': TPHOT
'end': EPBD
'like': HRAOEUBG
'ballet;': PWA/HRAEU/STPH*FPLT
'Bouquet,': KPA/PWOE/KAEU/KW-BG
'wallet,': WALT/KW-BG
'mallet,': PHALT/KW-BG
'chalet.': KHA/HRAEU/TP-PL
'Blood': KPA/PWHRAOD
'and': SKP
'flood': TPHRAOD
'are': R
'not': TPHOT
'like': HRAOEUBG
'food,': TPAOD/KW-BG
'Nor': KPA/TPH-R
'is': S
'mould': PHOULD
'like': HRAOEUBG
'should': SHO
'and': SKP
'would.': WO/TP-PL
'Banquet': KPA/PWAPB/KWET
'is': S
'not': TPHOT
'nearly': TPHAOERL
'parquet,': PAR/KAEU/KW-BG
'Which': KPA/WEU
'exactly': ELG
'rhymes': RAOEUPLS
'with': W
'khaki.': KA/KAOE/TP-PL
'Discount,': KPA/TK-BG/KW-BG
'viscount,': SR*/*EU/S*/TK-LS/KOUPBT/KW-BG
'load': HRAOD
'and': SKP
'broad,': PWRAOD/KW-BG
'Toward,': KPA/TORD/KW-BG
'to': TO
'forward,': TPAORD/KW-BG
'to': TO
'reward,': RE/WARD/KW-BG
'Ricocheted': KPA/REUBG/KHAEU/-D
'and': SKP
'crocheting,': KROE/KHAEU/-G/KW-BG
'croquet?': KROE/KAEU/H-F
'Right!': KPA/RAOEUT/SKHRAPL
'Your': KPA/KWROUR
'pronunciation's': PROUPBGS/AES
'OK.': *URP/O*EBG/TP-PL
'Rounded,': KPA/ROUPBD/-D/KW-BG
'wounded,': WOUPBD/-D/KW-BG
'grieve': TKPWREF
'and': SKP
'sieve,': SEUF/KW-BG
'Friend': KPA/TPREPBD
'and': SKP
'fiend,': TPAOEPBD/KW-BG
'alive': A/HRAOEUF
'and': SKP
'live.': HREUF/TP-PL
'Is': KPA/S
'your': KWROUR
'R': R*P
'correct': KREBGT
'in': TPH
'higher?': HAOEUR/H-F
'Keats': KAOET/-S
'asserts': A/SERTS
'it': T
'rhymes': RAOEUPLS
'with': W
'Thalia.': T*P/H*/A*L/SKWREU/KWRA/TP-PL
'Hugh,': HAOUG/KW-BG
'but': PWUT
'hug,': HUG/KW-BG
'and': SKP
'hood,': HAOD/KW-BG
'but': PWUT
'hoot,': HAOT/KW-BG
'Buoyant,': KPA/PWOEUPBT/KW-BG
'minute,': PHEURPBGS
'but': PWUT
'minute.': PHEUPB/TP-PL
'Say': KPA/SAEU
'abscission': A*/PW*/S*/KR*/SKWREU/-S/-S/SKWREU/KWRO/*PB
'with': W
'precision,': PRE/SEUGS/KW-BG
'Now:': KPA/TPHOU/STPH-FPLT
'position': POGS
'and': SKP
'transition;': TREUGS/STPH*FPLT
'Would': KPA/WO
'it': T
'tally': TAL/HREU
'with': W
'my': PHEU
'rhyme': RAOEUPL
'If': KPA/TP
'I': EU
'mentioned': PHEPBGS/-D
'paradigm?': PAR/TKEUPL/H-F
'Twopence,': KPA/TWO/*P/EPBS/KW-BG
'threepence,': THRAOE/*P/EPBS/KW-BG
'tease': TAOES
'are': R
'easy,': EZ/KW-BG
'But': KPA/PWUT
'cease,': SAOES/KW-BG
'crease,': KRAOES/KW-BG
'grease': TKPWRAES
'and': SKP
'greasy?': TKPWRAE/SEU/H-F
'Cornice,': KPA/KORPB/EUS/KW-BG
'nice,': TPHAOEUS/KW-BG
'valise,': SRA/HRAOEUS/KW-BG
'revise,': RE/SRAOEUS/KW-BG
'Rabies,': KPA/RAB/KWREUS/KW-BG
'but': PWUT
'lullabies.': HRUL/PWEU/-S/TP-PL
'Of': KPA/-F
'such': SUFP
'puzzling': PUZ/-LG
'words': WORDZ
'as': AS
'nauseous,': TPHAURBS/KW-BG
'Rhyming': R*P/H*/KWR*/PH*/-G
'well': WEL
'with': W
'cautious,': KAURBS/KW-BG
'tortious,': TOR/-RBS/KW-BG
'You'll': KPA/UL
'envelop': EPB/SREL/OP
'lists,': HR*EUS/-S/KW-BG
'I': EU
'hope,': HOEP/KW-BG
'In': KPA/TPH
'a': AEU
'linen': HREUPB/-PB
'envelope.': TPH-FL/TP-PL
'Would': KPA/WO
'you': U
'like': HRAOEUBG
'some': SOPL
'more?': PHOR/H-F
'You'll': KPA/UL
'have': SR
'it!': T/SKHRAPL
'Affidavit,': KPA/AF/TKAEUFT/KW-BG
'David,': TKAEUFD/KW-BG
'davit.': TK*/A*/SR*/*EU/T*/TP-PL
'To': KPA/TO
'abjure,': AB/SKWRUR/KW-BG
'to': TO
'perjure.': PER/SKWRUR/TP-PL
'Sheik': KPA/SHE/SKWREU/*BG
'Does': KPA/TKOS
'not': TPHOT
'sound': SOUPBD
'like': HRAOEUBG
'Czech': SH*EBG
'but': PWUT
'ache.': AEUBG/TP-PL
'Liberty,': HR*EURBT/KW-BG
'library,': HRAOEURB/KW-BG
'heave': HAOEF
'and': SKP
'heaven,': HEFPB/KW-BG
'Rachel,': RAEU/KHEL/KW-BG
'loch,': HRO/*FP/KW-BG
'moustache,': PHUS/STARB/KW-BG
'eleven.': HREFPB/TP-PL
'We': KPA/WE
'say': SAEU
'hallowed,': HAL/HROE/-D/KW-BG
'but': PWUT
'allowed,': HRO*UD/KW-BG
'People,': KPA/PAOEPL/KW-BG
'leopard,': HREP/ARD/KW-BG
'towed': TOE/-D
'but': PWUT
'vowed.': SROUD/TP-PL
'Mark': PHA*RBG
'the': -T
'difference,': TKEUFRPBS/KW-BG
'moreover,': PHROEFR/KW-BG
'Between': KPA/TWAOEPB
'mover,': PHOFR/KW-BG
'plover,': PHRO*FR/KW-BG
'Dover.': TKOEFR/TP-PL
'Leeches,': KPA/HRAOEFP/SKWR*E/-S/KW-BG
'breeches,': PWRAOEFP/-S/KW-BG
'wise,': WAOEUS/KW-BG
'precise,': PRE/SAOEUS/KW-BG
'Chalice,': KPA/KHAL/EUS/KW-BG
'but': PWUT
'police': PHREUS
'and': SKP
'lice,': HRAOEUS/KW-BG
'Camel,': KPA/KAPL/EL/KW-BG
'constable,': KAUPB/STABL/KW-BG
'unstable,': UPB/STAEUBL/KW-BG
'Principle,': KPA/PREUPB/KW-BG
'disciple,': TKEUS/AOEUPL/KW-BG
'label.': HRAUBL/TP-PL
'Petal,': KPA/PET/A*L/KW-BG
'penal,': PAOEPBL/KW-BG
'and': SKP
'canal,': KAPBL/KW-BG
'Wait,': KPA/WAEUT/KW-BG
'surmise,': SUR/PHAOEUS/KW-BG
'plait,': PHRA*EUT/KW-BG
'promise,': PROPLS/KW-BG
'pal,': PAL/KW-BG
'Suit,': KPA/SAOUT/KW-BG
'suite,': SWAO*ET/KW-BG
'ruin.': RAOUPB/TP-PL
'Circuit,': KPA/SEURBGT/KW-BG
'conduit': KAUPB/TKAOUT
'Rhyme': KPA/RAOEUPL
'with': W
'"shirk': KW-GS/SHEURBG
'it"': T/KR-GS
'and': SKP
'"beyond': KW-GS/KWROPBD
'it",': T/KR-GS/KW-BG
'But': KPA/PWUT
'it': T
'is': S
'not': TPHOT
'hard': HARD
'to': TO
'tell': TEL
'Why': KPA/KWR
'it's': T-S
'pall,': P*/A*/HR*/HR*/KW-BG
'mall,': PHAUL/KW-BG
'but': PWUT
'Pall': P*P/A*/HR*/HR*
'Mall.': KPA/PHAUL/TP-PL
'Muscle,': KPA/PH*UL/KW-BG
'muscular,': PHUFBG/HRAR/KW-BG
'gaol,': SKWRAEUL/A*U/KW-BG
'iron,': AOEURPB/KW-BG
'Timber,': KPA/TEUPL/PWER/KW-BG
'climber,': KHRAOEUPL/*ER/KW-BG
'bullion,': PWUL/KWROPB/KW-BG
'lion,': HRO*EUPB/KW-BG
'Worm': KPA/WORPL
'and': SKP
'storm,': STORPL/KW-BG
'chaise,': KHAEUZ/KW-BG
'chaos,': KAEU/OS/KW-BG
'chair,': KHAEUR/KW-BG
'Senator,': STPHO*R/KW-BG
'spectator,': SPEBGT/AEURT/KW-BG
'mayor,': PHAEUR/KW-BG
'Ivy,': KPA/AOEU/SREU/KW-BG
'privy,': PREU/SREU/KW-BG
'famous;': TPAEUPLS/STPH*FPLT
'clamour': KHRA/PHOUR/A*U
'Has': KPA/HAS
'the': -T
'A': KPA/AEU
'of': -F
'drachm': TK*/R*/A*/KR*/H*/PH*
'and': SKP
'hammer.': HAERPL/TP-PL
'Pussy,': KPA/PUS/KWREU/KW-BG
'hussy': H*/SKWRU/-S/-S/KWREU
'and': SKP
'possess,': PESZ/KW-BG
'Desert,': KPA/STK*ERT/KW-BG
'but': PWUT
'desert,': STK*ERT/KW-BG
'address.': A/TKRES/TP-PL
'Golf,': KPA/TKPWOFL/KW-BG
'wolf,': WOFL/KW-BG
'countenance,': KOUPBT/TPHAPBS/KW-BG
'lieutenants': HRAO*UT/-S
'Hoist': KPA/HOEUFT
'in': TPH
'lieu': HRAOU
'of': -F
'flags': TPHRAGS
'left': HREFT
'pennants.': PEPB/TPHAPBT/-S/TP-PL
'Courier,': KPA/KOR/KWRER/KW-BG
'courtier,': KORT/KWRA*U/KW-BG
'tomb,': TAOUPL/KW-BG
'bomb,': PWOPL/KW-BG
'comb,': KOEPL/KW-BG
'Cow,': KPA/KOU/KW-BG
'but': PWUT
'Cowper,': KOUP/*ER/KW-BG
'some': SOPL
'and': SKP
'home.': HOEPL/TP-PL
'"Solder,': KW-GS/KPA*/SOD/*ER/KW-BG
'soldier!': SHRERPBLG/SKHRAPL
'Blood': KPA/PWHRAOD
'is': S
'thicker",': THEURBG/KR-GS/KW-BG
'Quoth': KPA/KW*/*U/O*/T*/H*
'he,': HE/KW-BG
'"than': KW-GS/THAPB
'liqueur': HREUBG/KER
'or': OR
'liquor",': HREU/KWOR/KR-GS/KW-BG
'Making,': KPA/PHAEUG/KW-BG
'it': T
'is': S
'sad': SAD
'but': PWUT
'true,': TRAOU/KW-BG
'In': KPA/TPH
'bravado,': PWRA/SRA/TKO/KW-BG
'much': PHUFP
'ado.': A/TKO/TP-PL
'Stranger': KPA/STRAEURPBG
'does': TKOS
'not': TPHOT
'rhyme': RAOEUPL
'with': W
'anger,': ARPBG/KW-BG
'Neither': KPA/TPHAOERT
'does': TKOS
'devour': TKE/SROUR
'with': W
'clangour.': KHRAPBG/O*UR/TP-PL
'Pilot,': KPA/PAOEULT/KW-BG
'pivot,': PEUFT/KW-BG
'gaunt,': TKPWAUPBT/KW-BG
'but': PWUT
'aunt,': AUPBT/KW-BG
'Font,': KPA/TPOPBT/KW-BG
'front,': TPROPBT/KW-BG
'wont,': WO*PBT/KW-BG
'want,': WAPBT/KW-BG
'grand': TKPWRAPBD
'and': SKP
'grant.': TKPWRAPBT/TP-PL
'Arsenic,': KPA/ARS/TPHEUBG/KW-BG
'specific,': SPEFBG/KW-BG
'scenic,': SAEPB/EUBG/KW-BG
'Relic,': KPA/REL/EUBG/KW-BG
'rhetoric,': RET/REUBG/KW-BG
'hygienic.': HAOEU/SKWREPB/EUBG/TP-PL
'Gooseberry,': KPA/TKPWAOS/PWER/REU/KW-BG
'goose,': TKPWAOS/KW-BG
'and': SKP
'close,': KHROES/KW-BG
'but': PWUT
'close,': KHROES/KW-BG
'Paradise,': KPA/PAR/TKAOEUS/KW-BG
'rise,': RAOEUZ/KW-BG
'rose,': ROEZ/KW-BG
'and': SKP
'dose.': TKOES/TP-PL
'Say': KPA/SAEU
'inveigh,': EUPB/SRAEU/KW-BG
'neigh,': TPHAEUG/KW-BG
'but': PWUT
'inveigle,': EUPB/SRAEUG/-L/KW-BG
'Make': KPA/PHAEUBG
'the': -T
'latter': HRART
'rhyme': RAOEUPL
'with': W
'eagle.': AOEG/-L/TP-PL
'Mind!': KPA/PHAOEUPBD/SKHRAPL
'Meandering': KPA/PHAOEPBD/REUPBG
'but': PWUT
'mean,': PHAOEPB/KW-BG
'Valentine': SRAL/TAOEUPB
'and': SKP
'magazine.': PHAG/TP-PL
'And': AFPBD
'I': EU
'bet': PWET
'you,': U/KW-BG
'dear,': TKAER/KW-BG
'a': AEU
'penny,': PEPB/TPHEU/KW-BG
'You': KPA/U
'say': SAEU
'mani-(fold)': PHAPB/SKWREU/H-PB/PREPB/TPOELD/PR*EPB
'like': HRAOEUBG
'many,': PHAEPB/KW-BG
'Which': KPA/WEU
'is': S
'wrong.': WROPBG/TP-PL
'Say': KPA/SAEU
'rapier,': RAEUP/KWRER/KW-BG
'pier,': PAO*ER/KW-BG
'Tier': KPA/TAOER
'(one': PREPB/WUPB
'who': WHO
'ties),': TAOEUZ/PR*EPB/KW-BG
'but': PWUT
'tier.': TAOER/TP-PL
'Arch,': KPA/AFRPB/KW-BG
'archangel;': ARBG/AEUPBG/EL/STPH*FPLT
'pray,': PRAEU/KW-BG
'does': TKOS
'erring': ER/REUPBG
'Rhyme': KPA/RAOEUPL
'with': W
'herring': HER/-G
'or': OR
'with': W
'stirring?': STEURG/H-F
'Prison,': KPA/PREUZ/KW-BG
'bison,': PWAOEU/SO*PB/KW-BG
'treasure': TRERB
'trove,': TROEF/KW-BG
'Treason,': KPA/TRAOEGS/KW-BG
'hover,': HOFR/KW-BG
'cover,': KOFR/KW-BG
'cove,': KO*EF/KW-BG
'Perseverance,': KPA/PER/SAOEFRPBS/KW-BG
'severance.': SEFRPBS/TP-PL
'Ribald': KPA/REUB/ALD
'Rhymes': KPA/RAOEUPLS
'(but': PREPB/PWUT
'piebald': PAOEU/PWAULD
'doesn't)': TKOS/*PB/AE/T*/PR*EPB
'with': W
'nibbled.': TPHEUB/-LD/TP-PL
'Phaeton,': KPA/P*/H*/A*/*E/T*/O*/TPH*/KW-BG
'paean,': PAOEU/A*PB/KW-BG
'gnat,': TPHA*T/KW-BG
'ghat,': TKPW*/H*/A*/T*/KW-BG
'gnaw,': TPHA*U/KW-BG
'Lien,': KPA/HRAO*EPB/KW-BG
'psychic,': SAOEUBG/EUBG/KW-BG
'shone,': SHO*EPB/KW-BG
'bone,': PWOEPB/KW-BG
'pshaw.': P*/SHA*U/TP-PL
'Don't': KPA/TKOEPBT
'be': -B
'down,': TKOUPB/KW-BG
'my': PHEU
'own,': OEPB/KW-BG
'but': PWUT
'rough': RUF
'it,': T/KW-BG
'And': AFPBD
'distinguish': TKWEURB
'buffet,': PWUF/ET/KW-BG
'buffet;': PWUF/ET/STPH*FPLT
'Brood,': KPA/PWRAO*D/KW-BG
'stood,': STAOD/KW-BG
'roof,': RAOF/KW-BG
'rook,': RAOBG/KW-BG
'school,': SKAOL/KW-BG
'wool,': WAOL/KW-BG
'boon,': PWAOPB/KW-BG
'Worcester,': W*P/O*/R*/KR*/EFT/*ER/KW-BG
'Boleyn,': *B/HRO*/KWRAOE/*PB/KW-BG
'to': TO
'impugn.': EUPL/PAOUPB/TP-PL
'Say': KPA/SAEU
'in': TPH
'sounds': SOUPBDZ
'correct': KREBGT
'and': SKP
'sterling': STERLG
'Hearse,': KPA/HA*ERS/KW-BG
'hear,': HAER/KW-BG
'hearken,': HARBG/*EPB/KW-BG
'year': KWRAOER
'and': SKP
'yearling.': KWRAOER/-LG/TP-PL
'Evil,': KPA/AOEFL/KW-BG
'devil,': TKEFL/KW-BG
'mezzotint,': PH*/*E/STKPW*/STKPW*/O*/T*/*EU/TPH*/T*/KW-BG
'Mind': KPA/PHAOEUPBD
'the': -T
'z!': STKPW*/SKHRAPL
'(A': PREPB/KPA*/AEU
'gentle': SKWR*EPBLT
'hint.)': HEUPBT/TP-PL/PR*EPB
'Now': KPA/TPHOU
'you': U
'need': TPHAOED
'not': TPHOT
'pay': PAEU
'attention': TAEPBGS
'To': KPA/TO
'such': SUFP
'sounds': SOUPBDZ
'as': AS
'I': EU
'don't': TKOEPBT
'mention,': PHEPBGS/KW-BG
'Sounds': KPA/SOUPBDZ
'like': HRAOEUBG
'pores,': PO*RS/KW-BG
'pause,': PAUS/KW-BG
'pours': PAOURS
'and': SKP
'paws,': PAU/-S/KW-BG
'Rhyming': R*P/H*/KWR*/PH*/-G
'with': W
'the': -T
'pronoun': PROE/TPHOUPB
'yours;': KWROURS/STPH*FPLT
'Nor': KPA/TPH-R
'are': R
'proper': PROR
'names': TPHAEUPLS
'included,': KHRUD/KW-BG
'Though': KPA/THOE
'I': EU
'often': OFPB
'heard,': HAERD/KW-BG
'as': AS
'you': U
'did,': TK-RBGS
'Funny': KPA/TPAOUPB
'rhymes': RAOEUPLS
'to': TO
'unicorn,': AOUPB/KORPB/KW-BG
'Yes,': KPA/KWRE/KW-BG
'you': U
'know': TPHOE
'them,': THEPL/KW-BG
'Vaughan': SR*P/A*/*U/TKPW*/H*/KWRA/*PB
'and': SKP
'Strachan.': S*P/T*/R*/KWRA/*FP/KWRA/*PB/TP-PL
'No,': KPA/TPHO/KW-BG
'my': PHEU
'maiden,': PHAEUD/*EPB/KW-BG
'coy': KOEU
'and': SKP
'comely,': KOPL/HREU/KW-BG
'I': EU
'don't': TKOEPBT
'want': WAPBT
'to': TO
'speak': SPAOEBG
'of': -F
'Cholmondeley.': KR*P/H*/O*/HR*/PH*/O*/TPH*/TK*/*E/HR*/KWRAOE/TP-PL
'No.': KPA/TPHO/TP-PL
'Yet': KPA/KWRET
'Froude': TP*P/R*/O*/*U/TK*/SKWR*E
'compared': KPARD
'with': W
'proud': PROUD
'Is': KPA/S
'no': TPHO
'better': PWOERT
'than': THAPB
'McLeod.': PH-BG/HR*P/*E/O*/TK*/TP-PL
'But': KPA/PWUT
'mind': PHAOEUPBD
'trivial': TREUFL
'and': SKP
'vial,': SRAO*EUL/KW-BG
'Tripod,': KPA/TRAOEUPD/KW-BG
'menial,': PHAOEPBL/KW-BG
'denial,': TKE/TPHAOEUL/KW-BG
'Troll': KPA/TROL
'and': SKP
'trolley,': TROL/KWREU/KW-BG
'realm': R*EL
'and': SKP
'ream,': RAOEPL/KW-BG
'Schedule,': KPA/SKED/KW-BG
'mischief,': PHEUS/KHEF/KW-BG
'schism,': SEUFPL/KW-BG
'and': SKP
'scheme.': SKAOEPL/TP-PL
'Argil,': A*P/R*/TKPW*/*EU/HR*/KW-BG
'gill,': TKPWEUL/KW-BG
'Argyll,': ARG/*L/KW-BG
'gill.': TKPWEUL/TP-PL
'Surely': KPA/SHURL
'May': PHA*EU
'be': -B
'made': PHAED
'to': TO
'rhyme': RAOEUPL
'with': W
'Raleigh,': RAL/AOE/KW-BG
'But': KPA/PWUT
'you're': UR
'not': TPHOT
'supposed': SPOED
'to': TO
'say': SAEU
'Piquet': KPA/P*/*EU/KW*/*U/*E/T*
'rhymes': RAOEUPLS
'with': W
'sobriquet.': S*/O*/PW*/R*/*EU/KW*/SKWRU/ET/TP-PL
'Had': KPA/H
'this': TH
'invalid': EUPB/SRALD
'invalid': EUPB/SRALD
'Worthless': KPA/WO*RT/-L
'documents?': TKAOUPLTS/H-F
'How': KPA/HOU
'pallid,': PAL/EUD/KW-BG
'How': KPA/HOU
'uncouth': UPB/KAO*UT
'he,': HE/KW-BG
'couchant,': KOUFP/APBT/KW-BG
'looked,': HRAOBGD/KW-BG
'When': KPA/WHEPB
'for': TPOR
'Portsmouth': PORTS/PHO*UT
'I': EU
'had': H
'booked!': PWAOBGD/SKHRAPL
'Zeus,': SAO*US/KW-BG
'Thebes,': THAOEBS/KW-BG
'Thales,': T*P/H*/KWRA/*L/-S/KW-BG
'Aphrodite,': AFR/TKAOEUT/KW-BG
'Paramour,': KPA/PAR/PHOUR/KW-BG
'enamoured,': EPB/APL/O*R/A*U/-D/KW-BG
'flighty,': TPHRAOEUT/KWREU/KW-BG
'Episodes,': KPA/EP/SOEDZ/KW-BG
'antipodes,': APB/TEUP/TKE/-S/KW-BG
'Acquiesce,': KPA/A/KWAOES/KW-BG
'and': SKP
'obsequies.': O*/PW*/S*/*E/KW*/SKWRU/AO*E/-S/TP-PL
'Please': KPA/PHRES
'don't': TKOEPBT
'monkey': PHOPB/KAE
'with': W
'the': -T
'geyser,': TKPWAOEUS/*ER/KW-BG
'Don't': KPA/TKOEPBT
