The Travelling Musicians

'An': KPA/APB
'to': TO
'the': -T
'great': TKPWRAET
'city': STEU
'to': TO
'turn': TURPB
'musician:': PHAOUGS/STPH-FPLT
'suppose': SPOS
'you': U
'go': TKPW
'with': W
'me,': PHE/KW-BG
'and': SKP
'try': TREU
'what': WHA
'you': U
'can': K
'do': TKO
'in': TPH
'the': -T
'same': SAEUPL
'way?'': WAEU/H-F/AE
'The': KPA/-T
'dog': TKOG
'said': SED
'he': HE
'was': WAS
'willing,': -LG/KW-BG
'and': SKP
'they': THE
'jogged': SKWROGD
'on': OPB
'together.': TOGT/TP-PL
'They': KPA/THE
'had': H
'not': TPHOT
'gone': TKPWOPB
'far': TPAR
'before': PW-FR
'they': THE
'saw': SAU
'a': AEU
'cat': KAT
'sitting': SEUGT
'in': TPH
'the': -T
'middle': PH*EULD
'of': -F
'the': -T
'road': RAOD
'and': SKP
'making': PHAEUG
'a': AEU
'most': PHOFT
'rueful': RAOUFL
'face.': TPAEUS/TP-PL
''Pray,': A*E/KPA*/PRAEU/KW-BG
'my': PHEU
'good': TKPWAOD
'lady,'': HRA*ED/KW-BG/AE
'said': SED
'the': -T
'ass,': A*S/KW-BG
''what's': A*E/WHA/AES
'the': -T
'matter': PHAERT
'with': W
'you?': U/H-F
'You': KPA/U
'look': HRAOBG
'quite': KWAOEUT
'out': OUT
'of': -F
'spirits!'': SPEURTS/SKHRAPL/AE
''Ah,': A*E/KPA*/HA*E/KW-BG
'me!'': PHE/SKHRAPL/AE
'said': SED
'the': -T
'cat,': KAT/KW-BG
''how': A*E/HOU
'can': K
'one': WUPB
'be': -B
'in': TPH
'good': TKPWAOD
'spirits': SPEURTS
'when': WHEPB
'one's': W*UPBS
'life': HRAOEUF
'is': S
'in': TPH
'danger?': TKAEUPBLG/H-F
'Because': KPA/PWAU
'I': EU
'am': APL
'beginning': TKPWEUPB/-G
'to': TO
'grow': TKPWROE
'old,': OLD/KW-BG
'and': SKP
'had': H
'rather': RAER
'lie': HRAOEU
'at': AT
'my': PHEU
'ease': AOES
'by': PWEU
'the': -T
'fire': TPAOEUR
'than': THAPB
'run': RUPB
'about': PW
'the': -T
'house': HOUS
'after': AF
'the': -T
'mice,': PHAOEUS/KW-BG
'my': PHEU
'mistress': PHEUS/TRES
'laid': HRAEUD
'hold': HOLD
'of': -F
'me,': PHE/KW-BG
'and': SKP
'was': WAS
'going': TKPW-G
'to': TO
'drown': TKROUPB
'me;': PHE/STPH*FPLT
'and': SKP
'though': THOE
'I': EU
'have': SR
'been': PW-PB
'lucky': HROEUBG
'enough': TPHUF
'to': TO
'get': TKPWET
'away': WA*EU
'from': TPR
'her,': HER/KW-BG
'I': EU
'do': TKO
'not': TPHOT
'know': TPHOE
'what': WHA
'I': EU
'am': APL
'to': TO
'live': HREUF
'upon.'': POPB/TP-PL/AE
''Oh,'': A*E/KPA*/O*ERBGS/KW-BG/AE
'said': SED
'the': -T
'ass,': A*S/KW-BG
''by': A*E/PWEU
'all': AUL
'means': PHAOEPBS
'go': TKPW
'with': W
'us': US
'to': TO
'the': -T
'great': TKPWRAET
'city;': STEU/STPH*FPLT
'you': U
'are': R
'a': AEU
'good': TKPWAOD
'night': TPHAOEUT
'singer,': SEURPBG/KW-BG
'and': SKP
'may': PHAE
'make': PHAEUBG
'your': KWROUR
'fortune': TP-RPB
'as': AS
'a': AEU
'musician.'': PHAOUGS/TP-PL/AE
'The': KPA/-T
'cat': KAT
'was': WAS
'pleased': PHREFD
'with': W
'the': -T
'thought,': THAUT/KW-BG
'and': SKP
'joined': SKWROEUPBD
'the': -T
'party.': PAERT/TP-PL
'Soon': KPA/SAOPB
'afterwards,': A*FRDZ/KW-BG
'as': AS
'they': THE
'were': WR
'passing': PAFG
'by': PWEU
'a': AEU
'farmyard,': TPARPL/KWRARD/KW-BG
'they': THE
'saw': SAU
'a': AEU
'cock': KOBG
'perched': PEFRPBD
'upon': POPB
'a': AEU
'gate,': TKPWAET/KW-BG
'and': SKP
'screaming': SKRAOEPLG
'out': OUT
'with': W
'all': AUL
'his': HEUS
'might': PHAOEUT
'and': SKP
'main.': PHAEUPB/TP-PL
''Bravo!'': A*E/KPA*/PWRA/SRO/SKHRAPL/AE
'said': SED
'the': -T
'ass;': A*S/STPH*FPLT
''upon': A*E/POPB
'my': PHEU
'word,': WORD/KW-BG
'you': U
'make': PHAEUBG
'a': AEU
'famous': TPAEUPLS
'noise;': TPHOEUS/STPH*FPLT
'pray': PRAEU
'what': WHA
'is': S
'all': AUL
'this': TH
'about?'': PW/H-F/AE
''Why,'': A*E/KPA*/KWR/KW-BG/AE
'said': SED
'the': -T
'cock,': KOBG/KW-BG
''I': A*E/EU
'was': WAS
'just': SKWRUFT
'now': TPHOU
'saying': SAEUG
'that': THA
'we': WE
'should': SHO
'have': SR
'fine': TPAOEUPB
'weather': WHR*
'for': TPOR
'our': OUR
'washing-day,': WARBG/TKA*EU/KW-BG
'and': SKP
'yet': KWRET
'my': PHEU
'mistress': PHEUS/TRES
'and': SKP
'the': -T
'cook': KAOBG
'don't': TKOEPBT
'thank': THAPBG
'me': PHE
'for': TPOR
'my': PHEU
'pains,': PAEUPBS/KW-BG
'but': PWUT
'threaten': THREFPB
'to': TO
'cut': KUT
'off': OF
'my': PHEU
'head': HED
'tomorrow,': TORPL/KW-BG
'and': SKP
'make': PHAEUBG
'broth': PWRO*T
'of': -F
'me': PHE
'for': TPOR
'the': -T
'guests': TKPWEFTS
'that': THA
'are': R
'coming': KO*G
'on': OPB
'Sunday!'': SUPBD/SKHRAPL/AE
''Heaven': A*E/KPA*/HEFPB
'forbid!'': TPORBD/SKHRAPL/AE
'said': SED
'the': -T
'ass,': A*S/KW-BG
''come': A*E/KOPL
'with': W
'us': US
'Master': KPA/PHAFRT
'Chanticleer;': KPA/KHAPBT/EUBG/*L/*ER/STPH*FPLT
'it': T
'will': HR
'be': -B
'better,': PWOERT/KW-BG
'at': AT
'any': TPHEU
'rate,': RAEURBGTS
'than': THAPB
'staying': STAEUG
'here': HAOER
'to': TO
'have': SR
'your': KWROUR
'head': HED
'cut': KUT
'off!': OF/SKHRAPL
'Besides,': KPA/PW-DZ/KW-BG
'who': WHO
'knows?': TPHOEZ/H-F
'If': KPA/TP
'we': WE
'care': KAEUR
'to': TO
'sing': SEUPBG
'in': TPH
'tune,': TAOUPB/KW-BG
'we': WE
'may': PHAE
'get': TKPWET
'up': UP
'some': SOPL
'kind': KEUPBD
'of': -F
'a': AEU
'concert;': KERT/STPH*FPLT
'so': SO
'come': KOPL
'along': HRAOPBG
'with': W
'us.'': US/TP-PL/AE
''With': A*E/KPA*/W
'all': AUL
'my': PHEU
'heart,'': HART/KW-BG/AE
'said': SED
'the': -T
'cock:': KOBG/STPH-FPLT
'so': SO
'they': THE
'all': AUL
'four': TPOUR
'went': WEPBT
'on': OPB
'jollily': SKWROL/HREU/HREU
'together.': TOGT/TP-PL
'They': KPA/THE
'could': KO
'not,': TPHOT/KW-BG
'however,': HOUF/KW-BG
'reach': RAOEFP
'the': -T
'great': TKPWRAET
'city': STEU
'the': -T
'first': TPEUFRT
'day;': TKAEU/STPH*FPLT
'so': SO
'when': WHEPB
'night': TPHAOEUT
'came': KAEUPL
'on,': OPB/KW-BG
'they': THE
'went': WEPBT
'into': TPHAO
'a': AEU
'wood': WAOD
'to': TO
'sleep.': SHRAOEP/TP-PL
'The': KPA/-T
'ass': A*S
'and': SKP
'the': -T
'dog': TKOG
'laid': HRAEUD
'themselves': TH*EPLS
'down': TKOUPB
'under': TPH-PB
'a': AEU
'great': TKPWRAET
'tree,': TRAOE/KW-BG
'and': SKP
'the': -T
'cat': KAT
'climbed': KHRAOEUPLD
'up': UP
'into': TPHAO
'the': -T
'branches;': PWRAFRPBS/STPH*FPLT
'while': WHAOEUL
'the': -T
'cock,': KOBG/KW-BG
'thinking': THEUG
'that': THA
'the': -T
'higher': HAOEUR
'he': HE
'sat': SAT
'the': -T
'safer': SAEUFR
'he': HE
'should': SHO
'be,': -B/KW-BG
'flew': TPHRAOU
'up': UP
'to': TO
'the': -T
'very': SRE
'top': TOP
'of': -F
'the': -T
'tree,': TRAOE/KW-BG
'and': SKP
'then,': THEPB/KW-BG
'according': KORG
'to': TO
'his': HEUS
'custom,': KUFPL/KW-BG
'before': PW-FR
'he': HE
'went': WEPBT
'to': TO
'sleep,': SHRAOEP/KW-BG
'looked': HRAOBGD
'out': OUT
'on': OPB
'all': AUL
'sides': SAOEUDZ
'of': -F
'him': HEUPL
'to': TO
'see': SAOE
'that': THA
'everything': EFRG
'was': WAS
'well.': WEL/TP-PL
'In': KPA/TPH
'doing': TK*G
'this,': TH/KW-BG
'he': HE
'saw': SAU
'afar': A/TPAR
'off': OF
'something': S-G
'bright': PWRAOEUT
'and': SKP
'shining': SHAOEUPBG
'and': SKP
'calling': KAULG
'to': TO
'his': HEUS
'companions': KPAPB/KWROPBS
'said,': SED/KW-BG
''There': A*E/KPA*/THR
'must': PHUFT
'be': -B
'a': AEU
'house': HOUS
'no': TPHO
'great': TKPWRAET
'way': WAEU
'off,': OF/KW-BG
'for': TPOR
'I': EU
'see': SAOE
'a': AEU
'light.'': HRAOEUT/TP-PL/AE
''If': A*E/KPA*/TP
'that': THA
'be': -B
'the': -T
'case,'': KAEUS/KW-BG/AE
'said': SED
'the': -T
'ass,': A*S/KW-BG
''we': A*E/WE
'had': H
'better': PWOERT
'change': KHAEUPBG
'our': OUR
'quarters,': KWART/ERS/KW-BG
'for': TPOR
'our': OUR
'lodging': HROPBLG/-G
'is': S
'not': TPHOT
'the': -T
'best': PWEFT
'in': TPH
'the': -T
'world!'': WORLD/SKHRAPL/AE
''Besides,'': A*E/KPA*/PW-DZ/KW-BG/AE
'added': AD/-D
'the': -T
'dog,': TKOG/KW-BG
''I': A*E/EU
'should': SHO
'not': TPHOT
'be': -B
'the': -T
'worse': WORS
'for': TPOR
'a': AEU
'bone': PWOEPB
'or': OR
'two,': TWORBGS
'or': OR
'a': AEU
'bit': PWEUT
'of': -F
'meat.'': PHAET/TP-PL/AE
'So': KPA/SO
'they': THE
'walked': WAUBGD
'off': OF
'together': TOGT
'towards': TORDZ
'the': -T
'spot': SPOT
'where': W-R
'Chanticleer': KPA/KHAPBT/EUBG/*L/*ER
'had': H
'seen': SAOEPB
'the': -T
'light,': HRAOEUT/KW-BG
'and': SKP
'as': AS
'they': THE
'drew': TKRAOU
'near': TPHAOER
'it': T
'became': PWAEUPL
'larger': HRAERPBLG
'and': SKP
'brighter,': PWRAOEURT/KW-BG
'till': TEUL
'they': THE
'at': AT
'last': HRAFT
'came': KAEUPL
'close': KHROES
'to': TO
'a': AEU
'house': HOUS
'in': TPH
'which': WEU
'a': AEU
'gang': TKPWAPBG
'of': -F
'robbers': RORBS
'lived.': HREUFD/TP-PL
'The': KPA/-T
'ass,': A*S/KW-BG
'being': -BG
'the': -T
'tallest': TAUL/EFT
'of': -F
'the': -T
'company,': K-P/KW-BG
'marched': PHAFRPBD
'up': UP
'to': TO
'the': -T
'window': WOEUPBD
'and': SKP
'peeped': PAOEPD
'in.': TPH/TP-PL
''Well,': A*E/KPA*/WEL/KW-BG
'Donkey,'': KPA/TKOPB/KEU/KW-BG/AE
'said': SED
'Chanticleer,': KPA/KHAPBT/EUBG/*L/*ER/KW-BG
''what': A*E/WHA
'do': TKO
'you': U
'see?'': SAOE/H-F/AE
''What': A*E/KPA*/WHA
'do': TKO
'I': EU
'see?'': SAOE/H-F/AE
'replied': RE/PHRAOEUD
'the': -T
'ass.': A*S/TP-PL
''Why,': A*E/KPA*/KWR/KW-BG
'I': EU
'see': SAOE
'a': AEU
'table': TAEUBL
'spread': SPRED
'with': W
'all': AUL
'kinds': KEUPBDZ
'of': -F
'good': TKPWAOD
'things,': THEUPBGS/KW-BG
'and': SKP
'robbers': RORBS
'sitting': SEUGT
'round': ROUPBD
'it': T
'making': PHAEUG
'merry.'': PHER/REU/TP-PL/AE
''That': A*E/KPA*/THA
'would': WO
'be': -B
'a': AEU
'noble': TPHOEBL
'lodging': HROPBLG/-G
'for': TPOR
'us,'': US/KW-BG/AE
'said': SED
'the': -T
'cock.': KOBG/TP-PL
''Yes,'': A*E/KPA*/KWRE/KW-BG/AE
'said': SED
'the': -T
'ass,': A*S/KW-BG
''if': A*E/TP
'we': WE
'could': KO
'only': OEPBL
'get': TKPWET
'in';': TPH/AE/STPH*FPLT
'so': SO
'they': THE
'consulted': KULTD
'together': TOGT
'how': HOU
'they': THE
'should': SHO
'contrive': KAUPB/TRAOEUF
'to': TO
'get': TKPWET
'the': -T
'robbers': RORBS
'out;': OUT/STPH*FPLT
'and': SKP
'at': AT
'last': HRAFT
'they': THE
'hit': HEUT
'upon': POPB
'a': AEU
'plan.': PHRAPB/TP-PL
'The': KPA/-T
'ass': A*S
'placed': PHRAEUFD
'himself': HEUPLS
'upright': AUP/RAOEUGT
'on': OPB
'his': HEUS
'hind': HAOEUPBD
'legs,': HREGS/KW-BG
'with': W
'his': HEUS
'forefeet': TPOER/TPAOET
'resting': REFT/-G
'against': TKPWEPBS
'the': -T
'window;': WOEUPBD/STPH*FPLT
'the': -T
'dog': TKOG
'got': TKPWOT
'upon': POPB
'his': HEUS
'back;': PWABG/STPH*FPLT
'the': -T
'cat': KAT
'scrambled': SKAPL/-BLD
'up': UP
'to': TO
'the': -T
'dog's': TKOG/AES
'shoulders,': SHOURLDZ/KW-BG
'and': SKP
'the': -T
'cock': KOBG
'flew': TPHRAOU
'up': UP
'and': SKP
'sat': SAT
'upon': POPB
'the': -T
'cat's': KAT/AES
'head.': HED/TP-PL
'When': KPA/WHEPB
'all': AUL
'was': WAS
'ready': R-D
'a': AEU
'signal': STPHAL
'was': WAS
'given,': TKPWEUFPB/KW-BG
'and': SKP
'they': THE
'began': TKPWAPB
'their': THAEUR
'music.': PHAOUFBG/TP-PL
'The': KPA/-T
'ass': A*S
'brayed,': PWRAEU/-D/KW-BG
'the': -T
'dog': TKOG
'barked,': PWARBGD/KW-BG
'the': -T
'cat': KAT
'mewed,': PHAO*U/-D/KW-BG
'and': SKP
'the': -T
'cock': KOBG
'screamed;': SKRAOEPLD/STPH*FPLT
'and': SKP
'then': THEPB
'they': THE
'all': AUL
'broke': PWROEBG
'through': THRU
'the': -T
'window': WOEUPBD
'at': AT
'once,': WUPBS/KW-BG
'and': SKP
'came': KAEUPL
'tumbling': TUPL/-BLG
'into': TPHAO
'the': -T
'room,': RAOPL/KW-BG
'amongst': PHOPBGS
'the': -T
'broken': PWROEPB
'glass,': TKPWHRARBGS
'with': W
'a': AEU
'most': PHOFT
'hideous': HEUD/KWROUS
'clatter!': KHRAT/ER/SKHRAPL
'The': KPA/-T
'robbers,': RORBS/KW-BG
'who': WHO
'had': H
'been': PW-PB
'not': TPHOT
'a': AEU
'little': HREUL
'frightened': TPRAOEUFPBD
'by': PWEU
'the': -T
'opening': OEPG
'concert,': KERT/KW-BG
'had': H
'now': TPHOU
'no': TPHO
'doubt': TKOUT
'that': THA
'some': SOPL
'frightful': TPRAOEUT/-FL
'hobgoblin': HOB/TKPWOB/HREUPB
'had': H
'broken': PWROEPB
'in': TPH
'upon': POPB
'them,': THEPL/KW-BG
'and': SKP
'scampered': SKAPL/PER/-D
'away': WA*EU
'as': AS
'fast': TPAFT
'as': AS
'they': THE
'could.': KO/TP-PL
'The': KPA/-T
'coast': KOEFT
'once': WUPBS
'clear,': KHRAOER/KW-BG
'our': OUR
'travellers': TRA*FL/ERS/A*U
'soon': SAOPB
'sat': SAT
'down': TKOUPB
'and': SKP
'dispatched': TKEUS/PAFPD
'what': WHA
'the': -T
'robbers': RORBS
'had': H
'left,': HREFT/KW-BG
'with': W
'as': AS
'much': PHUFP
'eagerness': AOEG/ERPBS
'as': AS
'if': TP
'they': THE
'had': H
'not': TPHOT
'expected': KP-PTD
'to': TO
'eat': AOET
'again': TKPWEPB
'for': TPOR
'a': AEU
'month.': PHO*PBT/TP-PL
'As': KPA/AS
'soon': SAOPB
'as': AS
'they': THE
'had': H
'satisfied': SAED
'themselves,': TH*EPLS/KW-BG
'they': THE
'put': PUT
'out': OUT
'the': -T
'lights,': HRAOEUTS/KW-BG
'and': SKP
'each': AOEFP
'once': WUPBS
'more': PHOR
'sought': SAUT
'out': OUT
'a': AEU
'resting-place': REFT/-G/H-PB/PHRAEUS
'to': TO
'his': HEUS
'own': OEPB
'liking.': HRAO*EUG/TP-PL
'The': KPA/-T
'donkey': TKOPB/KEU
'laid': HRAEUD
'himself': HEUPLS
'down': TKOUPB
'upon': POPB
'a': AEU
'heap': HAOEP
'of': -F
'straw': STRAU
'in': TPH
'the': -T
'yard,': KWRARD/KW-BG
'the': -T
'dog': TKOG
'stretched': STREFPD
'himself': HEUPLS
'upon': POPB
'a': AEU
'mat': PHAT
'behind': HEUPBD
'the': -T
'door,': TKAORBGS
'the': -T
'cat': KAT
'rolled': ROLD
'herself': H*ERS
'up': UP
'on': OPB
'the': -T
'hearth': HAERT
'before': PW-FR
'the': -T
'warm': WARPL
'ashes,': ARBS/KW-BG
'and': SKP
'the': -T
'cock': KOBG
'perched': PEFRPBD
'upon': POPB
'a': AEU
'beam': PWAEPL
'on': OPB
'the': -T
'top': TOP
'of': -F
'the': -T
'house;': HOUS/STPH*FPLT
'and,': SKP/KW-BG
'as': AS
'they': THE
'were': WR
'all': AUL
'rather': RAER
'tired': TAOEURD
'with': W
'their': THAEUR
'journey,': SKWRURPB/KW-BG
'they': THE
'soon': SAOPB
'fell': TPEL
'asleep.': A/SHRAOEP/TP-PL
'But': KPA/PWUT
'about': PW
'midnight,': PHAOEUPBT/KW-BG
'when': WHEPB
'the': -T
'robbers': RORBS
'saw': SAU
'from': TPR
'afar': A/TPAR
'that': THA
'the': -T
'lights': HRAOEUTS
'were': WR
'out': OUT
'and': SKP
'that': THA
'all': AUL
'seemed': SAOEPLD
'quiet,': KWAO*EUT/KW-BG
'they': THE
'began': TKPWAPB
'to': TO
'think': THEU
'that': THA
'they': THE
'had': H
'been': PW-PB
'in': TPH
'too': TAO
'great': TKPWRAET
'a': AEU
'hurry': HUR/REU
'to': TO
'run': RUPB
'away;': WA*EU/STPH*FPLT
'and': SKP
'one': WUPB
'of': -F
'them,': THEPL/KW-BG
'who': WHO
'was': WAS
'bolder': PWOERLD
'than': THAPB
'the': -T
'rest,': REFT/KW-BG
'went': WEPBT
'to': TO
'see': SAOE
'what': WHA
'was': WAS
'going': TKPW-G
'on.': OPB/TP-PL
'Finding': KPA/TPAOEUPBGD
'everything': EFRG
'still,': STEUL/KW-BG
'he': HE
'marched': PHAFRPBD
'into': TPHAO
'the': -T
'kitchen,': K-FP/KW-BG
'and': SKP
'groped': TKPWROEPD
'about': PW
'till': TEUL
'he': HE
'found': TPOUPBD
'a': AEU
'match': PHAFP
'in': TPH
'order': ORD
'to': TO
'light': HRAOEUT
'a': AEU
'candle;': KA*PBLD/STPH*FPLT
'and': SKP
'then,': THEPB/KW-BG
'espying': AOE/SPAOEUG
'the': -T
'glittering': TKPWHREUT/ERG
'fiery': TPAOEU/REU
'eyes': AO*EUS
'of': -F
'the': -T
'cat,': KAT/KW-BG
'he': HE
'mistook': PHEUZ/TAOBG
'them': THEPL
'for': TPOR
'live': HREUF
'coals,': KOEL/-S/KW-BG
'and': SKP
'held': HELD
'the': -T
'match': PHAFP
'to': TO
'them': THEPL
'to': TO
'light': HRAOEUT
'it.': T/TP-PL
'But': KPA/PWUT
'the': -T
'cat,': KAT/KW-BG
'not': TPHOT
'understanding': URPBGD
'this': TH
'joke,': SKWROEBG/KW-BG
'sprang': SPRAPBG
'at': AT
'his': HEUS
'face,': TPAEUS/KW-BG
'and': SKP
'spat,': SPAT/KW-BG
'and': SKP
'scratched': SKRAFPD
'at': AT
'him.': HEUPL/TP-PL
'This': KPA/TH
'frightened': TPRAOEUFPBD
'him': HEUPL
'dreadfully,': TKRED/TPHREU/KW-BG
'and': SKP
'away': WA*EU
'he': HE
'ran': RAPB
'to': TO
'the': -T
'back': PWABG
'door;': TKAOR/STPH*FPLT
'but': PWUT
'there': THR
'the': -T
'dog': TKOG
'jumped': SKWR*UPLD
'up': UP
'and': SKP
'bit': PWEUT
'him': HEUPL
'in': TPH
'the': -T
'leg;': HREG/STPH*FPLT
'and': SKP
'as': AS
'he': HE
'was': WAS
'crossing': KROFG
'over': OEFR
'the': -T
'yard': KWRARD
'the': -T
'ass': A*S
'kicked': KEUBGD
'him;': HEUPL/STPH*FPLT
'and': SKP
'the': -T
'cock,': KOBG/KW-BG
'who': WHO
'had': H
'been': PW-PB
'awakened': A/WAEUBG/-PBD
'by': PWEU
'the': -T
'noise,': TPHOEUS/KW-BG
'crowed': KROE/-D
'with': W
'all': AUL
'his': HEUS
'might.': PHAOEUT/TP-PL
'At': KPA/AT
'this': TH
'the': -T
'robber': ROB/ER
'ran': RAPB
'back': PWABG
'as': AS
'fast': TPAFT
'as': AS
'he': HE
'could': KO
'to': TO
'his': HEUS
'comrades,': KOPL/RADZ/KW-BG
'and': SKP
'told': TOLD
'the': -T
'captain': KAPT
'how': HOU
'a': AEU
'horrid': HOR/EUD
'witch': WEUFP
'had': H
'got': TKPWOT
'into': TPHAO
'the': -T
'house,': HOUS/KW-BG
'and': SKP
'had': H
'spat': SPAT
'at': AT
'him': HEUPL
'and': SKP
'scratched': SKRAFPD
'his': HEUS
'face': TPAEUS
'with': W
'her': HER
'long': HROPBG
'bony': PWOEPB/KWREU
'fingers;': TPEURPBGS/STPH*FPLT
'how': HOU
'a': AEU
'man': PHAPB
'with': W
'a': AEU
'knife': TPHAOEUF
'in': TPH
'his': HEUS
'hand': HAPBD
'had': H
'hidden': HEUD/EPB
'himself': HEUPLS
'behind': HEUPBD
'the': -T
'door,': TKAORBGS
'and': SKP
'stabbed': STABD
'him': HEUPL
'in': TPH
'the': -T
'leg;': HREG/STPH*FPLT
'how': HOU
'a': AEU
'black': PWHRABG
'monster': PHOPB/STER
'stood': STAOD
'in': TPH
'the': -T
'yard': KWRARD
'and': SKP
'struck': STRUBG
'him': HEUPL
'with': W
'a': AEU
'club,': KHRUB/KW-BG
'and': SKP
'how': HOU
'the': -T
'devil': TKEFL
'had': H
'sat': SAT
'upon': POPB
'the': -T
'top': TOP
'of': -F
'the': -T
'house': HOUS
'and': SKP
'cried': KRAOEUD
'out,': OUT/KW-BG
''Throw': A*E/KPA*/THROE
'the': -T
'rascal': RAS/K-L
'up': UP
'here!'': HAOER/SKHRAPL/AE
'After': KPA/AF
'this': TH
'the': -T
'robbers': RORBS
'never': TPHEFR
'dared': TKAEURD
'to': TO
'go': TKPW
'back': PWABG
'to': TO
'the': -T
'house;': HOUS/STPH*FPLT
'but': PWUT
'the': -T
'musicians': PHAOUGSZ
'were': WR
'so': SO
'pleased': PHREFD
'with': W
'their': THAEUR
'quarters': KWART/ERS
'that': THA
'they': THE
'took': TAOBG
'up': UP
'their': THAEUR
'abode': A/PWOED
'there;': THR/STPH*FPLT
'and': SKP
'there': THR
'they': THE
'are,': R-RBGS
'I': EU
'dare': TKAEUR
'say,': SAEU/KW-BG
'at': AT
'this': TH
'very': SRE
'day.': TKAEU/TP-PL
