The Turnip
'good': TKPWAOD
'luck?': HRUBG/H-F
'If': KPA/TP
'so,': SO/KW-BG
'you': U
'are': R
'a': AEU
'true': TRAOU
'child': KHAOEULD
'of': -F
'fortune.'': TP-RPB/TP-PL/AE
''Ah,': A*E/KPA*/HA*E/KW-BG
'no!'': TPHO/SKHRAPL/AE
'answered': AEPBS/-D
'the': -T
'gardener,': TKPWARD/TPHER/KW-BG
''I': A*E/EU
'am': APL
'no': TPHO
'child': KHAOEULD
'of': -F
'fortune;': TP-RPB/STPH*FPLT
'I': EU
'am': APL
'a': AEU
'poor': PAOR
'soldier,': SHRERPBLG/KW-BG
'who': WHO
'never': TPHEFR
'could': KO
'get': TKPWET
'enough': TPHUF
'to': TO
'live': HREUF
'upon;': POPB/STPH*FPLT
'so': SO
'I': EU
'laid': HRAEUD
'aside': A/SAOEUD
'my': PHEU
'red': RED
'coat,': KOET/KW-BG
'and': SKP
'set': SET
'to': TO
'work,': WORBG/KW-BG
'tilling': TEUL/-G
'the': -T
'ground.': TKPWROUPBD/TP-PL
'I': EU
'have': SR
'a': AEU
'brother,': PWROER/KW-BG
'who': WHO
'is': S
'rich,': REUFP/KW-BG
'and': SKP
'your': KWROUR
'majesty': PHAPBLG/STEU
'knows': TPHOEZ
'him': HEUPL
'well,': WEL/KW-BG
'and': SKP
'all': AUL
'the': -T
'world': WORLD
'knows': TPHOEZ
'him;': HEUPL/STPH*FPLT
'but': PWUT
'because': PWAU
'I': EU
'am': APL
'poor,': PAOR/KW-BG
'everybody': EFRB
'forgets': TPORGTS
'me.'': PHE/TP-PL/AE
'The': KPA/-T
'king': KEUPBG
'then': THEPB
'took': TAOBG
'pity': PEUT/TEU
'on': OPB
'him,': HEUPL/KW-BG
'and': SKP
'said,': SED/KW-BG
''You': A*E/KPA*/U
'shall': SHAL
'be': -B
'poor': PAOR
'no': TPHO
'longer.': HRORPBG/TP-PL
'I': EU
'will': HR
'give': TKPWEUF
'you': U
'so': SO
'much': PHUFP
'that': THA
'you': U
'shall': SHAL
'be': -B
'even': AOEPB
'richer': REUFP/*ER
'than': THAPB
'your': KWROUR
'brother.'': PWROER/TP-PL/AE
'Then': KPA/THEPB
'he': HE
'gave': TKPWAEUF
'him': HEUPL
'gold': TKPWOELD
'and': SKP
'lands': HRAPBDZ
'and': SKP
'flocks,': TPHROBGS/KW-BG
'and': SKP
'made': PHAED
'him': HEUPL
'so': SO
'rich': REUFP
'that': THA
'his': HEUS
'brother's': PWROER/AES
'fortune': TP-RPB
'could': KO
'not': TPHOT
'at': AT
'all': AUL
'be': -B
'compared': KPARD
'with': W
'his.': HEUS/TP-PL
'When': KPA/WHEPB
'the': -T
'brother': PWROER
'heard': HAERD
'of': -F
'all': AUL
'this,': TH/KW-BG
'and': SKP
'how': HOU
'a': AEU
'turnip': TURPB/EUP
'had': H
'made': PHAED
'the': -T
'gardener': TKPWARD/TPHER
'so': SO
'rich,': REUFP/KW-BG
'he': HE
'envied': EPB/SREUD
'him': HEUPL
'sorely,': SORL/KW-BG
'and': SKP
'bethought': PWE/THAUT
'himself': HEUPLS
'how': HOU
'he': HE
'could': KO
'contrive': KAUPB/TRAOEUF
'to': TO
'get': TKPWET
'the': -T
'same': SAEUPL
'good': TKPWAOD
'fortune': TP-RPB
'for': TPOR
'himself.': HEUPLS/TP-PL
'However,': KPA/HOUF/KW-BG
'he': HE
'determined': TKERPLD
'to': TO
'manage': PHAPBG
'more': PHOR
'cleverly': KHREFRL
'than': THAPB
'his': HEUS
'brother,': PWROER/KW-BG
'and': SKP
'got': TKPWOT
'together': TOGT
'a': AEU
'rich': REUFP
'present': PREPBT
'of': -F
'gold': TKPWOELD
'and': SKP
'fine': TPAOEUPB
'horses': HORSZ
'for': TPOR
'the': -T
'king;': KEUPBG/STPH*FPLT
'and': SKP
'thought': THAUT
'he': HE
'must': PHUFT
'have': SR
'a': AEU
'much': PHUFP
'larger': HRAERPBLG
'gift': TKPWEUFT
'in': TPH
'return;': RURPB/STPH*FPLT
'for': TPOR
'if': TP
'his': HEUS
'brother': PWROER
'had': H
'received': SAOEFD
'so': SO
'much': PHUFP
'for': TPOR
'only': OEPBL
'a': AEU
'turnip,': TURPB/EUP/KW-BG
'what': WHA
'must': PHUFT
'his': HEUS
'present': PREPBT
'be': -B
'worth?': WO*RT/H-F
'The': KPA/-T
'king': KEUPBG
'took': TAOBG
'the': -T
'gift': TKPWEUFT
'very': SRE
'graciously,': TKPWRAEURBS/HREU/KW-BG
'and': SKP
'said': SED
'he': HE
'knew': TPHAOU
'not': TPHOT
'what': WHA
'to': TO
'give': TKPWEUF
'in': TPH
'return': RURPB
'more': PHOR
'valuable': SRABL
'and': SKP
'wonderful': WUFL
'than': THAPB
'the': -T
'great': TKPWRAET
'turnip;': TURPB/EUP/STPH*FPLT
'so': SO
'the': -T
'soldier': SHRERPBLG
'was': WAS
'forced': TPOFRD
'to': TO
'put': PUT
'it': T
'into': TPHAO
'a': AEU
'cart,': KART/KW-BG
'and': SKP
'drag': TKRAG
'it': T
'home': HOEPL
'with': W
'him.': HEUPL/TP-PL
'When': KPA/WHEPB
'he': HE
'reached': RAOEFPD
'home,': HOEPL/KW-BG
'he': HE
'knew': TPHAOU
'not': TPHOT
'upon': POPB
'whom': WHOPL
'to': TO
'vent': SREPBT
'his': HEUS
'rage': RAEUPBLG
'and': SKP
'spite;': SPAOEUT/STPH*FPLT
'and': SKP
'at': AT
'length': HREPBG
'wicked': WEUBGD
'thoughts': THAUTS
'came': KAEUPL
'into': TPHAO
'his': HEUS
'head,': HED/KW-BG
'and': SKP
'he': HE
'resolved': RO*FLD
'to': TO
'kill': KEUL
'his': HEUS
'brother.': PWROER/TP-PL
'So': KPA/SO
'he': HE
'hired': HEURD
'some': SOPL
'villains': SREUL/APBS
'to': TO
'murder': PHURD
'him;': HEUPL/STPH*FPLT
'and': SKP
'having': SR-G
'shown': SHOEPB
'them': THEPL
'where': W-R
'to': TO
'lie': HRAOEU
'in': TPH
'ambush,': APL/PWURB/KW-BG
'he': HE
'went': WEPBT
'to': TO
'his': HEUS
'brother,': PWROER/KW-BG
'and': SKP
'said,': SED/KW-BG
''Dear': A*E/KPA*/TKAER
'brother,': PWROER/KW-BG
'I': EU
'have': SR
'found': TPOUPBD
'a': AEU
'hidden': HEUD/EPB
'treasure;': TRERB/STPH*FPLT
'let': HRET
'us': US
'go': TKPW
'and': SKP
'dig': TKEUG
'it': T
'up,': UP/KW-BG
'and': SKP
'share': SHAEUR
'it': T
'between': TWAOEPB
'us.'': US/TP-PL/AE
'The': KPA/-T
'other': OER
'had': H
'no': TPHO
'suspicions': SUS/PEUGS/-S
'of': -F
'his': HEUS
'roguery:': ROEG/REU/STPH-FPLT
'so': SO
'they': THE
'went': WEPBT
'out': OUT
'together,': TOGT/KW-BG
'and': SKP
'as': AS
'they': THE
'were': WR
'travelling': TRAFL/HREUPBG
'along,': HRAOPBG/KW-BG
'the': -T
'murderers': PHURD/*ERS
'rushed': RURBD
'out': OUT
'upon': POPB
'him,': HEUPL/KW-BG
'bound': PWOUPBD
'him,': HEUPL/KW-BG
'and': SKP
'were': WR
'going': TKPW-G
'to': TO
'hang': HAPBG
'him': HEUPL
'on': OPB
'a': AEU
'tree.': TRAOE/TP-PL
'But': KPA/PWUT
'whilst': WHAOEULS
'they': THE
'were': WR
'getting': TKPWEGT
'all': AUL
'ready,': R-D/KW-BG
'they': THE
'heard': HAERD
'the': -T
'trampling': TRAFRP/-LG
'of': -F
'a': AEU
'horse': HORS
'at': AT
'a': AEU
'distance,': STKAPBS/KW-BG
'which': WEU
'so': SO
'frightened': TPRAOEUFPBD
'them': THEPL
'that': THA
'they': THE
'pushed': PURBD
'their': THAEUR
'prisoner': PREURZ
'neck': TPHEBG
'and': SKP
'shoulders': SHOURLDZ
'together': TOGT
'into': TPHAO
'a': AEU
'sack,': SABG/KW-BG
'and': SKP
'swung': SWUPBG
'him': HEUPL
'up': UP
'by': PWEU
'a': AEU
'cord': KORD
'to': TO
'the': -T
'tree,': TRAOE/KW-BG
'where': W-R
'they': THE
'left': HREFT
'him': HEUPL
'dangling,': TKAPBG/-LG/KW-BG
'and': SKP
'ran': RAPB
'away.': WA*EU/TP-PL
'Meantime': KPA/PHAOEPB/TAO*EUPL
'he': HE
'worked': WORBGD
'and': SKP
'worked': WORBGD
'away,': WA*EU/KW-BG
'till': TEUL
'he': HE
'made': PHAED
'a': AEU
'hole': HOEL
'large': HRARPBLG
'enough': TPHUF
'to': TO
'put': PUT
'out': OUT
'his': HEUS
'head.': HED/TP-PL
'When': KPA/WHEPB
'the': -T
'horseman': HORS/PHAPB
'came': KAEUPL
'up,': UP/KW-BG
'he': HE
'proved': PROFD
'to': TO
'be': -B
'a': AEU
'student,': STAUPB/KW-BG
'a': AEU
'merry': PHER/REU
'fellow,': TP*EL/KW-BG
'who': WHO
'was': WAS
'journeying': SKWRURPB/EUG
'along': HRAOPBG
'on': OPB
'his': HEUS
'nag,': TPHAG/KW-BG
'and': SKP
'singing': SEUPBG/-G
'as': AS
'he': HE
'went.': WEPBT/TP-PL
'As': KPA/AS
'soon': SAOPB
'as': AS
'the': -T
'man': PHAPB
'in': TPH
'the': -T
'sack': SABG
'saw': SAU
'him': HEUPL
'passing': PAFG
'under': TPH-PB
'the': -T
'tree,': TRAOE/KW-BG
'he': HE
'cried': KRAOEUD
'out,': OUT/KW-BG
''Good': A*E/KPA*/TKPWAOD
'morning!': PHORPBG/SKHRAPL
'good': TKPWAOD
'morning': PHORPBG
'to': TO
'thee,': THAOE/KW-BG
'my': PHEU
'friend!'': TPREPBD/SKHRAPL/AE
'The': KPA/-T
'student': STAUPB
'looked': HRAOBGD
'about': PW
'everywhere;': WEFR/STPH*FPLT
'and': SKP
'seeing': SAOEG
'no': TPHO
'one,': WUPB/KW-BG
'and': SKP
'not': TPHOT
'knowing': TPHOEG
'where': W-R
'the': -T
'voice': SROEUS
'came': KAEUPL
'from,': TPR/KW-BG
'cried': KRAOEUD
'out,': OUT/KW-BG
''Who': A*E/KPA*/WHO
'calls': KAULS
'me?'': PHE/H-F/AE
'Then': KPA/THEPB
'the': -T
'man': PHAPB
'in': TPH
'the': -T
'tree': TRAOE
'answered,': AEPBS/-D/KW-BG
''Lift': A*E/KPA*/HREUFT
'up': UP
'thine': THAOEUPB
'eyes,': AO*EUS/KW-BG
'for': TPOR
'behold': PWE/HOLD
'here': HAOER
'I': EU
'sit': SEUT
'in': TPH
'the': -T
'sack': SABG
'of': -F
'wisdom;': WEUZ/TKOPL/STPH*FPLT
'here': HAOER
'have': SR
'I,': EU/KW-BG
'in': TPH
'a': AEU
'short': SHORT
'time,': TAOEUPL/KW-BG
'learned': HRERPBD
'great': TKPWRAET
'and': SKP
'wondrous': WOPBD/ROUS
'things.': THEUPBGS/TP-PL
'Compared': KPA/KPARD
'to': TO
'this': TH
'seat,': SAOET/KW-BG
'all': AUL
'the': -T
'learning': HRERPBG
'of': -F
'the': -T
'schools': SKAOLS
'is': S
'as': AS
'empty': EPLT
'air.': AEUR/TP-PL
'A': KPA/AEU
'little': HREUL
'longer,': HRORPBG/KW-BG
'and': SKP
'I': EU
'shall': SHAL
'know': TPHOE
'all': AUL
'that': THA
'man': PHAPB
'can': K
'know,': TPHOE/KW-BG
'and': SKP
'shall': SHAL
'come': KOPL
'forth': TPO*RT
'wiser': WAOEUZ/ER
'than': THAPB
'the': -T
'wisest': WAOEUZ/*ES
'of': -F
'mankind.': PHAPB/KAOEUPBD/TP-PL
'Here': KPA/HAOER
'I': EU
'discern': TKEUS/ERPB
'the': -T
'signs': SAOEUPBS
'and': SKP
'motions': PHOEGS/-S
'of': -F
'the': -T
'heavens': HEFPBS
'and': SKP
'the': -T
'stars;': STARS/STPH*FPLT
'the': -T
'laws': HRAUS
'that': THA
'control': KROL
'the': -T
'winds;': WEUPBDZ/STPH*FPLT
'the': -T
'number': TPHUPL
'of': -F
'the': -T
'sands': SAPBDZ
'on': OPB
'the': -T
'seashore;': SAE/SHOR/STPH*FPLT
'the': -T
'healing': HAELG
'of': -F
'the': -T
'sick;': SEUBG/STPH*FPLT
'the': -T
'virtues': SREUR/TAOUS
'of': -F
'all': AUL
'simples,': S*EUPL/-S/KW-BG
'of': -F
'birds,': PWEURDZ/KW-BG
'and': SKP
'of': -F
'precious': PRERBS
'stones.': STOEPBS/TP-PL
'Wert': KPA/W*/*E/R*/T*
'thou': THO*U
'but': PWUT
'once': WUPBS
'here,': HAOERBGS
'my': PHEU
'friend,': TPREPBD/KW-BG
'though': THOE
'wouldst': WO/S*/T*
'feel': TPAOEL
'and': SKP
'own': OEPB
'the': -T
'power': POUR
'of': -F
'knowledge.': TPHOPBLG/TP-PL
'The': KPA/-T
'student': STAUPB
'listened': HREUFPBD
'to': TO
'all': AUL
'this': TH
'and': SKP
'wondered': WOPBD/-D
'much;': PHUFP/STPH*FPLT
'at': AT
'last': HRAFT
'he': HE
'said,': SED/KW-BG
''Blessed': A*E/KPA*/PWHR*EFD
'be': -B
'the': -T
'day': TKAEU
'and': SKP
'hour': HOUR
'when': WHEPB
'I': EU
'found': TPOUPBD
'you;': U/STPH*FPLT
'cannot': SK-PBT
'you': U
'contrive': KAUPB/TRAOEUF
'to': TO
'let': HRET
'me': PHE
'into': TPHAO
'the': -T
'sack': SABG
'for': TPOR
'a': AEU
'little': HREUL
'while?'': WHAOEUL/H-F/AE
'Then': KPA/THEPB
'the': -T
'other': OER
'answered,': AEPBS/-D/KW-BG
'as': AS
'if': TP
'very': SRE
'unwillingly,': TPH-LG/HREU/KW-BG
''A': A*E/KPA*/AEU
'little': HREUL
'space': SPAEUS
'I': EU
'may': PHAE
'allow': HROU
'thee': THAOE
'to': TO
'sit': SEUT
'here,': HAOERBGS
'if': TP
'thou': THO*U
'wilt': WEULT
'reward': RE/WARD
'me': PHE
'well': WEL
'and': SKP
'entreat': SPWRAOET
'me': PHE
'kindly;': KAOEUPBD/HREU/STPH*FPLT
'but': PWUT
'thou': THO*U
'must': PHUFT
'tarry': TAEUR/REU
'yet': KWRET
'an': APB
'hour': HOUR
'below,': PWHRO/KW-BG
'till': TEUL
'I': EU
'have': SR
'learnt': HRERPBT
'some': SOPL
'little': HREUL
'matters': PHAERTS
'that': THA
'are': R
'yet': KWRET
'unknown': UPB/TPHOEPB
'to': TO
'me.'': PHE/TP-PL/AE
'So': KPA/SO
'the': -T
'student': STAUPB
'sat': SAT
'himself': HEUPLS
'down': TKOUPB
'and': SKP
'waited': WAEUTD
'a': AEU
'while;': WHAOEUL/STPH*FPLT
'but': PWUT
'the': -T
'time': TAOEUPL
'hung': HUPBG
'heavy': HOEUF
'upon': POPB
'him,': HEUPL/KW-BG
'and': SKP
'he': HE
'begged': PWEGD
'earnestly': ERPB/EFT/HREU
'that': THA
'he': HE
'might': PHAOEUT
'ascend': A/SEPBD
'forthwith,': TPA*URT/W/KW-BG
'for': TPOR
'his': HEUS
'thirst': THEUFRT
'for': TPOR
'knowledge': TPHOPBLG
'was': WAS
'great.': TKPWRAET/TP-PL
'Then': KPA/THEPB
'the': -T
'other': OER
'pretended': PRE/TEPBD/-D
'to': TO
'give': TKPWEUF
'way,': WAEU/KW-BG
'and': SKP
'said,': SED/KW-BG
''Thou': A*E/KPA*/THO*U
'must': PHUFT
'let': HRET
'the': -T
'sack': SABG
'of': -F
'wisdom': WEUZ/TKOPL
'descend,': TKE/SEPBD/KW-BG
'by': PWEU
'untying': UPB/TAOEU/-G
'yonder': KWROPBD/ER
'cord,': KORD/KW-BG
'and': SKP
'then': THEPB
'thou': THO*U
'shalt': SHALT
'enter.'': SPWER/TP-PL/AE
'So': KPA/SO
'the': -T
'student': STAUPB
'let': HRET
'him': HEUPL
'down,': TKOUPB/KW-BG
'opened': OEPD
'the': -T
'sack,': SABG/KW-BG
'and': SKP
'set': SET
'him': HEUPL
'free.': TPRAOE/TP-PL
''Now': A*E/KPA*/TPHOU
'then,'': THEPB/KW-BG/AE
'cried': KRAOEUD
'he,': HE/KW-BG
''let': A*E/HRET
'me': PHE
'ascend': A/SEPBD
'quickly.'': KWEULG/TP-PL/AE
'As': KPA/AS
'he': HE
'began': TKPWAPB
'to': TO
'put': PUT
'himself': HEUPLS
'into': TPHAO
'the': -T
'sack': SABG
'heels': HAOELS
'first,': TPEUFRT/KW-BG
''Wait': A*E/KPA*/WAEUT
'a': AEU
'while,'': WHAOEUL/KW-BG/AE
'said': SED
'the': -T
'gardener,': TKPWARD/TPHER/KW-BG
''that': A*E/THA
'is': S
'not': TPHOT
'the': -T
'way.'': WAEU/TP-PL/AE
'Then': KPA/THEPB
'he': HE
'pushed': PURBD
'him': HEUPL
'in': TPH
'head': HED
'first,': TPEUFRT/KW-BG
'tied': TAO*EUD
'up': UP
'the': -T
'sack,': SABG/KW-BG
'and': SKP
'soon': SAOPB
'swung': SWUPBG
'up': UP
'the': -T
'searcher': SER/KHER
'after': AF
'wisdom': WEUZ/TKOPL
'dangling': TKAPBG/-LG
'in': TPH
'the': -T
'air.': AEUR/TP-PL
''How': A*E/KPA*/HOU
'is': S
'it': T
'with': W
'thee,': THAOE/KW-BG
'friend?'': TPREPBD/H-F/AE
'said': SED
'he,': HE/KW-BG
''dost': A*E/TK*/O*/S*/T*
'thou': THO*U
'not': TPHOT
'feel': TPAOEL
'that': THA
'wisdom': WEUZ/TKOPL
'comes': KOPLS
'unto': UPB/TO
'thee?': THAOE/H-F
'Rest': KPA/REFT
'there': THR
'in': TPH
'peace,': PAES/KW-BG
'till': TEUL
'thou': THO*U
'art': ART
'a': AEU
'wiser': WAOEUZ/ER
'man': PHAPB
'than': THAPB
'thou': THO*U
'wert.'': W*/*E/R*/T*/TP-PL/AE
'So': KPA/SO
'saying,': SAEUG/KW-BG
'he': HE
'trotted': TROT/-D
'off': OF
'on': OPB
'the': -T
'student's': STAUPB/AES
'nag,': TPHAG/KW-BG
'and': SKP
'left': HREFT
'the': -T
'poor': PAOR
'fellow': TP*EL
'to': TO
'gather': TKPWAER
'wisdom': WEUZ/TKOPL
'till': TEUL
'somebody': S-B
'should': SHO
'come': KOPL
'and': SKP
'let': HRET
'him': HEUPL
'down.': TKOUPB/TP-PL
